Site name,PFPrA,PFBA,PFPeA,PFHxA,PFHpA,PFOA,PFNA,PFDA,PFU0A,PFDoDA,PFTrDA,PFTeDA,PFHxDA,PFOcDA,PFPrS,PFEtS,PFBS,PFPeS,PFHxS,PFHpS,PFOS,PFNS,PFDS,PFUdS,PFDoS,PFTrDS,FBSA,FHxSA,FHpSA,FOSA,FDSA,MeFBSA,MeFOSA,EtFOSA,FOSAA,MeFOSAA,EtFOSAA,3:3 Acid,4:3 Acid,5:3 Acid,7:3 Acid,6:2 FTCA,8:2 FTCA,10:2 FTCA,6:2 FTUCA,8:2 FTUCA,10:2 FTUCA,4:2 FTSA,6:2 FTSA,8:2 FTSA,10:2 FTSA,6:6 PFPi,6:8 PFPi,8:8 PFPi,PFHxPA,PFOPA,PFECHS,Gen-X,ADONA,6:2 Cl-PFESA,8:2 Cl-PFESA,PFMPA,PFMBA,"3,6-OPFHpA",PFEESA,PFHxSAm,PFOSAm,PFHxSAmS,PFOSAmS,PFOANO,PFOSNO,PFOAB,PFOSB,5:3 FTB,5:1:2 FTB,6:2 FTAB,Cl-PFOS
Rivi?re Maskinong? ? Maskinong?,0,0.81,0.22,0.68,0.43,0.4,0.24,0.036,0.06,0,0,0,0,0,0,0,0.08,0,0.03,0,0.18,0,0,0,0,0,0.03,0,0,0.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rivi?re Nicolet ? Nicolet,0,2.04,2.16,1.99,1.01,1.24,0.17,0.043,0,0,0,0,0,0,0.05,0,0.39,0.04,0.19,0,0.55,0,0,0,0,0,0.05,0,0,0.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rivi?re Richelieu ? Sorel-Tracy,0,1.67,1.09,1.2,1.1,1.29,0.32,0.062,0,0,0,0,0,0,0.04,0,0.48,0.06,0.54,0.02,0.94,0,0,0,0,0,0.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0
Rivi?re Saint-Charles ? Qu?bec,0,1.06,0.95,0.74,0.77,0.46,0.07,0,0,0,0,0,0,0,0,0,0.21,0.02,0.12,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rivi?re Sainte-Anne ? Sainte-Anne-de-la-P?rade,0,0.75,0.15,0.16,0.18,0.24,0.1,0.036,0,0,0,0,0,0,0,0,0.04,0,0,0,0.12,0,0,0,0,0,0,0,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rivi?re Saint-Fran?ois ? Pierreville,0,1.36,2.06,2.14,1.08,1.75,0.29,0.118,0,0,0,0,0,0,0.05,0,0.97,0.04,0.2,0,0.82,0,0,0,0,0,0.05,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0
Rivi?re Saint-Jacques ? Brossard,1.59,4.09,7.06,7.16,6.76,1.8,0.33,0.166,0,0,0,0,0,0,0.16,0,0.63,0.06,0.58,0,1.37,0,0,0,0,0,0.21,0,0,0.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.78,0,0,0,0,0,0,0,0.14,0,0,0,0,0,0,0,0,0,0,0.17,0,0,0,0,0,0,0.16,54.78,0
Rivi?re Saint-Maurice ? Trois-Rivi?res,0,3.09,0.16,0.27,0.36,0.41,0.18,0.054,0,0,0,0,0,0,0,0,0.05,0,0.02,0,0.15,0,0,0,0,0,0,0,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rivi?re Saint-R?gis ? Sainte-Catherine,4.55,10.21,3.03,4.98,1.54,1.73,0.35,0.087,0,0,0,0,0,0,0.05,0,2.01,0.06,0.39,0.02,1.34,0,0.02,0,0,0,0.44,0,0,0.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rivi?re Yamaska ? Yamaska,1.41,4.16,3.56,4.43,1.99,3.8,0.39,0.126,0,0,0,0,0,0,0.35,0,2.16,0.3,1,0.11,3.79,0,0,0,0,0,0.23,0.04,0,3.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
