,Sample Name,Latitude,Longitude,Sampling Year,PFPrA,PFBA,PFPeA,PFHxA,PFHpA,PFOA,PFNA,PFDA,PFU0A,PFDoDA,PFTrDA,PFTeDA,PFHxDA,PFOcDA,PFPrS,PFEtS,PFBS,PFPeS,PFHxS,PFHpS,PFOS,PFNS,PFDS,PFUdS,PFDoS,PFTrDS,FBSA,FHxSA,FHpSA,FOSA,FDSA,MeFBSA,MeFOSA,EtFOSA,FOSAA,MeFOSAA,EtFOSAA,3:3 Acid,4:3 Acid,5:3 Acid,7:3 Acid,6:2 FTCA,8:2 FTCA,10:2 FTCA,6:2 FTUCA,8:2 FTUCA,10:2 FTUCA,4:2 FTSA,6:2 FTSA,8:2 FTSA,10:2 FTSA,6:6 PFPi,6:8 PFPi,8:8 PFPi,PFHxPA,PFOPA,PFECHS,Gen-X,ADONA,6:2 Cl-PFESA,8:2 Cl-PFESA,PFMPA,PFMBA,"3,6-OPFHpA",PFEESA,PFHxSAm,PFOSAm,PFHxSAmS,PFOSAmS,PFOANO,PFOSNO,PFOAB,PFOSB,5:3 FTB,5:1:2 FTB,6:2 FTAB,Cl-PFOS
40,LSL3,NA,NA,2018,0,2,1.31,1.52,0.9,1.96,0.26,0.046,0,0,0,0,0,0,0.07,0,0.58,0.14,0.7,0.04,2.36,0,0,0,0,0,0.15,0.03,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,LSPA1,NA,NA,2018,0,2,1.16,1.26,0.89,1.57,0.24,0.046,0,0,0,0,0,0,0.06,0,0.52,0.11,0.68,0.03,2.45,0,0,0,0,0,0.06,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,LSPA2,NA,NA,2018,0,2.02,1.2,1.34,0.86,1.62,0.22,0.043,0,0,0,0,0,0,0.07,0,0.55,0.1,0.64,0.04,2.53,0,0,0,0,0,0.09,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,LSPA3,46.256587,-72.694571,2018,0,2.21,1.31,1.39,1,1.68,0.25,0.049,0,0,0,0,0,0,0.08,0,0.65,0.08,0.44,0.03,2.1,0,0,0,0,0,0.08,0,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0
44,LSPM1,46.22665,-72.854883,2018,0,2,1.25,1.15,0.78,1.59,0.25,0.042,0,0,0,0,0,0,0.07,0,0.49,0.09,0.58,0.03,2.24,0,0,0,0,0,0.06,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,LSPM2,46.204067,-72.824783,2018,0,2.307,1.205,1.382,0.871,1.842,0.275,0.046,0,0,0,0,0,0,0.072,0,0.526,0.11,0.703,0.038,2.635,0,0,0,0,0,0.119,0,0,0.065,0,0,0,0,0,0,0.342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,LSPM3,46.183033,-72.799467,2018,0,2.32,1.32,1.43,0.92,2.08,0.34,0.065,0,0,0,0,0,0,0.08,0,0.54,0.11,0.76,0.04,2.81,0,0.01,0,0,0,0.16,0.04,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,ONT1,44.1941,-76.577883,2018,0,2.265,1.275,1.495,0.815,1.784,0.186,0,0,0,0,0,0,0,0.08,0,0.488,0.163,0.924,0.055,2.521,0,0,0,0,0,0.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,ONT2,44.237683,-76.39835,2018,0,2.53,1.22,1.43,0.84,2.08,0.32,0.073,0,0,0,0,0,0,0.07,0,0.45,0.11,0.65,0.04,2.64,0,0.01,0,0,0,0.11,0.04,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,REP1,45.744983,-73.43195,2018,0,1.67,0.85,0.86,0.69,0.98,0.25,0.055,0,0,0,0,0,0,0,0,0.38,0.05,0.33,0,1.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0
50,REP1v5,45.8221,-73.359961,2018,0,1.92,0.82,1,0.79,1.43,0.27,0.063,0,0,0,0,0,0,0.05,0,0.39,0.08,0.48,0.02,1.99,0,0,0,0,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,REP4,45.736033,-73.411833,2018,0,2.42,1.27,1.4,0.96,1.96,0.31,0.066,0,0,0,0,0,0,0.08,0,0.6,0.13,0.71,0.05,3.38,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,SORAM1,46.073983,-73.088683,2018,0,1.82,1.04,1.25,0.89,1.46,0.25,0.055,0,0,0,0,0,0,0.06,0,0.45,0.12,0.56,0.03,2.23,0,0.01,0,0,0,0.1,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,SORAM2,46.067283,-73.07645,2018,0,2.03,1.27,1.36,0.81,1.6,0.23,0.046,0,0,0,0,0,0,0.08,0,0.45,0.1,0.63,0.04,2.47,0,0,0,0,0,0.09,0,0,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,SORAM3,46.06175,-73.0656,2018,0,3.16,1.11,1.45,0.79,2.15,0.34,0.092,0,0,0,0,0,0,0.07,0,0.48,0.11,0.7,0.04,3.11,0,0.02,0,0,0,0.1,0.03,0,0.07,0,0,0,0,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0
55,SORAV2,NA,NA,2018,0,2.25,1.27,1.43,0.97,1.9,0.31,0.07,0,0,0,0,0,0,0.08,0,0.55,0.11,0.72,0.04,2.72,0,0,0,0,0,0.09,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,SORAV3,NA,NA,2018,0,2.57,1.25,1.39,0.94,1.7,0.23,0.036,0,0,0,0,0,0,0.06,0,0.56,0.1,0.7,0.03,2.4,0,0,0,0,0,0.08,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,STA1,46.57575,-72.098125,2018,0,2.162,1.07,1.126,0.823,1.432,0.217,0.053,0,0,0,0,0,0,0.061,0,0.493,0.085,0.554,0.029,2.053,0,0,0,0,0,0.058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
