Site name,PFPrA,PFBA,PFPeA,PFHxA,PFHpA,PFOA,PFNA,PFDA,PFU0A,PFDoDA,PFTrDA,PFTeDA,PFHxDA,PFOcDA,PFPrS,PFEtS,PFBS,PFPeS,PFHxS,PFHpS,PFOS,PFNS,PFDS,PFUdS,PFDoS,PFTrDS,FBSA,FHxSA,FHpSA,FOSA,FDSA,MeFBSA,MeFOSA,EtFOSA,FOSAA,MeFOSAA,EtFOSAA,3:3 Acid,4:3 Acid,5:3 Acid,7:3 Acid,6:2 FTCA,8:2 FTCA,10:2 FTCA,6:2 FTUCA,8:2 FTUCA,10:2 FTUCA,4:2 FTSA,6:2 FTSA,8:2 FTSA,10:2 FTSA,6:6 PFPi,6:8 PFPi,8:8 PFPi,PFHxPA,PFOPA,PFECHS,Gen-X,ADONA,6:2 Cl-PFESA,8:2 Cl-PFESA,PFMPA,PFMBA,"3,6-OPFHpA",PFEESA,PFHxSAm,PFOSAm,PFHxSAmS,PFOSAmS,PFOANO,PFOSNO,PFOAB,PFOSB,5:3 FTB,5:1:2 FTB,6:2 FTAB,Cl-PFOS
Belle Rivi?re ? Mirabel (BR3),0,30.44,104.38,133.37,53.87,18.76,4.86,0,0,0,0,0,0,0,3.81,0,7.77,12.1,111.02,3.72,155.87,0,0,0,0,0,7.13,25.71,0.07,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.79,0,0.07,0,0,0,0,0,0,0.31,0,0.35,0,0,0,0,0,17.66,90.23,2.86,0.09
"Rivi?re ? la Scie ? L?vis, Point #1",0,1.47,0.33,1.06,0.52,0.87,0.04,0,0,0,0,0,0,0,0,0,0,0.02,0.27,0,0.83,0,0,0,0,0,0,0,0,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rivi?re ? la Scie ? L?vis, Point #2",0,0.84,1.35,0.99,0.93,0.93,0.08,0,0,0,0,0,0,0,0,0,0,0.06,0.91,0,1.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0,0
Rivi?re ? la Tortue ? Delson,0,16.01,62.16,72.4,16.71,1.31,0.25,0.05,0,0,0,0,0,0,0.1,0,0,0,0.12,0,1.02,0,0,0,0,0,0.1,0,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33,0.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rivi?re Aulneuse ? Saint-Nicolas,0,0,0.58,0.45,0.4,0.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rivi?re Aux Saumons ? Scotstown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rivi?re Aux Chiens ? Rosem?re,0,3.88,3.3,3.82,1.29,1.9,0.12,0,0,0,0,0,0,0,0.3,0,1.06,0.04,0.39,0,0.91,0,0,0,0,0,0.03,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37,0.49,0.03,0,0.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0
Rivi?re B?cancour ? B?cancour ,0,0,0.43,0.45,0.21,0.46,0.05,0,0,0,0,0,0,0,0,0,0.15,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rivi?re Chaudi?re ? L?vis,0,1.37,0.51,0.55,0.77,0.74,0.3,0,0,0,0,0,0,0,0,0,0.24,0,0.06,0,0.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rivi?re Des Mille Iles ? Laval,0,0.2,0.31,0.55,0.52,0.39,0.16,0,0,0,0,0,0,0,0,0,0.18,0,0.16,0,0.6,0,0,0,0,0,0,0,0,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
