Site name,Latitude,Longitude
Rivi?re Boyer ? Saint-Vallier,46.884275,-70.859119
Rivi?re Ch?teauguay ? Ch?teauguay,45.3814,-73.7562
Rivi?re Chaudi?re ? L?vis,46.714483,-71.280997
Rivi?re Chicoutimi ? Chicoutimi,48.4109,-71.1061
Rivi?re des Ha ? Boilleau,48.06685,-70.824
Rivi?re des Ha ? la Baie,48.3154,-70.8588
Rivi?re des Mille Iles ? Laval #1,45.5406,-73.8808
Rivi?re des Mille Iles ? Laval #2,45.5795,-73.8335
Rivi?re des Mille Iles ? Laval #3,45.6173,-73.7878
Rivi?re des Mille Iles ? Laval #4,45.6536,-73.7598
Rivi?re des Mille Iles ? Laval #5,45.6885,-73.6352
Rivi?re des Outaouais ? Saint-Placide,45.524,-74.2076
Rivi?re des Prairies ? Montr?al,45.5343,-73.7266
Rivi?re des Prairies ? Pierrefonds,45.4547,-73.9388
Rivi?re du Cap Rouge ? Cap-Rouge (Qu?bec),46.7472,-71.3425
Rivi?re du Ch?ne ? Mirabel (DC1),45.6344,-74.1362
Rivi?re du Ch?ne ? Mirabel (DC2),45.6134,-74.1039
Rivi?re du Ch?ne ? Mirabel (DC3),45.5814,-74.0459
Rivi?re du Ch?ne ? Saint-Eustache (DC4),45.5609,-73.9783
Rivi?re du Ch?ne ? Saint-Eustache (DC5),45.56625,-73.92529
Rivi?re du Ch?ne ? Saint-Eustache (DC6),45.5575,-73.8991
Rivi?re du Chicot ? Saint-Eustache,45.581,-73.8602
Rivi?re du Gouffre ? Baie-Saint-Paul,47.44884,-70.5049
Rivi?re du Loup ? Louiseville,46.2238,-72.9273
Rivi?re du Moulin ? Chicoutimi,48.39964,-71.0423
Rivi?re du Nord ? Lachute,45.6569,-74.3419
Rivi?re du Nord ? Saint-J?r?me,45.7629,-74.0027
Rivi?re Du Sud ? Montmagny,46.98517,-70.5491
Rivi?re Etchemin ? L?vis,46.76038,-71.22938
Rivi?re Gananoque ? Gananoque (Ontario),44.327144,-76.164503
Rivi?re Gentilly ? Gentilly,46.382567,-72.336186
Rivi?re Grasse ? Massena (USA),44.959242,-74.830364
Rivi?re Jacques Cartier ? Donnacona,46.68146,-71.742
