Site,PFPrA,PFBA,PFPeA,PFHxA,PFHpA,PFOA,PFNA,PFDA,PFUnDA,PFDoDA,PFTrDA,PFTeDA,PFHxDA,PFOcDA,PFPrS,PFEtS,PFBS,PFPeS,PFHxS,PFHpS,PFOS,PFNS,PFDS,PFUdS,PFDoS,PFTrDS,FBSA,FHxSA,FHpSA,FOSA,FDSA,MeFBSA,MeFOSA,EtFOSA,FOSAA,MeFOSAA,EtFOSAA,3:3 Acid,4:3 Acid,5:3 Acid,7:3 Acid,6:2 FTCA,8:2 FTCA,10:2 FTCA,6:2 FTUCA,8:2 FTUCA,10:2 FTUCA,4:2 FTSA,6:2 FTSA,8:2 FTSA,10:2 FTSA,6:6 PFPi,6:8 PFPi,8:8 PFPi,PFHxPA,PFOPA,PFECHS,Gen-X,ADONA,6:2 Cl-PFESA,8:2 Cl-PFESA,PFMPA,PFMBA,"3,6-OPFHpA",PFEESA,PFHxSAm,PFOSAm,PFHxSAmS,PFOSAmS,PFOANO,PFOSNO,PFOAB,PFOSB,5:3 FTB,5:1:2 FTB,6:2 FTAB,Cl-PFOS
Rivi?re Du Moulin ? Chichoutimi,nd,0.19,nd,0.3,0.31,0.14,0.12,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.08,nd,0.03,nd,0.26,nd,nd,nd,nd,nd,nd,nd,nd,0.16,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.03,nd,nd,nd,nd,nd,nd,nd,nd,nd
Rivi?re Du Nord ? Lachute,2.12,1.78,2.51,3.1,0.99,1.16,0.23,0.07,nd,nd,nd,nd,nd,nd,nd,nd,0.58,0.06,0.3,0.02,0.82,nd,nd,nd,nd,nd,0.16,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.03,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.26,nd,nd
Rivi?re Du Nord ? Saint-J?r?me,0.64,0.81,0.77,0.91,0.46,0.66,0.26,0.07,nd,nd,nd,nd,nd,nd,nd,nd,0.22,nd,0.11,nd,0.66,nd,nd,nd,nd,nd,0.05,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
Rivi?re Du Sud ? Montmagny,nd,0.82,0.86,0.76,0.36,0.39,0.14,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.18,nd,0.04,nd,0.41,nd,nd,nd,nd,nd,nd,nd,nd,0.09,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
Rivi?re Etchemin ? L?vis,1.11,1.54,1.89,2.08,2.26,1.05,0.31,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.41,0.02,0.25,nd,0.85,nd,nd,nd,nd,nd,0.14,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.98,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
Rivi?re Jacques Cartier ? Donnacona,0.81,2.3,0.62,0.72,0.74,0.28,0.21,0.05,nd,nd,nd,nd,nd,nd,nd,nd,0.2,nd,0.14,nd,0.51,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
Rivi?re L'Acadie ? Chambly,nd,4.88,5.07,6.22,3.24,2.07,0.57,0.11,nd,nd,nd,nd,nd,nd,nd,nd,0.98,0.03,0.36,nd,0.98,nd,nd,nd,nd,nd,0.07,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.6,0.1,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.86,3.61,nd,nd
Rivi?re L'Assomption ? Joliette,nd,0.96,0.24,0.59,0.47,0.53,0.18,0.04,nd,nd,nd,nd,nd,nd,nd,nd,0.21,0.02,0.14,nd,0.49,nd,nd,nd,0.05,nd,0.04,nd,nd,nd,nd,nd,0.11,0.15,0.11,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.04,0.12,nd,nd,0.2,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.08,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
Rivi?re L'Assomption ? Repentigny,2.78,0.72,1.93,2.38,1.45,1.4,0.24,nd,nd,nd,nd,nd,nd,nd,nd,nd,1.31,0.05,0.38,nd,0.98,nd,nd,nd,nd,nd,0.14,nd,nd,0.15,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
Rivi?re Mascouche ? Terrebonne,nd,5.92,13.27,14.22,7.58,4.57,1.54,0.19,nd,nd,nd,nd,nd,nd,0.1,nd,2,0.41,3.54,0.12,6.45,nd,nd,nd,nd,nd,0.46,0.5,nd,0.17,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.07,0.11,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,1.54,8.64,24.55,nd
Rivi?re Maskinong? ? Maskinong?,nd,0.98,0.3,0.27,0.43,0.31,0.16,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.11,nd,0.03,nd,0.28,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
Rivi?re Mistassini ? Dolbeau-Mistassini,nd,0.29,0.13,0.12,0.29,0.11,0.17,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.12,nd,nd,nd,0.16,nd,nd,nd,nd,nd,0.04,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.07
Rivi?re Montmorency ? Qu?bec,nd,nd,nd,0.16,0.19,0.2,0.08,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.08,nd,nd,nd,0.09,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
Rivi?re Nicolet ? Nicolet,1.09,2.41,3.58,2.66,0.95,1.17,0.21,0.06,nd,nd,nd,nd,nd,nd,nd,nd,0.52,0.05,0.18,nd,0.61,nd,nd,nd,nd,nd,0.05,nd,nd,0.17,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.09,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
Rivi?re Ouiatchouaniche ? Roberval,0.57,0.74,0.19,0.2,0.18,0.1,0.07,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.1,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
Rivi?re Peribonka ? P?ribonka,nd,nd,0.24,0.27,0.39,0.21,0.19,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.03,nd,nd,nd,0.13,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
Rivi?re Richelieu ? Chambly,1.16,1.23,0.94,0.93,0.79,1.14,0.21,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.73,0.08,0.6,0.02,0.95,nd,nd,nd,nd,nd,0.42,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
Rivi?re Richelieu ? Iberville (Saint-Jean-sur-Richelieu),1.48,1.39,0.99,1.03,0.69,0.97,0.22,0.08,nd,nd,nd,nd,nd,nd,nd,nd,0.68,0.07,0.61,0.03,1.15,nd,nd,nd,nd,nd,0.44,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
Rivi?re Richelieu ? Saint-Blaise-sur-Richelieu,nd,1.42,0.87,1.02,0.65,1.16,0.15,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.7,0.06,0.5,nd,1.17,nd,nd,nd,nd,nd,0.65,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.96,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
Rivi?re Richelieu ? Sorel-Tracy,1.03,1.5,1.38,1.2,1.02,1.15,0.29,0.06,nd,nd,nd,nd,nd,nd,nd,nd,0.75,0.08,0.71,nd,1.29,nd,nd,nd,nd,nd,0.5,nd,nd,0.23,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
Rivi?re Saint-Charles ? Qu?bec,nd,2.07,1.52,1.9,1.18,1.56,0.32,0.05,nd,nd,nd,nd,nd,nd,0.05,nd,0.68,0.13,0.6,0.03,2.04,nd,nd,nd,nd,nd,0.31,nd,nd,0.19,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.28,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.04,nd,nd
Rivi?re Saint-Fran?ois ? Fleurimont (Sherbrooke),0.58,1.84,1.43,1.63,0.82,1.19,0.22,0.03,nd,nd,nd,nd,nd,nd,nd,nd,0.32,0.02,0.09,nd,0.94,nd,nd,nd,nd,nd,0.06,nd,nd,0.09,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
Rivi?re Saint-Fran?ois ? Pierreville,nd,1.47,3.29,3.42,1.67,2.5,0.3,0.06,nd,nd,nd,nd,nd,nd,0.08,nd,1.32,nd,0.2,nd,1.26,nd,nd,nd,nd,nd,0.15,nd,nd,0.15,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.52,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
Rivi?re Saint-Jacques ? Brossard,nd,5.19,8.03,8.63,5.64,3.04,1.11,0.23,0.05,nd,nd,nd,nd,nd,0.06,nd,2.18,0.11,1,0.04,2.2,nd,nd,nd,nd,nd,0.16,nd,nd,0.08,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.04,nd,nd,0.31,0.15,0.2,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.03,nd,nd
Rivi?re Saint-Maurice ? Grandes Piles,nd,0.46,0.23,0.3,0.43,0.36,0.26,0.04,nd,nd,nd,nd,nd,nd,nd,nd,0.1,nd,0.02,nd,0.27,nd,nd,nd,nd,nd,0.09,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
Rivi?re Saint-Maurice ? Grand-M?re,0.73,0.4,0.23,0.29,0.36,0.26,0.28,0.03,nd,nd,nd,nd,nd,nd,nd,nd,0.16,nd,0.03,nd,0.2,nd,nd,nd,nd,nd,0.13,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
Rivi?re Saint-Maurice ? la Tuque,nd,0.32,0.16,0.28,0.41,0.25,0.2,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.21,nd,nd,nd,0.19,nd,nd,nd,nd,nd,0.03,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.05
Rivi?re Saint-Maurice ? Rivi?re-Mattawin (Pont M?kinac),nd,0.4,0.44,0.36,0.51,0.4,0.26,0.04,nd,nd,nd,nd,nd,nd,nd,nd,0.12,nd,0.02,nd,0.22,nd,nd,nd,nd,nd,0.06,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
Rivi?re Saint-Maurice ? Shawinigan,0.57,1.09,0.39,0.47,0.48,0.37,0.28,0.04,nd,nd,nd,nd,nd,nd,nd,nd,0.14,nd,0.03,nd,0.57,nd,nd,nd,nd,nd,0.03,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.05,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.07
Rivi?re Saint-Maurice ? Trois-Rivi?res,0.88,0.64,0.36,0.49,0.49,0.41,0.26,0.04,nd,nd,nd,nd,nd,nd,nd,nd,0.1,nd,0.03,nd,0.4,nd,nd,nd,nd,nd,0.03,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
Rivi?re Yamachiche ? Yamachiche,nd,0.38,0.61,0.34,0.29,0.28,0.11,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.16,nd,0.08,nd,0.35,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
Rivi?re Yamaska ? Yamaska,0.85,5.65,6.94,7.87,3.45,6.43,0.72,0.36,0.06,nd,nd,nd,nd,nd,nd,nd,2.64,0.29,0.87,0.11,6,nd,nd,nd,nd,nd,0.12,nd,nd,0.14,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.41,0.17,0.07,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.07,nd,nd,nd,nd,0.19,1.08,nd,nd
"Ruisseau ""Bauxite"" ? Saint-Jean-Eudes (Jonqui?re)",nd,1.26,1.22,0.69,1.23,4.2,1.75,0.35,0.09,nd,nd,nd,nd,nd,nd,nd,0.12,0.03,0.26,0.21,31.05,nd,0.05,nd,nd,nd,0.03,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.39,nd,nd,nd,nd,nd,nd,nd,0.06,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
Ruisseau Bertrand ? Montreal,0.76,3.62,8.37,6.14,2.79,1.59,0.52,0.25,nd,nd,nd,nd,nd,nd,nd,nd,5.6,0.06,0.17,nd,1.71,nd,nd,nd,nd,nd,0.93,nd,nd,0.24,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.04,0.09,nd,nd,nd,nd,nd,0.13,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.05,0.09,0.35,nd
Ruisseau Bouchard ? Dorval,4.38,17.46,75.17,47.05,23.22,19.95,8.01,1.18,0.3,0.07,nd,nd,nd,nd,0.7,nd,3.4,1.8,11.46,0.6,24.14,nd,nd,nd,nd,nd,0.92,2.49,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.1,nd,nd,nd,nd,nd,49.63,nd,nd,nd,nd,nd,nd,nd,nd,0.29,nd,0.03,0.09,nd,nd,nd,nd,9.65,44.16,52.85,nd
Ruisseau Bouchard ? Dorval,2.1,13.19,56.65,32.1,13.28,11.35,4.3,0.21,nd,nd,nd,nd,nd,nd,1.15,nd,2.58,1.61,13.24,0.47,25.38,nd,nd,nd,nd,nd,5.84,9.07,nd,0.07,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,6.07,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.02,nd,nd,nd,nd,nd,5.97,28.38,11.33,nd
Ruisseau Henri Giroux ? Mirabel (HG1),nd,1.47,0.76,0.75,0.4,0.44,nd,nd,nd,nd,nd,nd,nd,nd,0.17,nd,0.44,0.28,0.93,nd,0.32,nd,nd,nd,nd,nd,nd,0.1,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
Ruisseau Henri Giroux ? Mirabel (HG2),2.03,60.17,273.38,208.06,57.41,37.59,5.85,1.71,nd,nd,nd,nd,nd,nd,6.86,0.52,14.14,17.65,159.95,7.2,400.23,0.76,nd,nd,nd,nd,12.91,51.41,0.7,0.44,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,2.25,0.08,nd,nd,nd,nd,nd,nd,2.26,nd,nd,nd,nd,nd,nd,nd,nd,0.51,nd,0.49,nd,nd,nd,nd,nd,36.16,156.71,46.87,0.23
"Unnamed Creek (""Lesage"") - Ruisseau tributaire de la rivi?re Du Cap Rouge (Qu?bec)",2.8,70.22,390.04,132.69,79.45,14.87,2.95,0.23,nd,nd,nd,nd,nd,nd,0.6,nd,1.56,1.12,7.93,0.3,6.63,nd,nd,nd,nd,nd,0.61,0.98,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,1.69,nd,nd,nd,nd,nd,nd,nd,0.56,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.04,nd,nd,nd,nd,nd,nd,nd,156.36,nd
Lac Bouchard au Parc de la Mauricie,nd,0.37,0.12,0.24,0.41,0.33,0.17,0.03,nd,nd,nd,nd,nd,nd,nd,nd,0.06,nd,nd,nd,0.2,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.03,nd,nd
Lac Bouchette ? Lac-Bouchette,nd,0.21,nd,0.37,0.4,0.29,0.22,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.06,nd,nd,nd,0.21,nd,nd,nd,nd,nd,0.03,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
Lac Brome ? Fisher's Point,0.75,0.98,0.47,0.48,0.51,0.76,0.29,0.09,nd,nd,nd,nd,nd,nd,nd,nd,0.23,nd,0.04,nd,1.34,nd,nd,nd,nd,nd,0.07,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
Lac des Commissaires au Domaine-du-Roy ,nd,0.55,nd,0.24,0.47,0.29,0.23,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.06,nd,nd,nd,0.25,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
Lac du Fou au Parc de la Mauricie,nd,1,nd,0.32,0.56,0.42,0.28,0.05,nd,nd,nd,nd,nd,nd,nd,nd,0.07,nd,nd,nd,0.26,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
Lac ?douard au Parc de la Mauricie,nd,0.5,0.12,0.45,0.47,0.38,0.55,0.55,0.95,0.1,0.1,nd,nd,nd,nd,nd,0.04,nd,0.02,nd,1.08,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
Lac K?nogami ? Lac-K?nogami,nd,0.39,0.64,0.81,0.42,0.21,0.19,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.06,nd,0.02,nd,0.26,nd,nd,nd,nd,nd,0.03,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
Lac Magog ? Magog,1.1,1.11,1.06,0.98,0.76,1.28,0.28,0.11,nd,nd,nd,nd,nd,nd,nd,nd,0.42,0.03,0.15,nd,1.8,nd,nd,nd,nd,nd,0.09,0.03,nd,0.34,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
Lac Memphr?magog ? Magog,1.21,1.19,0.39,0.66,0.47,0.79,0.13,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.3,0.02,0.06,nd,0.59,nd,nd,nd,nd,nd,0.18,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
Lac Saint-Jean ? Roberval,nd,0.61,0.1,0.25,0.37,0.14,0.17,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.03,nd,0.02,nd,0.13,nd,nd,nd,nd,nd,0.03,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
Lac Saint-Jean ? Saint-Henri-du-Taillon,nd,0.49,nd,0.35,0.35,nd,0.15,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.07,nd,nd,nd,0.14,nd,nd,nd,nd,nd,0.03,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
