Site,PFPrA,PFBA,PFPeA,PFHxA,PFHpA,PFOA,PFNA,PFDA,PFUnDA,PFDoDA,PFTrDA,PFTeDA,PFHxDA,PFOcDA,PFPrS,PFEtS,PFBS,PFPeS,PFHxS,PFHpS,PFOS,PFNS,PFDS,PFUdS,PFDoS,PFTrDS,FBSA,FHxSA,FHpSA,FOSA,FDSA,MeFBSA,MeFOSA,EtFOSA,FOSAA,MeFOSAA,EtFOSAA,3:3 Acid,4:3 Acid,5:3 Acid,7:3 Acid,6:2 FTCA,8:2 FTCA,10:2 FTCA,6:2 FTUCA,8:2 FTUCA,10:2 FTUCA,4:2 FTSA,6:2 FTSA,8:2 FTSA,10:2 FTSA,6:6 PFPi,6:8 PFPi,8:8 PFPi,PFHxPA,PFOPA,PFECHS,Gen-X,ADONA,6:2 Cl-PFESA,8:2 Cl-PFESA,PFMPA,PFMBA,"3,6-OPFHpA",PFEESA,PFHxSAm,PFOSAm,PFHxSAmS,PFOSAmS,PFOANO,PFOSNO,PFOAB,PFOSB,5:3 FTB,5:1:2 FTB,6:2 FTAB,Cl-PFOS
Rivi?re ? Mars ? la Baie,nd,0.65,0.94,0.72,0.21,0.13,0.09,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.15,nd,nd,nd,0.17,nd,nd,nd,nd,nd,0.03,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
Rivi?re Ashuapmushuan ? Saint-F?licien,nd,0.75,0.17,0.47,0.33,0.28,0.26,0.04,nd,nd,nd,nd,nd,nd,nd,nd,0.14,nd,0.02,nd,0.19,nd,nd,nd,nd,nd,0.03,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
Rivi?re Aux Iroquois ? Saint-Prime,nd,nd,0.28,0.39,0.17,nd,0.1,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.09,nd,nd,nd,0.14,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
Rivi?re Aux Sables ? Jonqui?res ,nd,0.17,0.15,0.37,0.29,0.34,0.2,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.1,nd,nd,nd,0.25,nd,nd,nd,nd,nd,0.04,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
Rivi?re Batiscan ? Sainte-Genevi?ve-de-Batiscan,nd,0.67,0.1,0.35,0.34,0.16,0.19,0.03,nd,nd,nd,nd,nd,nd,nd,nd,0.08,nd,0.02,nd,0.31,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
Rivi?re Bayonne ? Sainte-Genevi?ve-de-Berthier,nd,0.93,0.29,0.55,0.33,0.46,0.08,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.71,0.03,0.2,nd,0.49,nd,nd,nd,nd,nd,0.07,nd,nd,0.1,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
Rivi?re Beauport ? Qu?bec,0.6,1.65,1.43,1.38,0.53,1.02,0.1,0.04,nd,nd,nd,nd,nd,nd,nd,nd,0.4,0.04,0.34,nd,0.58,nd,nd,nd,nd,nd,0.05,nd,nd,0.32,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.73,0.27,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
Rivi?re B?cancour ? Saint-Louis-de-Blandford,nd,0.62,0.45,0.64,0.43,0.66,0.15,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.4,0.03,0.07,nd,0.4,nd,nd,nd,nd,nd,0.05,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
Rivi?re Boyer ? Saint-Michel-de-Bellechasse,nd,0.48,0.18,0.46,0.27,nd,0.1,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.19,nd,0.03,nd,0.39,nd,nd,nd,nd,nd,nd,nd,nd,0.13,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
Rivi?re Ch?teauguay ? Ch?teauguay,nd,2.11,1.28,1.37,1.09,1.56,0.58,0.17,nd,nd,nd,nd,nd,nd,nd,nd,0.66,0.04,0.39,0.04,1.06,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.11,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
