Sample_ID,PFOA,PFNA,PFOS,PFBS,FBSA,PFHxA,PFHpA,PFHxPA,NADONA,FHxSA,Syn35,PFDA,PFDoA,Oak6,Oak10,Syn72,6_6PFPi,PFPrS,PFPeS,PFHxS,P4MOA,PFUdA,PFECHS,Syn45,9Cl-PF3ONS,Oak8,Syn32,11Cl-PF3OUDS,Syn53,4_2FTS,PFNS,SUM(PFAS)
SEM_1061_012,7.9,2.3,,8.8,,7.6,5,7.4,,,,1.6,,,,,,,,,,,,,,,,,,,,40.6
SEM_1062_013,9.9,2.4,,10.9,,9.4,6.2,7.3,,,,1.1,,,,,,,,10.9,,,,,,,,,,,,58.2
SEM_1063_014,11.1,2.3,9.8,7.9,,10.5,6.9,8.2,,,,1.5,,,,,,,,,,,,,,,,,,,,58.1
SEM_1521_015,3.7,,,6.8,,4.4,,,,,,,,,,,,,,,,,,,,,,,,,,14.9
SEM_1697_016,4.6,,,7.1,,5.8,,,,,,,,,,,,,,,,,,,,,,,,,,17.5
SEM_1698_017,25,2.7,18.5,9,,16.5,10.6,18.9,,,,1.1,,,,,,,,18.4,,,,,,,,,,,,120.6
SEM_1699_018,6.9,1.9,,8.7,,7.5,6,9.8,,,,,,,,,,,,14.1,,,,,,,,,,,,55
SEM_1700_019,7.6,2,,8.3,,6.1,4.3,,,,,,,,,,,,,,,,,,,,,,,,,28.2
SEM_2034_024,6.9,1.9,,7.7,,8.2,6.2,9.3,,,,,,,,,,,,11.7,,,,,,,,,,,,52
PUT_0570_002,3.2,,,5.8,,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,12.2
PUT_0713_003,2,,,,,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,4
PUT_0953_005,2.9,2.9,15.2,,,2.7,,,,,,1.2,,,,,,,,,,,,,,,,,,,,24.8
PUT_1002_006,2.6,,,,,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,4.5
PUT_1178_011,4.6,,,,,2.7,3.8,,,,,,,,,,,,,,,,,,,,,,,,,11.1
PUT_1683_012,,,,,,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,1.2
PUT_0952_004,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1
PUT_1174_008,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6
PUT_1176_010,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9
GLA_1208_009,2.1,,,,,3.9,2.2,,,,,,,,,,,4.9,,,,,,,,,,,,,,13.1
OSC_0170_001,1.7,,,,,,2.1,,,,,,,,,,,15.7,,,,,,,,,,,,,,19.6
GLA_1214_015,2.3,,,1.6,,,2.4,,,,,,,,,,,3.1,,,,,,,,,,,,,,9.4
GLA_1226_027,2.9,,,2,,5.2,3.2,,,,,,,,,,,3.9,,,,,,,,,,,,,,17.2
MAO_0888_014,4.5,4.2,4.6,1.7,,5.5,3,,,,,,,,,,,,,,,,,,,,,,,,,23.4
MAO_0889_015,2.2,,,0.3,,3.2,2,,,,,,,,,,,,,,,,,,,,,,,,,7.7
MAO_0959_024,3.1,,,1.2,,4.4,2.9,,,,,,,,,,,,,,,,,,,,,,,,,11.7
MAO_0999_025,2.9,4,4.3,0.8,,5,3.7,,,,,,,,,,,,,,,,,,,,,,,,,20.8
MAO_1047_026,4,4.3,,1.1,,4.8,3.4,,,,,,,,,,,,,,,,,,,,,,,,,17.7
OSC_0299_005,6.8,4.3,6.3,2.3,,6.2,3.5,,,,,4.1,,,,,,,,,,,,,,,,,,,,33.6
GLA_1210_011,2.1,,,1,,4.2,2.3,,,,,,,,,,,,,,,,,,,,,,,,,9.6
OSC_0832_007,3.4,,,2.2,,6.1,2.8,,,,,,,,,,,,,,,,,,,,,,,,,14.5
OSC_0837_012,4.6,4.1,6.8,3.7,,7.2,3.3,,,,,4.1,,,,,,,,3.7,,1.5,,,,,,,,,,38.9
OSC_0855_015,4.9,4.4,6.3,4.3,,8.4,3.4,,,,,4.1,,,,,,,,4.1,,,,,,,,,,,,40
GLA_1213_014,2.5,,,1.7,,4.5,2.7,,,,,,,,,,,,,,,,,,,,,,,,,11.3
OSC_0857_017,7.7,5.1,6.2,6,,12.3,7.7,14.7,,,,,,,,,,,,18.2,,1.6,,,,,,,,,,79.5
OSC_1073_020,5.2,3.8,5.9,6,0.9,8.6,4.2,,,,,,,,,,,,,3.5,,,,,,,,,,,,38.1
OSC_1982_022,6.6,5.1,5.9,4.1,,10.6,5.3,9.4,,,,,,,,,,,,8.8,,,,,,,,,,,,55.9
