Sample_ID,Florida_County_Name,Latitude,Longitude
VOL-1078-005,Volusia_County,29.27,81.13
VOL-1081-008,Volusia_County,29.34,81.09
BAK-0083-001,Baker_County,30.21,82.43
BAK-2165-004,Baker_County,30.35,82.13
BAK-2170-006,Baker_County,30.43,82.23
BAK-2171-007,Baker_County,30.54,82.25
BAK-2174-008,Baker_County,30.55,82.17
BAK-2177-009,Baker_County,30.52,82.23
CIT-0243-001,Citrus_county,28.89,82.59
CLR-1905-087,Collier_County,25.99,81.57
CIT-0265-003,Citrus_county,28.88,82.59
CIT-0267-005,Citrus_county,28.88,82.63
CIT-0268-006,Citrus_county,28.88,82.60
CIT-0270-008,Citrus_county,28.90,82.64
CIT-0271-009,Citrus_county,28.90,82.64
CIT-0277-011,Citrus_county,28.99,82.35
CLR-1906-088,Collier_County,25.96,81.53
CIT-0280-013,Citrus_county,29.04,82.50
CIT-0282-015,Citrus_county,28.89,82.60
CIT-0283-016,Citrus_county,28.89,82.59
CIT-0286-019,Citrus_county,28.91,82.64
CIT-0287-020,Citrus_county,29.01,82.62
CLR-1907-089,Collier_County,25.96,81.51
CIT-0355-022,Citrus_county,28.84,82.33
CIT-0357-024,Citrus_county,28.84,82.65
CIT-0358-025,Citrus_county,28.80,82.60
CIT-0359-026,Citrus_county,28.78,82.62
CIT-0360-027,Citrus_county,28.72,82.58
CIT-0961-029,Citrus_county,28.90,82.37
CIT-0962-030,Citrus_county,28.84,82.32
CIT-1167-033,Citrus_county,28.88,82.30
CIT-1168-034,Citrus_county,28.84,82.33
CIT-1169-035,Citrus_county,28.83,82.32
CIT-1171-037,Citrus_county,28.79,82.26
CLR-1909-091,Collier_County,25.96,81.49
DIX-0110-002,Dixie_County,29.40,83.23
DIX-0112-004,Dixie_County,29.44,83.20
DIX-0114-006,Dixie_County,29.49,83.35
DIX-0116-008,Dixie_County,29.57,83.36
DIX-1421-009,Dixie_County,29.32,83.14
CLR-1910-092,Collier_County,25.94,81.47
DIX-1423-010,Dixie_County,29.46,83.00
DIX-1679-012,Dixie_County,29.78,82.94
DIX-1689-013,Dixie_County,29.59,82.94
FLG-0385-002,Flagler_County,29.61,81.27
ESC-1793-033,Escambia_County,30.46,87.38
ESC-1794-034,Escambia_County,30.45,87.36
ESC-1796-035,Escambia_County,30.45,87.39
ESC-1799-037,Escambia_County,30.56,87.22
VOL-1092-019,Volusia_County,29.03,80.90
ESC-1808-043,Escambia_County,30.47,87.21
ESC-1810-045,Escambia_County,30.42,87.19
ESC-1811-046,Escambia_County,30.40,87.24
ESC-1813-048,Escambia_County,30.35,87.42
LAK-2284-039,Lake_County,28.71,81.75
LAK-2287-042,Lake_County,28.90,81.62
ORA-2290-072,Orange_County,28.60,81.43
VOL-1094-021,Volusia_County,29.05,80.94
LAK-2288-043,Lake_County,29.01,81.63
VOL-2272-042,Volusia_County,29.08,80.97
BRO-2255-059,Broward_County,26.12,80.15
VOL-1096-023,Volusia_County,29.05,80.96
LAK-2281-036,Lake_County,28.86,81.90
SAR-2248-102,Sarasota_County,27.05,82.29
VOL-1097-024,Volusia_County,29.05,80.96
VOL-2280-050,Volusia_County,29.11,80.94
BRO-2250-054,Broward_County,26.12,80.11
VOL-2275-045,Volusia_County,28.99,80.90
BRO-2252-056,Broward_County,26.23,80.30
LAK-2282-037,Lake_County,28.81,81.87
WAS-2202-001,Washington_County,30.74,85.55
SAR-2245-099,Sarasota_County,27.24,82.31
SAN-2200-040,Santa_Rosa_County,30.95,87.09
BAY-2186-034,Bay_County,30.32,85.81
DES-2240-007,Desoto_County,27.22,81.88
HAR-2241-001,Hardee_County,27.50,81.81
WAS-2214-004,Washington_County,30.45,85.90
MTE-2243-048,Manatee_County,27.32,82.25
WAS-2215-005,Washington_County,30.54,85.86
BAY-2187-035,Bay_County,30.43,85.55
WAS-2216-006,Washington_County,30.61,85.77
HOL-2193-001,Holmes_County,30.88,85.66
DAD-2307-100,Miami-Dade_County,25.78,80.19
BRO-2313-063,Broward_County,26.17,80.25
OKA-2206-060,Okaloosa_County,30.75,86.51
HOL-2195-003,Holmes_County,30.95,85.84
HOL-2194-002,Holmes_County,30.81,86.03
OKA-2198-058,Okaloosa_County,30.93,86.56
WAS-2203-002,Washington_County,30.73,85.53
WAL-2213-018,Walton_County,30.35,86.25
VOL-1083-010,Volusia_County,29.22,81.11
VOL-1102-029,Volusia_County,29.09,81.03
DAD-2301-094,Miami-Dade_County,25.69,80.35
BRO-2312-062,Broward_County,26.17,80.17
BRO-2310-060,Broward_County,26.23,80.25
DAD-2304-097,Miami-Dade_County,25.72,80.33
DAD-2300-093,Miami-Dade_County,25.67,80.40
JEF-2412-004,Jefferson_County,30.06,83.91
DAD-2308-101,Miami-Dade_County,25.85,80.12
VOL-1104-031,Volusia_County,29.14,81.05
VOL-1517-032,Volusia_County,29.01,81.38
VOL-1519-034,Volusia_County,28.92,81.19
VOL-1533-036,Volusia_County,29.13,81.36
VOL-1084-011,Volusia_County,29.26,81.13
SAN-1566-004,Santa_Rosa_County,30.40,87.05
SAN-1567-005,Santa_Rosa_County,30.37,87.09
SAN-1576-008,Santa_Rosa_County,30.60,87.03
SAN-1780-011,Santa_Rosa_County,30.62,87.03
SAN-1784-015,Santa_Rosa_County,30.50,87.10
VOL-1086-013,Volusia_County,29.19,81.08
SAN-1795-017,Santa_Rosa_County,30.45,86.92
SAN-1801-019,Santa_Rosa_County,30.54,87.17
SAN-1802-020,Santa_Rosa_County,30.60,87.23
SAN-1964-026,Santa_Rosa_County,30.39,87.04
SAN-1966-028,Santa_Rosa_County,30.38,87.03
SAN-1967-029,Santa_Rosa_County,30.39,86.98
SAN-1969-031,Santa_Rosa_County,30.41,87.00
SAN-2137-033,Santa_Rosa_County,30.60,87.03
ESC-0787-003,Escambia_County,30.37,87.28
ESC-0791-007,Escambia_County,30.51,87.16
VOL-1088-015,Volusia_County,29.17,81.16
ESC-1111-012,Escambia_County,30.55,87.23
ESC-1116-015,Escambia_County,30.45,87.28
ESC-1415-016,Escambia_County,30.48,87.27
ESC-1536-020,Escambia_County,30.46,87.17
ESC-1570-021,Escambia_County,30.29,87.47
ESC-1575-026,Escambia_County,30.48,87.16
ESC-1785-027,Escambia_County,30.40,87.18
VOL-1082-009,Volusia_County,29.31,81.05
ESC-1792-032,Escambia_County,30.43,87.34
ESC-1798-036,Escambia_County,30.52,87.16
ESC-1803-039,Escambia_County,30.60,87.25
ESC-1804-040,Escambia_County,30.60,87.24
ESC-1807-042,Escambia_County,30.55,87.33
ESC-1812-047,Escambia_County,30.38,87.28
ESC-1814-049,Escambia_County,30.31,87.38
VOL-1093-020,Volusia_County,29.07,80.91
LAK-2285-040,Lake_County,28.90,81.81
LAK-2286-041,Lake_County,28.94,81.72
LAK-2289-044,Lake_County,29.05,81.51
ORA-2293-075,Orange_County,28.53,81.41
ORA-2292-074,Orange_County,28.53,81.42
VOL-2274-044,Volusia_County,29.03,80.89
VOL-2273-043,Volusia_County,29.02,80.96
ORA-2294-076,Orange_County,28.77,81.66
PAL-2256-149,Palm_Beach_County,26.36,80.30
ORA-2207-061,Orange_County,28.61,81.28
HOL-2205-004,Holmes_County,30.66,85.90
VOL-2279-049,Volusia_County,28.99,80.87
BRO-2249-053,Broward_County,26.30,80.26
VOL-2277-047,Volusia_County,29.03,80.95
VOL-2278-048,Volusia_County,29.03,80.92
WAL-2211-016,Walton_County,30.39,86.38
VOL-1098-025,Volusia_County,29.09,80.97
JAC-2197-004,Jackson_County,30.85,85.26
ESC-2190-056,Escambia_County,30.93,87.27
VOL-1099-026,Volusia_County,29.15,80.97
SAR-2247-101,Sarasota_County,27.03,82.25
BRO-2254-058,Broward_County,26.15,80.13
BRO-2253-057,Broward_County,26.16,80.14
JAC-2196-003,Jackson_County,30.79,85.14
SAR-2244-098,Sarasota_County,27.30,82.25
ESC-2192-058,Escambia_County,30.72,87.31
ESC-2191-057,Escambia_County,30.86,87.31
OKA-2208-062,Okaloosa_County,30.38,86.45
WAL-2212-17,Walton_County,30.37,86.29
VOL-1101-028,Volusia_County,29.16,81.06
WAL-2201-015,Walton_County,31.00,86.32
BAY-2185-033,Bay_County,30.30,85.86
ESC-2188-054,Escambia_County,30.97,87.23
DAD-2309-102,Miami-Dade_County,25.90,80.13
OKA-2199-059,Okaloosa_County,30.94,86.75
BRO-2311-061,Broward_County,26.19,80.18
DAD-2305-098,Miami-Dade_County,25.77,80.36
VOL-1103-030,Volusia_County,29.11,81.03
HAM-2411-009,Hamilton_County,30.34,82.82
VOL-1518-033,Volusia_County,29.03,81.27
VOL-1520-035,Volusia_County,28.86,81.25
SAN-0792-001,Santa_Rosa_County,30.47,87.09
SAN-1112-002,Santa_Rosa_County,30.56,87.19
SAN-1113-003,Santa_Rosa_County,30.62,87.04
SAN-1568-006,Santa_Rosa_County,30.52,87.09
VOL-1085-012,Volusia_County,29.27,81.11
SAN-1569-007,Santa_Rosa_County,30.60,87.03
SAN-1577-009,Santa_Rosa_County,30.85,86.98
SAN-1578-010,Santa_Rosa_County,30.86,86.85
SAN-1782-013,Santa_Rosa_County,30.55,87.11
SAN-1783-014,Santa_Rosa_County,30.67,87.27
SAN-1787-016,Santa_Rosa_County,30.63,87.03
SAN-1797-018,Santa_Rosa_County,30.56,86.98
SAN-1858-024,Santa_Rosa_County,30.62,86.83
SAN-1965-027,Santa_Rosa_County,30.38,87.03
VOL-1087-014,Volusia_County,29.18,81.05
SAN-1968-030,Santa_Rosa_County,30.39,87.04
SAN-2136-032,Santa_Rosa_County,30.58,87.16
ESC-0785-001,Escambia_County,30.36,87.34
ESC-0786-002,Escambia_County,30.38,87.32
ESC-0790-006,Escambia_County,30.43,87.19
ESC-0793-008,Escambia_County,30.55,87.20
VOL-1089-016,Volusia_County,29.22,81.01
ESC-1110-011,Escambia_County,30.43,87.19
ESC-1114-013,Escambia_County,30.41,87.21
ESC-1416-017,Escambia_County,30.30,87.45
VOL-1090-017,Volusia_County,29.23,81.02
ESC-1571-022,Escambia_County,30.37,87.41
ESC-1573-024,Escambia_County,30.31,87.42
ESC-1574-025,Escambia_County,30.43,87.19
ESC-1789-029,Escambia_County,30.37,87.27
ESC-1791-031,Escambia_County,30.45,87.14
ESC-2189-055,Escambia_County,30.97,87.29
VOL-1091-018,Volusia_County,29.04,80.91
ESC-1800-038,Escambia_County,30.49,87.14
ESC-1805-041,Escambia_County,30.34,87.31
ESC-1815-050,Escambia_County,30.33,87.25
LAK-2283-038,Lake_County,28.74,81.77
ORA-2291-073,Orange_County,28.56,81.44
VOL-2271-041,Volusia_County,29.06,80.94
BRO-2251-055,Broward_County,26.16,80.10
OKA-2209-063,Okaloosa_County,30.51,86.48
WAS-2204-003,Washington_County,30.45,85.70
SAR-2246-100,Sarasota_County,27.10,82.33
VOL-1100-027,Volusia_County,29.16,81.00
MTE-2242-047,Manatee_County,27.37,82.15
OKA-2210-064,Okaloosa_County,30.78,86.89
DAD-2295-088,Miami-Dade_County,25.51,80.43
TAY-2421-011,Taylor_County,30.08,83.66
SAN-1963-025,Santa_Rosa_County,30.38,87.05
ESC-0789-005,Escambia_County,30.46,87.21
ESC-0794-009,Escambia_County,30.62,87.26
ESC-1115-014,Escambia_County,30.41,87.26
ESC-1417-018,Escambia_County,30.38,87.43
ESC-1572-023,Escambia_County,30.52,87.45
ESC-1790-030,Escambia_County,30.47,87.16
POL-2538-043,Polk_County,27.94,81.85
SEM-2462-025,Seminole_County,28.79,81.06
LAF-2414-006,Lafayette_County,29.84,83.31
PAL-2629-150,Palm_Beach_County,26.79,80.14
UNI-2619-010,Union_County,30.12,82.29
BRE-2483-094,Brevard_County,27.86,80.53
POL-2533-038,Polk_County,27.98,81.54
PUT-2509-019,Putnam_County,29.43,81.67
LAF-2415-007,Lafayette_County,30.04,83.12
POL-2531-036,Polk_County,28.01,81.75
WAK-2566-027,Wakulla_County,30.23,84.30
BAY-2569-042,Bay_County,30.09,85.53
GAD-2386-007,Gadsen_County,30.66,84.73
HIG-2555-026,Highlands_County,27.31,81.37
WAK-2567-028,Wakulla_County,30.23,84.30
PIN-2497-138,Pinellas_County,27.99,82.80
VOL-2512-065,Volusia_County,29.27,81.55
POL-2541-046,Polk_County,27.83,81.81
PUT-2507-017,Putnam_County,29.51,81.68
BAY-2423-036,Bay_County,30.28,85.99
POL-2552-057,Polk_County,28.09,81.72
POL-2550-055,Polk_County,27.81,81.39
IDR-2492-030,Indian_River_County,27.59,80.37
TAY-2405-006,Taylor_County,30.01,83.78
IDR-2491-029,Indian_River_County,27.84,80.50
OSC-2560-031,Osceola_County,28.21,81.12
FLG-2486-024,Flagler_County,29.50,81.22
HIL-2441-093,Hillsborough_County,28.05,82.36
POL-2547-052,Polk_County,27.76,81.57
POL-2539-044,Polk_County,27.90,81.82
POL-2530-035,Polk_County,28.13,81.80
VOL-2502-063,Volusia_County,29.41,81.10
PAS-2601-032,Pasco_County,28.32,82.44
POL-2535-040,Polk_County,28.00,81.70
POL-2549-054,Polk_County,27.76,81.51
PUT-2510-020,Putnam_County,29.50,81.59
POL-2529-034,Polk_County,28.06,81.53
POL-2528-033,Polk_County,28.07,81.68
GUL-2390-014,Gulf_County,30.24,85.20
WAK-2564-025,Wakulla_County,30.23,84.31
GUL-2391-015,Gulf_County,30.12,85.20
HIG-2517-021,Highlands_County,27.64,81.53
IDR-2324-025,Indian_River_County,27.73,80.77
GAD-2385-006,Gadsen_County,30.70,84.86
JAC-2398-012,Jackson_County,30.12,83.98
PIN-2500-141,Pinellas_County,27.85,82.84
POL-2607-059,Polk_County,27.71,81.45
PAS-2602-033,Pasco_County,28.30,82.06
HIL-2591-103,Hillsborough_County,27.94,82.41
VOL-2503-064,Volusia_County,29.35,81.08
HIG-2554-025,Highlands_County,27.54,81.43
ESC-1786-028,Escambia_County,30.46,87.37
HIG-2322-016,Highlands_County,27.58,81.49
HIL-2490-101,Hillsborough_County,28.01,82.63
WAK-2407-021,Wakulla_County,30.20,84.18
POL-2540-045,Polk_County,27.87,81.84
POL-2542-047,Polk_County,27.81,81.79
BRE-2430-084,Brevard_County,28.15,80.73
POL-2534-039,Polk_County,27.98,81.76
POL-2548-053,Polk_County,27.74,81.54
DES-2485-008,DeSoto_County,27.30,81.85
BAY-2424-037,Bay_County,30.39,85.68
STL-2624-026,St._Lucie_County,27.40,80.40
PIN-2494-135,Pinellas_County,28.09,82.70
WAK-2480-023,Wakulla_County,30.24,84.30
ORA-2455-078,Orange_County,28.44,81.34
ESC-2439-059,Escambia_County,30.73,87.29
CAH-2317-002,Calhoun_County,30.29,85.14
POL-2334-029,Polk_County,27.94,81.42
SAN-2336-043,Santa_Rosa_County,30.67,86.96
SAN-2335-042,Santa_Rosa_County,30.86,86.83
PAS-2332-030,Pasco_County,28.98,81.35
GUL-2319-010,Gulf_County,30.09,85.18
LAF-2326-004,Lafayette_County,30.04,83.12
VOL-2471-054,Volusia_County,28.95,81.34
TAY-2418-008,Taylor_County,29.96,83.58
SAN-2461-046,Santa_Rosa_County,30.71,87.05
WAS-2341-007,Washington_County,30.50,85.55
VOL-2338-051,Volusia_County,28.94,81.10
LAK-2328-046,Lake_County,28.54,81.65
VOL-2474-057,Volusia_County,28.90,81.22
VOL-2475-058,Volusia_County,28.79,81.14
HIL-2444-096,Hillsborough_County,27.81,82.40
ORA-2456-079,Orange_County,28.57,81.54
HAM-2410-008,Hamilton_County,30.45,83.10
PIN-2603-142,Pinellas_County,27.74,82.65
