Article (Author et al YYYY),Sample Name,Sample Type,38.86531,-108.39814,Sampling Year,Sample Date (MM/DD/YYY),Sample Time,Analysis Method,Streamflow (m3/s),Sampling Depth (m),Units,PFOS,PFOA,FBSA,PFDA,PFNA,PFHxS,PFHxA,PFHpA,PFHpS,GenX,4:2 FTS,6:2 FTS,8:2 FTS,10:2 FTS,3:3 FTCA,5:3 FTCA,7:3 FTCA,PFPA,PFPeA,PFPeS,PFBS,PFBA,PFMOPrA,PFMOBA,PFMOAA,PFO2HxA,PFO3OA,PFO4DA,PFESA BP 1,PFESA BP 2,PFDoS,PFUnDA,FOSAA,N-MeFOSE,NMeFOSAA,NMeFOSA,N-EtFOSE,NEtFOSAA,N-EtFOSA,PFDS,PFTeDA,PFHxDA,PFNS,PFTrDA,PFDoA,PFOSA,9-Cl-PF3ONS,11-Cl-PF3OUdS,PFECA-G,ADONA,PFEESA,NFDHA,PFODA
USEPA et al 2014,Gunnison River,Fish Tissue,40.94132,-102.34142,2014,,,,,,ng/g,1.73,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USEPA et al 2014,South Platte River,Fish Tissue,37.17608,-105.73105,2014,,,,,,ng/g,26.4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USEPA et al 2014,"Grande, Rio",Fish Tissue,40.39451,-103.47733,2013,,,,,,ng/g,2.88,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USEPA et al 2014,South Platte River,Fish Tissue,40.47797,-108.90822,2014,,,,,,ng/g,73.2,0.175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USEPA et al 2014,Yampa River,Fish Tissue,39.65513,-107.06715,2014,,,,,,ng/g,59.3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USEPA et al 2014,Colorado River,Fish Tissue,39.18629,-108.90477,2013,,,,,,ng/g,6.12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USEPA et al 2014,Colorado River,Fish Tissue,,,2014,,,,,,ng/g,6.91,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adams County et al 2019,3503,Ground Water,,,2019,02/26/2019,,,,,ng/L,6,4,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adams County et al 2019,4044,Ground Water,,,2019,02/26/2019,,,,,ng/L,0,5,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adams County et al 2019,ACMW_03,Ground Water,,,2019,02/28/2019,,,,,ng/L,0,10,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adams County et al 2019,CSC _MW_10,Ground Water,,,2019,02/27/2019,,,,,ng/L,41,25,,,,,,,,,,,,,,,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adams County et al 2019,MW_06,Ground Water,,,2019,02/28/2019,,,,,ng/L,6,31,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adams County et al 2019,MW_8,Ground Water,,,2019,02/25/2019,,,,,ng/L,22,16,,,,,,,,,,,,,,,,,,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adams County et al 2019,OUI_WP5,Ground Water,,,2019,02/27/2019,,,,,ng/L,0,9,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adams County et al 2019,Pioneer Park,Ground Water,,,2019,02/25/2019,,,,,ng/L,133,14,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adams County et al 2019,SAC_MW_14,Ground Water,,,2019,02/25/2019,,,,,ng/L,23,9,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adams County et al 2019,SAC_MW_21,Ground Water,,,2019,02/25/2019,,,,,ng/L,390,37,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adams County et al 2019,SC_2,Ground Water,,,2019,02/26/2019,,,,,ng/L,10,14,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adams County et al 2019,SC_5,Ground Water,,,2019,02/26/2019,,,,,ng/L,0,0,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adams County et al 2019,MW_02_Max,Ground Water,,,2019,03/27/2019,,,,,ng/L,5250,314,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adams County et al 2019,MW_03_Max,Ground Water,,,2019,03/27/2019,,,,,ng/L,31000,7100,,,,,,,,,,,,,,,,,,,1750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adams County et al 2019,MW_04_Max,Ground Water,,,2019,03/27/2019,,,,,ng/L,7100,818,,,,,,,,,,,,,,,,,,,330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adams County et al 2019,MW1_Max,Ground Water,,,2019,03/27/2019,,,,,ng/L,0,4.48,,,,,,,,,,,,,,,,,,,7.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adams County et al 2019,WELL NO 1 - OFFICE,Ground Water,,,2019,12/10/2019,,,,,ng/L,0,0,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adams County et al 2019,WELL NO 2 - Daride St.,Ground Water,,,2019,12/10/2019,,,,,ng/L,0,0,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adams County et al 2019,CENTER WELL NO 2,Ground Water,,,2019,12/10/2019,,,,,ng/L,0,0,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adams County et al 2019,EAST WELL NO 1,Ground Water,,,2019,12/10/2019,,,,,ng/L,0,0,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adams County et al 2019,WELL WEST NO 3,Ground Water,,,2019,12/10/2019,,,,,ng/L,0,0,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adams County et al 2019,1063,Ground Water,,,2018,01/18/2018,,,,,ng/L,2,5.3,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adams County et al 2019,1078,Ground Water,,,2017,09/13/2017,,,,,ng/L,16,9.1,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adams County et al 2019,1525,Ground Water,,,2017,09/13/2017,,,,,ng/L,4000,210,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adams County et al 2019,2505,Ground Water,,,2017,09/12/2017,,,,,ng/L,1.3,2.4,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adams County et al 2019,3503,Ground Water,,,2017,11/29/2017,,,,,ng/L,3.6,7,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adams County et al 2019,4303,Ground Water,,,2018,01/24/2018,,,,,ng/L,3.1,4.4,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adams County et al 2019,22008,Ground Water,,,2018,02/14/2018,,,,,ng/L,3.7,2.3,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adams County et al 2019,22505,Ground Water,,,2018,03/20/2018,,,,,ng/L,37,40,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adams County et al 2019,24201,Ground Water,,,2018,01/29/2018,,,,,ng/L,2,2,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adams County et al 2019,25054,Ground Water,,,2018,01/29/2018,,,,,ng/L,2,2,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adams County et al 2019,26017,Ground Water,,,2018,01/31/2018,,,,,ng/L,2,2,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adams County et al 2019,26157,Ground Water,,,2018,01/30/2018,,,,,ng/L,2.2,2,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adams County et al 2019,27517,Ground Water,,,2018,03/21/2018,,,,,ng/L,5.6,3.2,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adams County et al 2019,35065,Ground Water,,,2017,09/06/2017,,,,,ng/L,2,8.5,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adams County et al 2019,35514,Ground Water,,,2017,08/28/2017,,,,,ng/L,14,2.3,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adams County et al 2019,36201,Ground Water,,,2018,02/01/2018,,,,,ng/L,4.1,13,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adams County et al 2019,36305,Ground Water,,,2017,08/09/2017,,,,,ng/L,4.2,53,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adams County et al 2019,36594,Ground Water,,,2017,09/06/2017,,,,,ng/L,2,2,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adams County et al 2019,37065,Ground Water,,,2018,03/27/2018,,,,,ng/L,2,2,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adams County et al 2019,37095,Ground Water,,,2018,03/28/2018,,,,,ng/L,2,2,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adams County et al 2019,37395,Ground Water,,,2018,03/28/2018,,,,,ng/L,2,2,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adams County et al 2019,SW_1,Surface Water,,,2019,02/26/2019,,,,,ng/L,10,19,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adams County et al 2019,SW_2,Surface Water,,,2019,02/26/2019,,,,,ng/L,46,15,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adams County et al 2019,SW_3,Surface Water,,,2019,02/28/2019,,,,,ng/L,32,20,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adams County et al 2019,SW_4,Surface Water,,,2019,02/27/2019,,,,,ng/L,129,30,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adams County et al 2019,SW_5,Surface Water,39.77549785,-105.1336019,2019,02/27/2019,,,,,ng/L,32,15,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CDPHE et al 2020,Tabor,Fish Tissue,39.92675603,-104.8708133,2020,,,,,,ng/g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CDPHE et al 2020,Mann Nyholt,Fish Tissue,38.72420598,-104.7274011,2020,,,,,,ng/g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CDPHE et al 2020,Willow Springs Ponds,Fish Tissue,39.94350033,-104.7596493,2020,,,,,,ng/g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CDPHE et al 2020,Barr Lake,Fish Tissue,39.54737663,-105.0697606,2023,,,,,,ng/g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CDPHE et al 2020,Chatfield Reservoir,Fish Tissue,39.0561151,-108.4629106,2023,,,,,,ng/g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CDPHE et al 2020,Corn Lake,Fish Tissue,39.75865597,-106.9476362,2023,,,,,,ng/g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CDPHE et al 2020,Gypsum Ponds,Fish Tissue,38.2545719,-104.5997426,2023,,,,,,ng/g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CDPHE et al 2020,Runyon Lake,Fish Tissue,39.22103231,-107.7959695,2023,,,,,,ng/g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CDPHE et al 2020,Vega Reservoir,Fish Tissue,39.77549785,-105.1336019,2023,,,,,,ng/g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CDPHE et al 2020,Tabor,Surface Water,39.92675603,-104.8708133,2020,,,,,,ng/L,10.4,12.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CDPHE et al 2020,Mann Nyholt,Surface Water,38.72420598,-104.7274011,2020,,,,,,ng/L,8.9,9.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CDPHE et al 2020,Willow Springs  Ponds,Surface Water,39.05597347,-108.4637206,2020,,,,,,ng/L,101,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CDPHE et al 2023,Corn Lake,Sediment or Soil,39.22312802,-107.7943813,2023,06/08/2023,,,,,ug/Kg,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,,,,,,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,
CDPHE et al 2023,Vega Reservoir,Sediment or Soil,39.65356941,-106.9389184,2023,06/14/2023,,,,,ug/Kg,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,,,,,,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,
CDPHE et al 2023,Gypsum Ponds,Sediment or Soil,38.2545045,-104.5999142,2023,07/11/2023,,,,,ug/Kg,0,0,,0,0,0.15,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,,,,,,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,
CDPHE et al 2023,Runyon Lake,Sediment or Soil,39.55095047,-105.067014,2023,07/17/2023,,,,,ug/Kg,0.52,0,,0,0,0.16,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,,,,,,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,
CDPHE et al 2023,Chatfield Reservoir,Sediment or Soil,39.94351678,-104.7595849,2023,10/17/2023,,,,,ug/Kg,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,,,,,,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,
CDPHE et al 2023,Barr Lake,Sediment or Soil,39.94351678,-104.7595849,2023,11/09/2023,,,,,ug/Kg,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,,,,,,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,
CDPHE et al 2023,Barr Lake,Surface Water,39.55095047,-105.067014,2023,11/09/2023,,,,,ng/L,8.5,9.6,,1.4,1.4,7.5,13,5,0,0,0,0,0,,0,0,0,,14,0.97,9.8,10,0,0,,,,,,,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,
CDPHE et al 2023,Chatfield Reservoir,Surface Water,39.05597347,-108.4637206,2023,10/17/2023,,,,,ng/L,1.4,2,,0,0.66,0.79,2.8,0.86,0,0,0,0,0,,0,0,0,,0,0,2.8,3.6,0,0,,,,,,,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,
CDPHE et al 2023,Corn Lake,Surface Water,39.65356941,-106.9389184,2023,06/08/2023,,,,,ng/L,0,1,,0,0,0.79,2.4,1.4,0,0,0,0,0,,0,0,0,,0,0,4.7,4.7,0,0,,,,,,,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,
CDPHE et al 2023,Gypsum Ponds,Surface Water,38.2545045,-104.5999142,2023,07/11/2023,,,,,ng/L,0,1,,0,0,0,1.2,0,0,0,0,0,0,,0,0,0,,0,0,0.97,2,0,0,,,,,,,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0.4,0,0,,0,0,0,
CDPHE et al 2023,Runyon Lake,Surface Water,39.22312802,-107.7943813,2023,07/17/2023,,,,,ng/L,1.3,0.53,,0,0,0.7,0.62,0,0,0,0,0,0,,0,0,0,,0,0,1.2,1.7,0,0,,,,,,,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,
CDPHE et al 2023,Vega Reservoir,Surface Water,39.92631233,-105.1019528,2023,06/14/2023,,,,,ng/L,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,,,,,,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,
RCRA et al 2022,Micro-Semi,Ground Water,38.77643225,-104.7372205,2019,02/26/2019,,,,,ng/L,1110,17.6,,0,0,0,,,,0,,,,,,,,,,,9.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RCRA et al 2022,Schlage,Ground Water,39.58030699,-104.9329281,2019,05/02/2019,,,,,ng/L,140,16,,0,0,0,,,,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RCRA et al 2022,Alliant Techsystem,Ground Water,38.89884512,-104.8622719,2019,06/27/2019,,,,,ng/L,18,41,,0,0,0,,,,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RCRA et al 2022,HP Colo Springs,Ground Water,40.01961696,-105.2261811,2019,09/11/2019,,,,,ng/L,23,9.4,,0,0,0,,,,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RCRA et al 2022,CordenPharma - Roche/Syntex,Ground Water,39.16683661,-108.7574289,2019,11/21/2019,,,,,ng/L,31.7,43.8,,0,13,664,,,,0,,,,,,,,,,,134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RCRA et al 2022,Fruita Ind. And Rail Park,Ground Water,39.84193095,-104.9145524,2020,03/01/2020,,,,,ng/L,2.9,1.1,,0,0,0,,,,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RCRA et al 2022,80th Ave. Tank Farm,Ground Water,39.84489135,-104.916514,2021,05/03/2021,,,,,ng/L,85,30,,0,0,0,,,,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RCRA et al 2022,Magellan DuPont,Ground Water,39.65608565,-105.0152711,2021,05/03/2021,,,,,ng/L,480,65,,0,0,0,,,,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RCRA et al 2022,Ashland LLC Property,Ground Water,39.76020711,-104.8137084,2022,03/02/2022,,,,,ng/L,5.3,49,,0,0,0,,,,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RCRA et al 2022,Magellan Aurora,Ground Water,39.79752796,-104.9365472,2022,09/22/2022,,,,,ng/L,0,300,,0,0,0,,,,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RCRA et al 2022,P66 Terminal,Ground Water,38.87854836,-104.6760916,2022,12/01/2022,,,,,ng/L,1220,28,,29.9,11.9,115,,,,0,,,,,,,,,,,17.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RCRA et al 2022,Weatherford Facility - Colorado Springs,Ground Water,39.10648327,-108.6422241,2023,02/28/2023,,,,,ng/L,0,0,,0,0,0,,,,0,,,,,,,,,,,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RCRA et al 2022,Suncor Grand Junction Terminal,Ground Water,39.79940781,-104.9440538,2023,03/23/2023,,,,,ng/L,260,860,,0,0,0,,,,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RCRA et al 2022,Valero,Ground Water,39.67000218,-104.992851,2023,05/18/2023,,,,,ng/L,150,190,,0,21,2700,,,,0,,,,,,,,,,,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RCRA et al 2022,Power Engineering,Ground Water,39.80431827,-104.9489143,2023,05/25/2023,,,,,ng/L,755,33.9,,0,2.6,73.6,,,,0,,,,,,,,,,,1140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RCRA et al 2022,Suncor,Ground Water,40.28801549,-105.2595129,2023,06/25/2023,,,,,ng/L,32000,2900,,390,1400,16000,,,,350,,,,,,,,,,,1700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RCRA et al 2022,Syntex Lyons Landfill,Ground Water,39.88899267,-105.206243,2023,09/11/2023,,,,,ng/L,15000,1500,,0,0,0,,,,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RCRA et al 2022,Rocky Flats,Ground Water,38.67222646,-104.7033956,2023,10/11/2023,,,,,ng/L,330,110,,5.5,13,180,,,,0,,,,,,,,,,,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RCRA et al 2022,Magellan Fountain,Ground Water,39.49422502,-105.096896,2023,11/30/2023,,,,,ng/L,6900,570,,0,0,0,,,,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RCRA et al 2022,Lockheed,Ground Water,39.658908,-104.685491,2019,05/01/2019,,,,,ng/L,45,43,,0,0,0,,,,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RCRA et al 2022,DACWPF,Landfill Leachate,39.75498534,-103.7234258,2020,12/09/2020,,,,,ng/L,780,490,,0,0,0,,,,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RCRA et al 2022,"Clean Harbors of Deer Trail, LLC.",Landfill Leachate,39.00461768,-104.8376278,2021,05/29/2021,,,,,ng/L,272,329,,0,0,0,,,,302,,,,,,,,,,,10800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DoD et al 2022,U.S. Air Force Academy,Ground Water,39.70414565,-104.7579452,2019,11/08/2019,,,,,ng/L,72000,49000,,0,0,0,,,,0,,,,,,,,,,,12000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DoD et al 2022,Buckley Space Force Base,Ground Water,38.82600538,-104.6995704,2018,07/26/2018,,,,,ng/L,99000,190000,,0,0,0,,,,0,,,,,,,,,,,19000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DoD et al 2022,Peterson Space Force Base,Ground Water,39.49452523,-105.1031854,2018,09/13/2018,,,,,ng/L,170000,11000,,0,0,0,,,,0,,,,,,,,,,,60000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DoD et al 2022,PJKS,Ground Water,39.72133481,-104.8973513,2022,08/11/2022,,,,,ng/L,46.1,25.9,,0,0,7.3,,,,0,,,,,,,,,,,5.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DoD et al 2022,Lowry Air Space Force Base,Ground Water,38.70306647,-104.7424449,2014,12/17/2014,,,,,ng/L,341,344,,0,0,0,,,,0,,,,,,,,,,,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DoD et al 2022,Ft. Carson,Ground Water,39.645118,-106.914057,2020,11/03/2020,,,,,ng/L,55000,151000,,0,0,0,,,,0,,,,,,,,,,,9800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DoD et al 2022,Gypsum HAATS,Ground Water,39.704577,-104.764325,2022,07/14/2022,,,,,ng/L,5.4,21,,0,1.2,63,,,,0,,,,,,,,,,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DoD et al 2022,Buckley HAATS,Ground Water,39.00461768,-104.8376278,2022,07/18/2022,,,,,ng/L,19900,1530,,8.2,847,8170,,,,0,,,,,,,,,,,1150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DoD et al 2022,U.S. Air Force Academy,Sediment or Soil,38.82600538,-104.6995704,2019,10/12/2019,,,,,ug/kg,3.6,0,,0,0,0,,,,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DoD et al 2022,Peterson Space Force Base,Sediment or Soil,38.80921562,-104.5244837,2016,11/12/2016,,,,,ug/kg,370,0.74,,0,0,0,,,,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DoD et al 2022,Schreiver Space Force Base,Sediment or Soil,38.74370173,-104.8823555,2018,09/07/2018,,,,,ug/kg,1100,62,,0,0,0,,,,0,,,,,,,,,,,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DoD et al 2022,Cheyenne Mountain Air Force base,Sediment or Soil,39.00461768,-104.8376278,2018,11/08/2018,,,,,ug/kg,0.32,0.36,,0,0,0,,,,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DoD et al 2022,U.S. Air Force Academy,Sediment or Soil,38.82600538,-104.6995704,2018,12/13/2018,,,,,ug/kg,480,19,,0,0,0,,,,0,,,,,,,,,,,0.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DoD et al 2022,Peterson Space Force Base,Sediment or Soil,39.49452523,-105.1031854,2016,11/12/2016,,,,,ug/kg,2400,9.7,,0,0,0,,,,0,,,,,,,,,,,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DoD et al 2022,PJKS,Sediment or Soil,38.80921562,-104.5244837,2017,09/07/2017,,,,,ug/kg,0,0,,0,0,0,,,,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DoD et al 2022,Schreiver Space Force Base,Sediment or Soil,39.72133481,-104.8973513,2019,09/07/2019,,,,,ug/kg,180,1.1,,0,0,0,,,,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DoD et al 2022,Lowry Air Space Force Base,Sediment or Soil,38.74370173,-104.8823555,2014,12/12/2014,,,,,ug/kg,109,694,,0,0,0,,,,0,,,,,,,,,,,4.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DoD et al 2022,Cheyenne Mountain Air Force base,Sediment or Soil,39.70414565,-104.7579452,2018,11/08/2018,,,,,ug/kg,32,2,,0,0,0,,,,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
