Sample_ID,Florida_County_Name,Latitude,Longitude,
BAY_1606_021,Bay_County,30.151114,-85.757456,
BAY_1630_023,Bay_County,30.21323333,-85.74376667,
BAY_1631_024,Bay_County,30.21948333,-85.76283333,
BAY_1632_025,Bay_County,30.22831667,-85.76695,
BAY_1633_026,Bay_County,30.18225,-85.73466667,
BAY_1634_027,Bay_County,30.21118333,-85.6985,
BAY_1635_028,Bay_County,30.2545,-85.67806667,
BAY_2185_033,Bay_County,30.29569,-85.85722,
BAY_2186_034,Bay_County,30.31511,-85.81319,
BAY_2187_035,Bay_County,30.43193,-85.54526,
BAY_2423_036,Bay_County,30.2751767,-85.9880812,
BAY_2424_037,Bay_County,30.392673,-85.681079,
BAY_2519_038,Bay_County,30.269611,-85.981556,
BAY_2520_039,Bay_County,30.251958,-85.935869,
BAY_2521_040,Bay_County,30.277083,-85.988611,
BAY_2568_041,Bay_County,30.03833,-85.48666,
BAY_2569_042,Bay_County,30.085,-85.52666,
BAY_2570_043,Bay_County,30.10833,-85.55833,
BAY_2571_044,Bay_County,30.125,-85.63,
BAY_2572_045,Bay_County,30.0099,-85.52675,
BRA_0811_001,Bradford_County,29.7732,-82.0781,
BRA_1622_003,Bradford_County,29.92197222,-82.17233333,
BRA_1682_004,Bradford_County,29.922,-82.17233333,
BRA_2229_005,Bradford_County,29.86414,-82.16156,
BRE_0702_001,Brevard_County,28.3575,-80.63611111,
BRE_0703_002,Brevard_County,28.33888889,-80.65138889,
BRE_0704_003,Brevard_County,28.35083333,-80.64888889,
BRE_0705_004,Brevard_County,28.13,-80.61611111,
BRE_0706_005,Brevard_County,28.17138889,-80.61472222,
BRE_0707_006,Brevard_County,28.20694444,-80.62888889,
BRE_0708_007,Brevard_County,28.44333333,-80.74166667,
BRE_0709_008,Brevard_County,28.59527778,-80.73,
BRE_0710_009,Brevard_County,28.54944444,-80.74222222,
BRE_0711_010,Brevard_County,28.70416667,-80.69944444,
BRE_0712_011,Brevard_County,28.74472222,-80.81416667,
BRE_0716_012,Brevard_County,28.13027778,-80.71138889,
BRE_0717_013,Brevard_County,28.11861111,-80.67138889,
BRE_0718_014,Brevard_County,28.07833333,-80.62916667,
BRE_0719_015,Brevard_County,28.13277778,-80.65472222,
BRE_0720_016,Brevard_County,28.23,-80.755,
BRE_0721_017,Brevard_County,28.3175,-80.74305556,
BRE_0722_018,Brevard_County,28.35055556,-80.815,
BRE_0723_019,Brevard_County,28.36916667,-80.87166667,
BRE_0724_020,Brevard_County,28.08472222,-80.75277778,
BRE_0896_021,Brevard_County,28.04472222,-80.55333333,
BRE_0897_022,Brevard_County,28.02972222,-80.58138889,
BRE_0898_023,Brevard_County,28.12444444,-80.62472222,
BRE_0899_024,Brevard_County,28.16277778,-80.66,
BRE_0900_025,Brevard_County,28.09555556,-80.57972222,
BRE_0903_027,Brevard_County,28.36861111,-80.685,
