Article (Author et al YYYY),Sample Name,Sample Type,Latitude,Longitude,Sampling Year,Sample Date (MM/DD/YYY),Sample Time,Analysis Method,Streamflow (m3/s),Sampling Depth (m),Units,PFHxS,PFOA,PFOS,PFBA,PFBS,PFHpA,PFHpS,PFHxA,PFPeA,PFPeS,FBSA,PFDA,PFNA,GenX,4:2 FTS,6:2 FTS,8:2 FTS,10:2 FTS,3:3 FTCA,5:3 FTCA,7:3 FTCA,PFPA,PFMOPrA,PFMOBA,PFMOAA,PFO2HxA,PFO3OA,PFO4DA,PFESA BP 1,PFESA BP 2,PFDoS,PFUnDA,FOSAA,N-MeFOSE,NMeFOSAA,NMeFOSA,N-EtFOSE,NEtFOSAA,N-EtFOSA,PFDS,PFTeDA,PFHxDA,PFHxSA,PFNS,PFTrDA,PFDoA,PFOSA,9-Cl-PF3ONS,11-Cl-PF3OUdS,PFECA-G,ADONA,PFEESA,NFDHA,PFODA,pH,TOC (mg/L),DOC (mg/L),Suspended Sediment
Quezada_Davalos_et_al_2023,FCRP,Surface Water,38.72056,-104.72611,2018,8/14/2018,,Unnamed_SPE_LCMS_MS,,,ng/L,25.24,14.5,44.4,3.4,19.3,7.04,0,21.5,18.4,6.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quezada_Davalos_et_al_2023,FCNC-South,Surface Water,38.6825,-104.71278,2018,8/14/2018,,Unnamed_SPE_LCMS_MS,,,ng/L,31.7,10.3,31.2,2.6,14.4,6.64,0,21,16,5.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quezada_Davalos_et_al_2023,FCNC-South,Surface Water,38.6825,-104.71278,2018,8/14/2018,,Unnamed_SPE_LCMS_MS,,,ng/L,32.12,10.5,25.9,2.8,14.6,6.88,0,20.7,15.7,5.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quezada_Davalos_et_al_2023,Costco,Surface Water,38.90778,-104.82278,2018,9/11/2018,,Unnamed_SPE_LCMS_MS,,,ng/L,6.68,7.48,8.62,2.5,10.8,3.5,0,11.8,12.6,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quezada_Davalos_et_al_2023,Costco,Surface Water,38.90778,-104.82278,2018,9/11/2018,,Unnamed_SPE_LCMS_MS,,,ng/L,8.12,7.84,2.9,2.6,10.9,4.2,0,11.7,12.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quezada_Davalos_et_al_2023,Dorchester Park,Surface Water,38.81611,-104.82417,2018,9/11/2018,,Unnamed_SPE_LCMS_MS,,,ng/L,4.56,5.56,7.68,1.6,5.16,2.3,0,14.6,7.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quezada_Davalos_et_al_2023,Dorchester Park,Surface Water,38.81611,-104.82417,2018,9/11/2018,,Unnamed_SPE_LCMS_MS,,,ng/L,4.04,5.6,8.2,1.6,8.96,1.8,0,14.8,9.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quezada_Davalos_et_al_2023,FCNC-South,Surface Water,38.6825,-104.71278,2018,9/11/2018,,Unnamed_SPE_LCMS_MS,,,ng/L,40.78,15.1,38.7,4.88,23.2,6.52,0,28.6,17.8,8.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quezada_Davalos_et_al_2023,FCNC-South,Surface Water,38.6825,-104.71278,2018,9/11/2018,,Unnamed_SPE_LCMS_MS,,,ng/L,38.88,12.5,32.2,4.96,22,6.8,0,27.2,17.7,8.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quezada_Davalos_et_al_2023,SCYSC,Surface Water,38.7875,-104.775,2018,9/11/2018,,Unnamed_SPE_LCMS_MS,,,ng/L,4.8,3.7,6.4,0,8.21,,0,3.1,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quezada_Davalos_et_al_2023,SCYSC,Surface Water,38.7875,-104.775,2018,9/11/2018,,Unnamed_SPE_LCMS_MS,,,ng/L,4.12,3.5,9.8,0,6.48,,0,3.1,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quezada_Davalos_et_al_2023,Aqua Lane,Surface Water,38.77083,-104.77056,2018,9/11/2018,,Unnamed_SPE_LCMS_MS,,,ng/L,4.04,7.08,11.68,0,4.28,,0,7.36,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quezada_Davalos_et_al_2023,Aqua Lane,Surface Water,38.77083,-104.77056,2018,9/11/2018,,Unnamed_SPE_LCMS_MS,,,ng/L,7,7.8,9.44,0,4.2,1.8,0,7.24,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quezada_Davalos_et_al_2023,Bridge,Surface Water,38.72889,-104.73333,2018,9/11/2018,,Unnamed_SPE_LCMS_MS,,,ng/L,18.7,8.44,19.18,0,11.6,5.4,0,17.6,11.1,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quezada_Davalos_et_al_2023,Bridge,Surface Water,38.72889,-104.73333,2018,9/11/2018,,Unnamed_SPE_LCMS_MS,,,ng/L,18.82,8.4,21.88,0,11.6,4.92,0,17.5,11.4,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quezada_Davalos_et_al_2023,FCRP,Surface Water,38.72056,-104.72611,2018,9/11/2018,,Unnamed_SPE_LCMS_MS,,,ng/L,19.8,7.92,36.26,,5.2,2.2,0,7.44,5.2,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quezada_Davalos_et_al_2023,FCRP,Surface Water,38.72056,-104.72611,2018,9/11/2018,,Unnamed_SPE_LCMS_MS,,,ng/L,24,9.64,58.9,,5.08,2.1,0,9.2,5.12,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quezada_Davalos_et_al_2023,FCNC-North,Surface Water,38.70972,-104.71694,2018,9/11/2018,,Unnamed_SPE_LCMS_MS,,,ng/L,39.72,11.1,36.7,3.2,12.4,5.12,0,22.9,15.8,5.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quezada_Davalos_et_al_2023,FCNC-North,Surface Water,38.70972,-104.71694,2018,9/11/2018,,Unnamed_SPE_LCMS_MS,,,ng/L,35.6,11.8,25,3.6,13.6,6.04,0,22.7,16.4,6.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quezada_Davalos_et_al_2023,Costco,Surface Water,38.90778,-104.82278,2018,10/13/2018,,Unnamed_SPE_LCMS_MS,,,ng/L,6.88,7.12,0,1.9,6.68,1.8,0,9.12,9.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quezada_Davalos_et_al_2023,Costco,Surface Water,38.90778,-104.82278,2018,10/13/2018,,Unnamed_SPE_LCMS_MS,,,ng/L,7.92,5.56,0,1.7,9.76,2.3,0,8.44,10.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quezada_Davalos_et_al_2023,FCNC-South,Surface Water,38.6825,-104.71278,2018,10/13/2018,,Unnamed_SPE_LCMS_MS,,,ng/L,42.96,10.8,28.6,4.6,13.9,4.76,0,24.6,18.6,5.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quezada_Davalos_et_al_2023,FCNC-South,Surface Water,38.6825,-104.71278,2018,10/13/2018,,Unnamed_SPE_LCMS_MS,,,ng/L,48.04,10.9,45.6,4.84,15.8,4.8,0,28.5,19.6,7.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quezada_Davalos_et_al_2023,Aqua Lane,Surface Water,38.77083,-104.77056,2018,10/13/2018,,Unnamed_SPE_LCMS_MS,,,ng/L,3.8,12.04,5.8,2.7,8.6,,0,14.4,9.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quezada_Davalos_et_al_2023,Aqua Lane,Surface Water,38.77083,-104.77056,2018,10/13/2018,,Unnamed_SPE_LCMS_MS,,,ng/L,5.04,13.36,10.88,2.3,10.3,,0,13.1,8.68,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quezada_Davalos_et_al_2023,Bridge,Surface Water,38.72889,-104.73333,2018,10/13/2018,,Unnamed_SPE_LCMS_MS,,,ng/L,27.8,7.92,25.7,2.7,9.4,3.1,0,17.6,8.8,4.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quezada_Davalos_et_al_2023,Bridge,Surface Water,38.72889,-104.73333,2018,10/13/2018,,Unnamed_SPE_LCMS_MS,,,ng/L,32.5,7.72,28.96,2.3,11.1,3.5,0,17.1,10.3,3.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quezada_Davalos_et_al_2023,FCRP,Surface Water,38.72056,-104.72611,2018,10/13/2018,,Unnamed_SPE_LCMS_MS,,,ng/L,32.18,11.5,30.1,4.84,15.2,3.6,0,20.5,14.2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quezada_Davalos_et_al_2023,FCRP,Surface Water,38.72056,-104.72611,2018,10/13/2018,,Unnamed_SPE_LCMS_MS,,,ng/L,32.2,11.8,29.7,4.84,15.6,5.24,0,22.8,13.8,5.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quezada_Davalos_et_al_2023,Dorchester Park,Surface Water,38.81611,-104.82417,2018,10/13/2018,,Unnamed_SPE_LCMS_MS,,,ng/L,4,2.8,6.48,,4.08,,0,6.88,4.52,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quezada_Davalos_et_al_2023,Dorchester Park,Surface Water,38.81611,-104.82417,2018,10/13/2018,,Unnamed_SPE_LCMS_MS,,,ng/L,4.68,3.3,1.7,,4.84,,0,7.8,5.32,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quezada_Davalos_et_al_2023,SCYSC,Surface Water,38.7875,-104.775,2018,10/13/2018,,Unnamed_SPE_LCMS_MS,,,ng/L,6.56,2.9,3.8,3,12.6,,0,5.76,4.84,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quezada_Davalos_et_al_2023,SCYSC,Surface Water,38.7875,-104.775,2018,10/13/2018,,Unnamed_SPE_LCMS_MS,,,ng/L,5.52,2.8,7.76,2.8,13.2,,0,5.48,4.6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quezada_Davalos_et_al_2023,FCNC-North,Surface Water,38.70972,-104.71694,2018,10/13/2018,,Unnamed_SPE_LCMS_MS,,,ng/L,30.1,9.44,21.28,3.8,13.7,5.16,0,19.3,17.2,5.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quezada_Davalos_et_al_2023,FCNC-North,Surface Water,38.70972,-104.71694,2018,10/13/2018,,Unnamed_SPE_LCMS_MS,,,ng/L,35.28,9.36,18.68,3.6,14,5.72,0,18.9,16.2,4.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quezada_Davalos_et_al_2023,Dorchester Park,Surface Water,38.81611,-104.82417,2018,11/10/2018,,Unnamed_SPE_LCMS_MS,,,ng/L,5.48,7.9,0,2.9,4.16,2.2,0,10.6,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quezada_Davalos_et_al_2023,Dorchester Park,Surface Water,38.81611,-104.82417,2018,11/10/2018,,Unnamed_SPE_LCMS_MS,,,ng/L,6.16,9.52,0,2.8,6.32,2.4,0,10.6,7.6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quezada_Davalos_et_al_2023,Aqua Lane,Surface Water,38.77083,-104.77056,2018,11/10/2018,,Unnamed_SPE_LCMS_MS,,,ng/L,3.4,8.36,0,3,6.68,,0,11.5,7.08,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quezada_Davalos_et_al_2023,Aqua Lane,Surface Water,38.77083,-104.77056,2018,11/10/2018,,Unnamed_SPE_LCMS_MS,,,ng/L,4.4,5,0,3.1,7.96,2,0,15.7,9.28,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quezada_Davalos_et_al_2023,FCRP,Surface Water,38.72056,-104.72611,2018,11/10/2018,,Unnamed_SPE_LCMS_MS,,,ng/L,40.9,20.26,28.56,3.6,14.8,5.44,0,27,17.2,8.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quezada_Davalos_et_al_2023,FCRP,Surface Water,38.72056,-104.72611,2018,11/10/2018,,Unnamed_SPE_LCMS_MS,,,ng/L,41.4,15.24,26.7,3.7,19.4,6.12,0,24.3,15.9,8.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quezada_Davalos_et_al_2023,FCNC-South,Surface Water,38.6825,-104.71278,2018,11/10/2018,,Unnamed_SPE_LCMS_MS,,,ng/L,33.4,17.48,23.5,4.76,16.7,4.52,0,24.7,17.7,6.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quezada_Davalos_et_al_2023,FCNC-South,Surface Water,38.6825,-104.71278,2018,11/10/2018,,Unnamed_SPE_LCMS_MS,,,ng/L,33.1,14.52,22.88,4.44,16.4,4.44,0,23.6,17.4,5.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quezada_Davalos_et_al_2023,Costco,Surface Water,38.90778,-104.82278,2018,11/10/2018,,Unnamed_SPE_LCMS_MS,,,ng/L,6.48,0,0,1.9,8.52,1.8,0,11.6,12.2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quezada_Davalos_et_al_2023,SCYSC,Surface Water,38.7875,-104.775,2018,11/10/2018,,Unnamed_SPE_LCMS_MS,,,ng/L,5.32,0,9.52,1.8,6.96,,0,2.1,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quezada_Davalos_et_al_2023,SCYSC,Surface Water,38.7875,-104.775,2018,11/10/2018,,Unnamed_SPE_LCMS_MS,,,ng/L,6.76,0,5.72,2.3,11.9,,0,2.8,2.2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quezada_Davalos_et_al_2023,Bridge,Surface Water,38.72889,-104.73333,2018,11/10/2018,,Unnamed_SPE_LCMS_MS,,,ng/L,18.1,5.16,9.88,3.2,8.2,4.76,0,19.4,10.2,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quezada_Davalos_et_al_2023,Bridge,Surface Water,38.72889,-104.73333,2018,11/10/2018,,Unnamed_SPE_LCMS_MS,,,ng/L,22,6.56,13.76,3.7,9.4,5.24,0,22.2,11,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quezada_Davalos_et_al_2023,FCNC-North,Surface Water,38.70972,-104.71694,2018,11/10/2018,,Unnamed_SPE_LCMS_MS,,,ng/L,32.1,7.96,26.4,4.44,12.7,4.2,0,23.1,16.2,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quezada_Davalos_et_al_2023,FCNC-North,Surface Water,38.70972,-104.71694,2018,11/10/2018,,Unnamed_SPE_LCMS_MS,,,ng/L,31.4,8.52,18.78,4.16,14,3.5,0,24.4,17.1,4.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quezada_Davalos_et_al_2023,Costco,Surface Water,38.90778,-104.82278,2018,12/9/2018,,Unnamed_SPE_LCMS_MS,,,ng/L,21.8,5.64,8.68,,4.76,2,0,8.28,6.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quezada_Davalos_et_al_2023,Costco,Surface Water,38.90778,-104.82278,2018,12/9/2018,,Unnamed_SPE_LCMS_MS,,,ng/L,18.9,3.6,10,,3.4,1.9,0,7.84,5.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quezada_Davalos_et_al_2023,FCNC-North,Surface Water,38.70972,-104.71694,2018,12/9/2018,,Unnamed_SPE_LCMS_MS,,,ng/L,43.24,8.68,41.8,2.8,11,3.5,0,18.8,12.9,5.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quezada_Davalos_et_al_2023,FCNC-North,Surface Water,38.70972,-104.71694,2018,12/9/2018,,Unnamed_SPE_LCMS_MS,,,ng/L,43.6,8,51.9,2.7,11.7,3.4,0,17.8,11.6,5.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quezada_Davalos_et_al_2023,Dorchester Park,Surface Water,38.81611,-104.82417,2018,12/9/2018,,Unnamed_SPE_LCMS_MS,,,ng/L,9.24,4.68,3.7,,5.08,2.5,0,5.56,4.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quezada_Davalos_et_al_2023,Dorchester Park,Surface Water,38.81611,-104.82417,2018,12/9/2018,,Unnamed_SPE_LCMS_MS,,,ng/L,8.16,6.16,4.2,,4.6,2.8,0,5.52,4.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quezada_Davalos_et_al_2023,Bridge,Surface Water,38.72889,-104.73333,2018,12/9/2018,,Unnamed_SPE_LCMS_MS,,,ng/L,30.2,4.88,25.84,2.6,9.52,3.8,0,16.9,11,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quezada_Davalos_et_al_2023,Bridge,Surface Water,38.72889,-104.73333,2018,12/9/2018,,Unnamed_SPE_LCMS_MS,,,ng/L,30.66,6.56,36.7,3.1,9.52,2.9,0,17,9.52,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quezada_Davalos_et_al_2023,FCRP,Surface Water,38.72056,-104.72611,2018,12/9/2018,,Unnamed_SPE_LCMS_MS,,,ng/L,39.34,8.72,69.4,2.8,9.56,3,0,14.8,10.9,4.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quezada_Davalos_et_al_2023,FCRP,Surface Water,38.72056,-104.72611,2018,12/9/2018,,Unnamed_SPE_LCMS_MS,,,ng/L,36.88,6.64,37.2,2.8,9.68,2.9,0,13.6,9.56,4.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quezada_Davalos_et_al_2023,SCYSC,Surface Water,38.7875,-104.775,2018,12/9/2018,,Unnamed_SPE_LCMS_MS,,,ng/L,5.2,0,0,,6.84,,0,1.7,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quezada_Davalos_et_al_2023,SCYSC,Surface Water,38.7875,-104.775,2018,12/9/2018,,Unnamed_SPE_LCMS_MS,,,ng/L,5.72,0,0,,6.64,,0,2.2,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quezada_Davalos_et_al_2023,Aqua Lane,Surface Water,38.77083,-104.77056,2018,12/9/2018,,Unnamed_SPE_LCMS_MS,,,ng/L,4.24,3.2,2.2,,2,,0,4.88,2.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quezada_Davalos_et_al_2023,Aqua Lane,Surface Water,38.77083,-104.77056,2018,12/9/2018,,Unnamed_SPE_LCMS_MS,,,ng/L,6.88,5.68,0,,4.4,2.5,0,5.6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quezada_Davalos_et_al_2023,FCNC-South,Surface Water,38.6825,-104.71278,2018,12/9/2018,,Unnamed_SPE_LCMS_MS,,,ng/L,28.08,7.28,13.36,2.5,9.92,3,0,17,8.96,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quezada_Davalos_et_al_2023,FCNC-South,Surface Water,38.6825,-104.71278,2018,12/9/2018,,Unnamed_SPE_LCMS_MS,,,ng/L,26.84,6.56,10.58,2.6,8.96,2.7,0,16.4,9.12,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quezada_Davalos_et_al_2023,Costco,Surface Water,38.90778,-104.82278,2019,1/6/2019,,Unnamed_SPE_LCMS_MS,,,ng/L,7.8,4.92,7.24,2.3,8.16,2.92,0,10.6,7.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quezada_Davalos_et_al_2023,Costco,Surface Water,38.90778,-104.82278,2019,1/6/2019,,Unnamed_SPE_LCMS_MS,,,ng/L,9.36,4.4,6.52,2.3,6.4,2.96,0,11,7.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quezada_Davalos_et_al_2023,Dorchester Park,Surface Water,38.81611,-104.82417,2019,1/6/2019,,Unnamed_SPE_LCMS_MS,,,ng/L,7.08,4.4,2.88,2.7,6.96,2.48,0,9,8.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quezada_Davalos_et_al_2023,Dorchester Park,Surface Water,38.81611,-104.82417,2019,1/6/2019,,Unnamed_SPE_LCMS_MS,,,ng/L,6.04,4.12,1.72,3,8.28,2.4,0,10.48,8.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quezada_Davalos_et_al_2023,FCRP,Surface Water,38.72056,-104.72611,2019,1/6/2019,,Unnamed_SPE_LCMS_MS,,,ng/L,34.56,8.08,13.84,4.64,13.44,3.76,0,20.84,15.2,6.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quezada_Davalos_et_al_2023,FCRP,Surface Water,38.72056,-104.72611,2019,1/6/2019,,Unnamed_SPE_LCMS_MS,,,ng/L,34.52,7.24,16.72,5,15.16,3.88,0,21.2,13.6,5.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quezada_Davalos_et_al_2023,Aqua Lane,Surface Water,38.77083,-104.77056,2019,1/6/2019,,Unnamed_SPE_LCMS_MS,,,ng/L,4.84,4.32,4.08,3.4,8.28,2.28,0,12.72,9.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quezada_Davalos_et_al_2023,Aqua Lane,Surface Water,38.77083,-104.77056,2019,1/6/2019,,Unnamed_SPE_LCMS_MS,,,ng/L,3.04,4.32,6.48,2.6,7.8,2.28,0,11.68,9.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quezada_Davalos_et_al_2023,Bridge,Surface Water,38.72889,-104.73333,2019,1/6/2019,,Unnamed_SPE_LCMS_MS,,,ng/L,21.32,5.88,18.8,4,11.44,3.44,0,17.8,12.1,3.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quezada_Davalos_et_al_2023,Bridge,Surface Water,38.72889,-104.73333,2019,1/6/2019,,Unnamed_SPE_LCMS_MS,,,ng/L,23.44,7.36,18.52,4.96,12.76,3.6,0,20.52,13.2,3.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quezada_Davalos_et_al_2023,FCNC-North,Surface Water,38.70972,-104.71694,2019,1/6/2019,,Unnamed_SPE_LCMS_MS,,,ng/L,30.72,7.12,17.76,3.6,10.8,3.28,0,19.52,12.9,4.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quezada_Davalos_et_al_2023,FCNC-North,Surface Water,38.70972,-104.71694,2019,1/6/2019,,Unnamed_SPE_LCMS_MS,,,ng/L,24.08,4.6,33.8,3,9.6,2.64,0,15.84,10.8,3.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quezada_Davalos_et_al_2023,SCYSC,Surface Water,38.7875,-104.775,2019,1/6/2019,,Unnamed_SPE_LCMS_MS,,,ng/L,4.76,2.24,4.56,2.4,7.12,1.68,0,4.08,3.52,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quezada_Davalos_et_al_2023,SCYSC,Surface Water,38.7875,-104.775,2019,1/6/2019,,Unnamed_SPE_LCMS_MS,,,ng/L,4.36,2.32,2.52,1.9,7.2,,0,3.08,3.68,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quezada_Davalos_et_al_2023,FCNC-South,Surface Water,38.6825,-104.71278,2019,1/6/2019,,Unnamed_SPE_LCMS_MS,,,ng/L,20.08,5.04,10.04,4,10.12,2.6,0,15.28,11.52,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quezada_Davalos_et_al_2023,FCNC-South,Surface Water,38.6825,-104.71278,2019,1/6/2019,,Unnamed_SPE_LCMS_MS,,,ng/L,21.36,4.8,8.56,3.7,11.04,2.84,0,15.84,12.44,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quezada_Davalos_et_al_2023,FCNC-North,Surface Water,38.70972,-104.71694,2019,2/9/2019,,Unnamed_SPE_LCMS_MS,,,ng/L,17,4.16,10.16,2.9,7,3.8,0,17.96,14.24,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quezada_Davalos_et_al_2023,FCNC-North,Surface Water,38.70972,-104.71694,2019,2/9/2019,,Unnamed_SPE_LCMS_MS,,,ng/L,18.16,5.4,12.72,3.7,7.24,4.44,0,19.72,14.6,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quezada_Davalos_et_al_2023,Costco,Surface Water,38.90778,-104.82278,2019,2/9/2019,,Unnamed_SPE_LCMS_MS,,,ng/L,4.96,2.76,3.68,1.8,6.16,2.28,0,7.16,5.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
