Article (Author et al YYYY),Sample Name,Sample Type,Latitude,Longitude,Sampling Year,Sample Date (MM/DD/YYY),Sample Time,Analysis Method,Streamflow (m3/s),Sampling Depth (m),Units,PFHxS,PFOA,PFOS,PFBA,PFBS,PFHpA,PFHpS,PFHxA,PFPeA,PFPeS,FBSA,PFDA,PFNA,GenX,4:2 FTS,6:2 FTS,8:2 FTS,10:2 FTS,3:3 FTCA,5:3 FTCA,7:3 FTCA,PFPA,PFMOPrA,PFMOBA,PFMOAA,PFO2HxA,PFO3OA,PFO4DA,PFESA BP 1,PFESA BP 2,PFDoS,PFUnDA,FOSAA,N-MeFOSE,NMeFOSAA,NMeFOSA,N-EtFOSE,NEtFOSAA,N-EtFOSA,PFDS,PFTeDA,PFHxDA,PFHxSA,PFNS,PFTrDA,PFDoA,PFOSA,9-Cl-PF3ONS,11-Cl-PF3OUdS,PFECA-G,ADONA,PFEESA,NFDHA,PFODA,pH,TOC (mg/L),DOC (mg/L),Suspended Sediment
Quezada_Davalos_et_al_2023,SCYSC,Surface Water,38.7875,-104.775,2019,4/20/2019,,Unnamed_SPE_LCMS_MS,,,ng/L,3.64,3.44,0,4.08,5.32,4.12,0,8.56,7.88,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quezada_Davalos_et_al_2023,SCYSC,Surface Water,38.7875,-104.775,2019,5/25/2019,,Unnamed_SPE_LCMS_MS,,,ng/L,4.04,0,0,3.48,9.24,0,0,3,3.68,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quezada_Davalos_et_al_2023,SCYSC,Surface Water,38.7875,-104.775,2019,5/25/2019,,Unnamed_SPE_LCMS_MS,,,ng/L,3.72,1.8,0,1.64,7.92,,0,2.68,3.28,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quezada_Davalos_et_al_2023,Bridge,Surface Water,38.72889,-104.73333,2019,5/25/2019,,Unnamed_SPE_LCMS_MS,,,ng/L,11.44,5.68,3.76,2.28,6.32,2.84,0,12.92,11.44,2.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quezada_Davalos_et_al_2023,Bridge,Surface Water,38.72889,-104.73333,2019,5/25/2019,,Unnamed_SPE_LCMS_MS,,,ng/L,14.48,4.88,0,2,7.08,2.88,0,12.96,11.96,1.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quezada_Davalos_et_al_2023,SCYSC,Surface Water,38.7875,-104.775,2019,6/23/2019,,Unnamed_SPE_LCMS_MS,,,ng/L,3.28,4.44,0,4.24,9.52,3.84,0,8.36,9.6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quezada_Davalos_et_al_2023,SCYSC,Surface Water,38.7875,-104.775,2019,6/23/2019,,Unnamed_SPE_LCMS_MS,,,ng/L,4.32,4.64,0,4.36,9.08,2.68,0,8.68,9.56,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quezada_Davalos_et_al_2023,SCYSC,Surface Water,38.7875,-104.775,2019,3/16/2019,,Unnamed_SPE_LCMS_MS,,,ng/L,0,1.88,0,2.12,10.16,0,0,2.8,3.2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quezada_Davalos_et_al_2023,SCYSC,Surface Water,38.7875,-104.775,2019,3/16/2019,,Unnamed_SPE_LCMS_MS,,,ng/L,4.44,2.04,4.6,2,9.84,0,0,2.92,2.72,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quezada_Davalos_et_al_2023,FCRP,Surface Water,38.72056,-104.72611,2019,4/20/2019,,Unnamed_SPE_LCMS_MS,,,ng/L,21.76,3.96,15,2.76,9.64,3.44,0,12.04,11,4.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quezada_Davalos_et_al_2023,FCRP,Surface Water,38.72056,-104.72611,2019,4/20/2019,,Unnamed_SPE_LCMS_MS,,,ng/L,23.86,4.84,13.68,3.52,10.92,2.36,0,13.36,9.84,4.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quezada_Davalos_et_al_2023,FCNC-South,Surface Water,38.6825,-104.71278,2019,6/23/2019,,Unnamed_SPE_LCMS_MS,,,ng/L,16.04,6.32,14.8,4.56,9.96,3,0,14.36,10.84,3.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quezada_Davalos_et_al_2023,FCNC-South,Surface Water,38.6825,-104.71278,2019,6/23/2019,,Unnamed_SPE_LCMS_MS,,,ng/L,12.56,6.36,14.96,3.4,9.16,2.48,0,13.24,10.28,3.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quezada_Davalos_et_al_2023,Costco,Surface Water,38.90778,-104.82278,2019,5/25/2019,,Unnamed_SPE_LCMS_MS,,,ng/L,5.48,2.92,0,2.44,6.88,2.76,0,8.08,8.64,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quezada_Davalos_et_al_2023,Costco,Surface Water,38.90778,-104.82278,2019,5/25/2019,,Unnamed_SPE_LCMS_MS,,,ng/L,5.2,2.84,0,2.28,6.84,2.92,0,7.92,8.84,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quezada_Davalos_et_al_2023,Dorchester Park,Surface Water,38.81611,-104.82417,2019,5/25/2019,,Unnamed_SPE_LCMS_MS,,,ng/L,4.12,2.52,0,2.24,0,2.24,0,7.12,7.88,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quezada_Davalos_et_al_2023,Dorchester Park,Surface Water,38.81611,-104.82417,2019,5/25/2019,,Unnamed_SPE_LCMS_MS,,,ng/L,4.08,2.52,0,2.32,0,2.64,0,7.4,5.84,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quezada_Davalos_et_al_2023,FCRP,Surface Water,38.72056,-104.72611,2019,5/25/2019,,Unnamed_SPE_LCMS_MS,,,ng/L,27.28,8.48,17.04,4.56,10.08,4.68,0,16.88,13.72,4.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quezada_Davalos_et_al_2023,FCRP,Surface Water,38.72056,-104.72611,2019,5/25/2019,,Unnamed_SPE_LCMS_MS,,,ng/L,25.52,7.92,18.28,4.76,8.52,4.36,0,18.08,16.68,4.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
