Article (Author et al YYYY),Sample Name,Sample Type,Latitude,Longitude,Sampling Year,Sample Date (MM/DD/YYY),Sample Time,Analysis Method,Streamflow (m3/s),Sampling Depth (m),Units,PFOS,PFOA,FBSA,PFDA,PFNA,PFHxS,PFHxA,PFHpA,PFHpS,GenX,4:2 FTS,6:2 FTS,8:2 FTS,10:2 FTS,3:3 FTCA,5:3 FTCA,7:3 FTCA,PFPA,PFPeA,PFPeS,PFBS,PFBA,PFMOPrA,PFMOBA,PFMOAA,PFO2HxA,PFO3OA,PFO4DA,PFESA BP 1,PFESA BP 2,PFDoS,PFUnDA,FOSAA,N-MeFOSE,NMeFOSAA,NMeFOSA,N-EtFOSE,NEtFOSAA,N-EtFOSA,PFDS,PFTeDA,PFHxDA,PFNS,PFTrDA,PFDoA,PFOSA,9-Cl-PF3ONS,11-Cl-PF3OUdS,PFECA-G,ADONA,PFEESA,NFDHA,PFODA,,,,,,,,,,,,,,,,,,,,,,,,,
,MQ-3,Surface Water,33.3075131,-81.6315719,2022,,,Unnamed_SPE_LCMS_MS,,,ng/L,,0.00,,0.00,0.00,,0.00,0.00,,,,,,,,,,,0.00,,,0.00,,,,,,,,,,0.00,,,,,,,,,0.00,,,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TC,Surface Water,33.3708437,-81.5268463,2022,,,Unnamed_SPE_LCMS_MS,,,ng/L,,0.00,,0.00,0.00,,0.00,0.00,,,,,,,,,,,0.00,,,0.00,,,,,,,,,,0.00,,,,,,,,,0.00,,,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RB,Surface Water,33.3343493,-81.5745458,2022,,,Unnamed_SPE_LCMS_MS,,,ng/L,,0.00,,0.00,0.00,,0.00,0.00,,,,,,,,,,,0.00,,,0.00,,,,,,,,,,0.00,,,,,,,,,0.00,,,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MC,Surface Water,33.3204977,-81.5918761,2022,,,Unnamed_SPE_LCMS_MS,,,ng/L,,0.00,,0.00,0.00,,0.00,0.00,,,,,,,,,,,0.00,,,0.00,,,,,,,,,,0.00,,,,,,,,,0.00,,,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UTR,Surface Water,33.3692007,-81.6294076,2022,,,Unnamed_SPE_LCMS_MS,,,ng/L,,0.70,,0.00,0.00,,0.63,0.00,,,,,,,,,,,0.00,,,0.00,,,,,,,,,,0.00,,,,,,,,,0.00,,,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FP,Surface Water,33.3156127,-81.6662346,2022,,,Unnamed_SPE_LCMS_MS,,,ng/L,,0.00,,0.00,0.00,,0.00,0.00,,,,,,,,,,,0.00,,,0.00,,,,,,,,,,0.00,,,,,,,,,0.00,,,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TRL,Surface Water,33.254565,-81.7307689,2022,,,Unnamed_SPE_LCMS_MS,,,ng/L,,414.89,,52.07,26.75,,1047.96,88.05,,,,,,,,,,,411.52,,,0.00,,,,,,,,,,2.91,,,,,,,,,0.00,,,0.07,0.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,U8,Surface Water,33.2907223,-81.6644831,2022,,,Unnamed_SPE_LCMS_MS,,,ng/L,,1.58,,0.27,0.62,,0.00,0.00,,,,,,,,,,,0.00,,,0.00,,,,,,,,,,0.21,,,,,,,,,0.00,,,0.13,0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SR-1,Surface Water,33.2358833,-81.8346699,2022,,,Unnamed_SPE_LCMS_MS,,,ng/L,,2.56,,0.47,0.50,,3.01,0.00,,,,,,,,,,,0.00,,,0.00,,,,,,,,,,0.40,,,,,,,,,0.00,,,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SR-2,Surface Water,33.2108897,-81.7633214,2022,,,Unnamed_SPE_LCMS_MS,,,ng/L,,1.28,,0.00,1.29,,0.43,0.00,,,,,,,,,,,0.00,,,0.00,,,,,,,,,,0.00,,,,,,,,,0.00,,,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
