Article (Author et al YYYY),Sample Name,Sample Type,Latitude,Longitude,Sample Date (MM/DD/YYY),Sample Time,Analysis Method,PFOS,FBSA,PFOA,PFDA,PFNA,PFHxS,PFHxA,PFHpA,PFHpS,GenX,4:2 FTS,6:2 FTS,8:2 FTS,10:2 FTS,PFPeA,PFPeS,PFBA,PFBS,PFMOPrA,PFMOBA,PFMOAA,PFO2HxA,PFO3OA,PFO4DA,PFESA BP 1,PFESA BP 2,PFUnDA,N-MeFOSE,NMeFOSAA,NMeFOSA,N-EtFOSE,NEtFOSAA,N-EtFOSA,PFDoA,PFDS,PFTeDA,PFHxDA,PFNS,PFTrDA,PFOSA,9-Cl-PF3ONS,ADONA,11-Cl-PF3OUdS,PFECA-G
Sims_et_al_2025,Tiagua_1,Surface Water,32.546881,-117.06250000,12/17/2022,,EPA 8327,13.49,0,243.88,18.31,40.1,,,73.36,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
Sims_et_al_2025,Tiagua_2,Surface Water,32.547083,-117.06380000,12/17/2022,,EPA 8327,17.43,0,243.34,54.78,51.47,,,61.3,,,,,,,,,,,,,,,,,,,,,,,,,,,36.75,,,,,,,,,
Sims_et_al_2025,Tiagua_3,Surface Water,32.5488,-117.06495000,12/17/2022,,EPA 8327,26.56,0,265.63,49.1,53.36,,,55.21,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
Sims_et_al_2025,Tiagua_4,Surface Water,32.551511,-117.06656100,12/17/2022,,EPA 8327,21.02,0,263.42,29.51,44.63,,,73.46,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
Sims_et_al_2025,Tiagua_5,Surface Water,32.551369,-117.08413900,12/17/2022,,EPA 8327,25.17,0,264.91,58.46,52.66,,,69.87,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
Sims_et_al_2025,Truckee_1,Surface Water,39.5180105,-119.71503030,,,EPA 8327,49.53,0,0,5.52,11.03,,,2.71,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
Sims_et_al_2025,Truckee_2,Surface Water,39.5205754,-119.70874350,,,EPA 8327,54.16,0,0,4.89,9.81,,,4.13,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
Sims_et_al_2025,Truckee_3,Surface Water,39.5209721,-119.70305250,,,EPA 8327,37.56,0,0,9.61,10.96,,,5.96,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
Sims_et_al_2025,Truckee_4,Surface Water,39.5208017,-119.70121350,,,EPA 8327,28.18,0,9.35,33.32,20.6,,,19.54,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
Sims_et_al_2025,Truckee_5,Surface Water,39.5216156,-119.69523390,,,EPA 8327,21.66,0,2.13,14.97,11.38,,,26.03,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
Sims_et_al_2025,Truckee_6,Surface Water,39.521914,-119.69482750,,,EPA 8327,19.46,0,9.68,15.82,12.6,,,8.35,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
Sims_et_al_2025,Truckee_7,Surface Water,39.5217819,-119.69019200,,,EPA 8327,15.62,0,4.35,36.59,13.33,,,17.91,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
Sims_et_al_2025,Truckee_8,Surface Water,39.5193774,-119.68728050,,,EPA 8327,14.44,0,4.53,23.76,17.82,,,11.51,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
Sims_et_al_2025,Truckee_9,Surface Water,39.5097149,-119.66686620,,,EPA 8327,15.83,0,1.32,12.09,19.21,,,26.3,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
Sims_et_al_2025,Truckee_10,Surface Water,39.5086854,-119.65996120,,,EPA 8327,13.85,0,10.83,56.88,23.94,,,20.28,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
Sims_et_al_2025,Virgin_1,Surface Water,37.177778,-113.37777800,,,EPA 8327,0,0,1.05,0,7.68,,,17.76,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
Sims_et_al_2025,Virgin_2,Surface Water,37.116667,-113.43888900,,,EPA 8327,0,0,0,0,8.45,,,7.83,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
Sims_et_al_2025,Virgin_3,Surface Water,37.052778,-113.60138900,,,EPA 8327,10.8,0,1.63,0.26,8.34,,,7.65,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
Sims_et_al_2025,Virgin_4,Surface Water,37.038889,-113.63055600,,,EPA 8327,2.83,0,8.4,0,6.75,,,9.39,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
Sims_et_al_2025,Virgin_5,Surface Water,37.0375,-113.63055600,,,EPA 8327,5.34,0,5.15,4.56,8.71,,,6.72,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
Sims_et_al_2025,Virgin_6,Surface Water,37.031944,-113.63333300,,,EPA 8327,8.6,0,1.84,0.31,7.56,,,1.85,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
Sims_et_al_2025,Virgin_7,Surface Water,37.027778,-113.63055600,,,EPA 8327,5.18,0,0.8,3.49,8.93,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
Sims_et_al_2025,Virgin_8,Surface Water,37.026389,-113.63750000,,,EPA 8327,0,0,1.73,1.37,10.31,,,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
Sims_et_al_2025,Virgin_9,Surface Water,37.025,-113.64305600,,,EPA 8327,2.57,0,1.02,0,8.31,,,5.1,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
Sims_et_al_2025,Virgin_10,Surface Water,36.948611,-113.08055600,,,EPA 8327,5.1,0,0,0,11.7,,,1.47,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
Sims_et_al_2025,Willametta_1,Surface Water,45.3636376,-122.60293820,,,EPA 8327,8.41,0,0,4.42,8.62,,,1.57,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
Sims_et_al_2025,Willametta_2,Surface Water,45.3587807,-122.61166240,,,EPA 8327,5.25,0,0,0.18,6.98,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
Sims_et_al_2025,Willametta_3,Surface Water,45.3641478,-122.60609650,,,EPA 8327,8.46,0,0,0,5.86,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
Sims_et_al_2025,Willametta_4,Surface Water,45.3641478,-122.60609650,,,EPA 8327,8.19,0,0,0,5.52,,,0.82,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
Sims_et_al_2025,Willametta_5,Surface Water,45.4648718,-122.65398230,,,EPA 8327,13.31,0,0,0,8.47,,,5.27,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
Sims_et_al_2025,Willametta_6,Surface Water,45.4432664,-122.64369200,,,EPA 8327,26.28,0,0,1.25,5.7,,,9.59,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
Sims_et_al_2025,Willametta_7,Surface Water,45.4432664,-122.64369200,,,EPA 8327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sims_et_al_2025,Willametta_8,Surface Water,45.4432664,-122.64369200,,,EPA 8327,17.15,0,0,0.21,7.78,,,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
Sims_et_al_2025,Willametta_9,Surface Water,45.475971,-122.66779540,,,EPA 8327,9.63,0,0,0,7.25,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
Sims_et_al_2025,Willametta_10,Surface Water,45.475971,-122.66779540,,,EPA 8327,14.1,0,0,0,5.34,,,3.53,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
