Article (Author et al YYYY),Sample Name,Sample Type,Latitude,Longitude,Sampling Year,Sample Date (MM/DD/YYY),Sample Time,Analysis Method,Streamflow (m3/s),Sampling Depth (m),Units,PFOS,PFOA,FBSA,PFDA,PFNA,PFHxS,PFHxA,PFHpA,PFHpS,GenX,4:2 FTS,6:2 FTS,8:2 FTS,10:2 FTS,3:3 FTCA,5:3 FTCA,7:3 FTCA,PFPA,PFPeA,PFPeS,PFBS,PFBA,PFMOPrA,PFMOBA,PFMOAA,PFO2HxA,PFO3OA,PFO4DA,PFESA BP 1,PFESA BP 2,PFDoS,PFUnDA,FOSAA,N-MeFOSE,NMeFOSAA,NMeFOSA,N-EtFOSE,NEtFOSAA,N-EtFOSA,PFDS,PFTeDA,PFHxDA,PFHxSA,PFNS,PFTrDA,PFDoA,PFOSA,9-Cl-PF3ONS,11-Cl-PF3OUdS,PFECA-G,ADONA,PFEESA,NFDHA,PFODA,pH,TOC (g/l),DOC
Galloway_2020,Little Kanawha River,Surface Water,39.24797,-81.52357,2016,6/8/2016,3:52 PM,EPA 1633,,,ng/L,,22.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galloway_2020,E. Fork Little Hocking,Surface Water,39.27692,-81.70723,2016,6/8/2016,4:37 PM,EPA 1633,,,ng/L,,463,,,,,14.6,24,,59.4,,,,,,,,,15.5,,,10.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galloway_2020,W. Fork Little Hocking,Surface Water,39.27902,-81.7133,2016,6/8/2016,4:48 PM,EPA 1633,,,ng/L,,209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galloway_2020,Muskingum River,Surface Water,39.43301,-81.47214,2016,6/9/2016,12:59 PM,EPA 1633,,,ng/L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galloway_2020,White Runs #1,Surface Water,39.24466,-81.71711,2016,7/12/2016,9:17 AM,EPA 1633,,,ng/L,,1120,,,,,26.8,32.2,,19.1,,,,,,,,,,,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galloway_2020,White Runs #2,Surface Water,39.23133,-81.72577,2016,7/12/2016,9:39 AM,EPA 1633,,,ng/L,,1290,,,,,34,38,,22.7,,,,,,,,,,,,57.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galloway_2020,Sawyer Run #1,Surface Water,39.25447,-81.69927,2016,7/12/2016,10:22 AM,EPA 1633,,,ng/L,10.4,421,,,,,13.9,,,39.2,,,,,,,,,10.1,,,31.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galloway_2020,West Fork LH,Surface Water,39.27911,-81.71337,2016,7/12/2016,12:02 PM,EPA 1633,,,ng/L,,838,,,,,18.6,21,,49.1,,,,,,,,,,,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galloway_2020,LH #1,Surface Water,39.27691,-81.70724,2016,7/12/2016,12:20 PM,EPA 1633,,,ng/L,,902,,,,,20.3,19.2,,53.1,,,,,,,,,,,,50.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galloway_2020,Little West Branch,Surface Water,39.28698,-81.7129,2016,7/12/2016,12:46 PM,EPA 1633,,,ng/L,,988,,,,,22.1,22.3,,36.5,,,,,,,,,,,,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galloway_2020,LH #2,Surface Water,39.28558,-81.70922,2016,7/12/2016,12:59 PM,EPA 1633,,,ng/L,,1040,,,,,32.8,23.7,,60.8,,,,,,,,,16,,,86.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galloway_2020,LH #3,Surface Water,39.29399,-81.68947,2016,7/12/2016,1:55 PM,EPA 1633,,,ng/L,,1030,,,,,30.4,19.5,,71.8,,,,,,,,,12,,,74.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galloway_2020,Long Brook,Surface Water,39.29475,-81.6858,2016,7/12/2016,2:23 PM,EPA 1633,,,ng/L,,1430,,,,,39,33.6,,84.3,,,,,,,,,,,,68.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galloway_2020,LH #4,Surface Water,39.29283,-81.68298,2016,7/12/2016,2:50 PM,EPA 1633,,,ng/L,,1770,,,,,56.3,59.6,,86.2,,,,,,,,,25.7,,,136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galloway_2020,LH #4 (dup.),Surface Water,39.29283,-81.68298,2016,7/12/2016,,EPA 1633,,,ng/L,,1220,,,,,39.3,36,,36.8,,,,,,,,,11.8,,,85.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galloway_2020,LH #5,Surface Water,39.29639,-81.66705,2016,7/12/2016,4:30 PM,EPA 1633,,,ng/L,,1390,,,,,45.3,40.2,,41.5,,,,,,,,,16.7,,,104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galloway_2020,Veto Lake,Surface Water,39.34101,-81.65482,2016,7/12/2016,5:59 PM,EPA 1633,,,ng/L,,932,,,,,34.4,25.7,,52.6,,,,,,,,,14.4,,,95.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galloway_2020,LH #6,Surface Water,39.30514,-81.65685,2016,7/13/2016,4:42 PM,EPA 1633,,,ng/L,,1360,,,,,40.1,42.4,,70,,,,,,,,,15.2,,,91.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galloway_2020,Mill Branch #1,Surface Water,39.29965,-81.64342,2016,7/13/2016,4:52 PM,EPA 1633,,,ng/L,,2040,,,,,71.3,65.9,,115,,,,,,,,,19.9,,,134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galloway_2020,Davis Creek,Surface Water,39.29064,-81.63391,2016,7/13/2016,5:02 PM,EPA 1633,,,ng/L,13,2570,,,,,95,93.7,,227,,,,,,,,,43.1,,,203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galloway_2020,Mill Branch #2,Surface Water,39.3077,-81.61228,2016,7/13/2016,5:22 PM,EPA 1633,,,ng/L,,2030,,,,,71.7,72.9,,88.5,,,,,,,,,22,,,151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galloway_2020,LH #7,Surface Water,39.33668,-81.63584,2016,7/13/2016,5:43 PM,EPA 1633,,,ng/L,,987,,,,,30.1,36.2,,56.8,,,,,,,,,,,,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galloway_2020,E. Branch Tributary #1,Surface Water,39.33463,-81.63522,2016,7/13/2016,5:54 PM,EPA 1633,,,ng/L,,1200,,,,,39.1,32.2,,37.4,,,,,,,,,,,,90.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galloway_2020,E. Branch Tributary #2,Surface Water,39.33783,-81.603,2016,7/13/2016,6:14 PM,EPA 1633,,,ng/L,,1290,,,,,34.8,34.5,,44.2,,,,,,,,,,,,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galloway_2020,E. Branch Tributary #3,Surface Water,39.35571,-81.57511,2016,7/13/2016,6:25 PM,EPA 1633,,,ng/L,,962,,,,,22.3,19.2,,24.8,,,,,,,,,,,,80.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galloway_2020,Browns Run,Surface Water,39.39378,-81.58715,2016,7/13/2016,6:46 PM,EPA 1633,,,ng/L,71.9,781,,,,78.4,26.1,18.8,,30.4,,,,,,,,,,,,106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galloway_2020,Briscoe Run,Surface Water,39.34695,-81.5313,2016,7/13/2016,7:23 PM,EPA 1633,,,ng/L,58.3,566,,,,79,35.8,30.5,,,,,,,,,,,28.7,,,118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galloway_2020,Pond Run,Surface Water,39.31056,-81.54974,2016,7/13/2016,7:36 PM,EPA 1633,,,ng/L,22.1,496,,,,64.5,43.2,17.8,,,,,,,,,,,65.7,,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galloway_2020,Congress Creek,Surface Water,39.28463,-81.57816,2016,7/13/2016,7:57 PM,EPA 1633,,,ng/L,20,849,,,,,26.4,24.5,,,,,,,,,,,11,,,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galloway_2020,Little Hocking ,Surface Water,39.29453,-81.68806,2016,12/1/2016,8:58 AM,EPA 1633,,,ng/L,,1110,,,,,17.3,35.9,,129,,,,,,,,,10.6,,,19.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galloway_2020,Long Brook,Surface Water,39.31497,-81.67335,2016,12/1/2016,9:16 AM,EPA 1633,,,ng/L,,516,,,,,10.8,,,24.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galloway_2020,Veto lake,Surface Water,39.34287,-81.65352,2016,12/1/2016,9:41 AM,EPA 1633,,,ng/L,,412,,,,,11.3,10.4,,31,,,,,,,,,,,,15.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galloway_2020,Veto lake (dup.),Surface Water,39.34287,-81.65352,2016,12/1/2016,,EPA 1633,,,ng/L,,321,,,,,,11.1,,37.5,,,,,,,,,,,,10.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galloway_2020,Buffalo Run,Surface Water,39.36601,-81.65132,2016,12/1/2016,10:26 AM,EPA 1633,,,ng/L,,157,,,,,,,,12.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galloway_2020,S. Branch Wolf Creek #1,Surface Water,39.40085,-81.66523,2016,12/1/2016,11:10 AM,EPA 1633,,,ng/L,,98.5,,,,,,,,14.4,,,,,,,,,,,,11.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galloway_2020,S. Branch Wolf Creek #2,Surface Water,39.46452,-81.63381,2016,12/1/2016,11:57 AM,EPA 1633,,,ng/L,,135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galloway_2020,S. Branch Wolf Creek #3,Surface Water,39.5247,-81.65861,2016,12/1/2016,12:27 PM,EPA 1633,,,ng/L,,147,,,,,13.8,,,42.1,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galloway_2020,S. Branch Wolf Creek #4,Surface Water,39.42754,-81.70965,2016,12/1/2016,1:04 PM,EPA 1633,,,ng/L,,151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galloway_2020,W. Branch Wolf Creek Coal Run,Surface Water,39.47943,-81.73095,2016,12/1/2016,1:34 PM,EPA 1633,,,ng/L,,22.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galloway_2020,W. Branch Little Hocking #1,Surface Water,39.38334,-81.78522,2016,12/1/2016,2:59 PM,EPA 1633,,,ng/L,,32.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galloway_2020,W. Branch Little Hocking #2,Surface Water,39.35959,-81.73612,2016,12/1/2016,3:32 PM,EPA 1633,,,ng/L,,57.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galloway_2020,Big Run (OH),Surface Water,39.3015,-81.72783,2016,12/1/2016,4:06 PM,EPA 1633,,,ng/L,,969,,,,,,11.4,,16.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galloway_2020,Davis Creek,Surface Water,39.29057,-81.63395,2016,12/1/2016,4:26 PM,EPA 1633,,,ng/L,10.7,1310,,,,11.3,17,31.7,,137,,,,,,,,,,,,10.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galloway_2020,Congress Creek,Surface Water,39.28467,-81.57794,2016,12/1/2016,4:59 PM,EPA 1633,,,ng/L,,234,,,,,11.9,15.1,,24.3,,,,,,,,,10.8,,,18.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galloway_2020,Mill Branch,Surface Water,39.30763,-81.61226,2016,12/2/2016,7:54 AM,EPA 1633,,,ng/L,,480,,,,,16,,,81,,,,,,,,,,,,12.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galloway_2020,Mill Branch (dup.),Surface Water,39.30763,-81.61226,2016,12/2/2016,,EPA 1633,,,ng/L,,636,,,,,14.4,14.4,,116,,,,,,,,,,,,12.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galloway_2020,East Branch Tributary #1,Surface Water,39.33774,-81.60314,2016,12/2/2016,8:19 AM,EPA 1633,,,ng/L,,876,,,,,,,,16.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galloway_2020,East Branch Tributary #2,Surface Water,39.35566,-81.57512,2016,12/2/2016,8:45 AM,EPA 1633,,,ng/L,,293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galloway_2020,Hanna Road Creek,Surface Water,39.38255,-81.50297,2016,12/2/2016,9:21 AM,EPA 1633,,,ng/L,,201,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galloway_2020,Browns Run,Surface Water,39.39375,-81.58713,2016,12/2/2016,10:21 AM,EPA 1633,,,ng/L,14,167,,,,14.4,,,,17.4,,,,,,,,,,,,10.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galloway_2020,Halfway Run,Surface Water,39.42693,-81.57279,2016,12/2/2016,10:55 AM,EPA 1633,,,ng/L,,96,,,24.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galloway_2020,Indian Run,Surface Water,39.43417,-81.47981,2016,12/2/2016,12:43 PM,EPA 1633,,,ng/L,,56.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galloway_2020,Tupper Creek tributary,Surface Water,39.47305,-81.46418,2016,12/2/2016,1:15 PM,EPA 1633,,,ng/L,,31.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galloway_2020,Rainbow Creek,Surface Water,39.4983,-81.52533,2016,12/2/2016,2:00 PM,EPA 1633,,,ng/L,,42.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galloway_2020,Cat Creek,Surface Water,39.54458,-81.51777,2016,12/2/2016,2:24 PM,EPA 1633,,,ng/L,,35.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galloway_2020,Duck Creek Tributary #1,Surface Water,39.52016,-81.41509,2016,12/2/2016,3:06 PM,EPA 1633,,,ng/L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galloway_2020,Duck Creek Tributary #2,Surface Water,39.42813,-81.41411,2016,12/2/2016,3:38 PM,EPA 1633,,,ng/L,,54.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galloway_2020,Sugar Creek,Surface Water,39.46746,-81.39415,2016,12/2/2016,4:10 PM,EPA 1633,,,ng/L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galloway_2020,Eightmile Creek,Surface Water,39.41497,-81.3484,2016,12/2/2016,4:36 PM,EPA 1633,,,ng/L,,14.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galloway_2020,Big Run (WV),Surface Water,39.33147,-81.47401,2016,12/3/2016,8:14 AM,EPA 1633,,,ng/L,,126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galloway_2020,Little Eightmile Creek,Surface Water,39.4472,-81.34073,2016,12/3/2016,8:49 AM,EPA 1633,,,ng/L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galloway_2020,Fifteenmile Creek,Surface Water,39.49367,-81.29796,2016,12/3/2016,9:33 AM,EPA 1633,,,ng/L,,14.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galloway_2020,Wingett Run,Surface Water,39.54626,-81.24157,2016,12/3/2016,10:03 AM,EPA 1633,,,ng/L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galloway_2020,Mill Run,Surface Water,39.38375,-81.37831,2016,12/3/2016,10:48 AM,EPA 1633,,,ng/L,,32.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
