Article (Author et al YYYY),Sample Name,Sample Type,Latitude,Longitude,Sampling Year,Sample Date (MM/DD/YYY),Sample Time,Analysis Method,Streamflow (m3/s),Sampling Depth (m),Units,PFOS,PFOA,FBSA,PFDA,PFNA,PFHxS,PFHxA,PFHpA,PFHpS,GenX,4:2 FTS,6:2 FTS,8:2 FTS,10:2 FTS,3:3 FTCA,5:3 FTCA,7:3 FTCA,PFPA,PFPeA,PFPeS,PFBS,PFBA,PFMOPrA,PFMOBA,PFMOAA,PFO2HxA,PFO3OA,PFO4DA,PFESA BP 1,PFESA BP 2,PFDoS,PFUnDA,FOSAA,N-MeFOSE,NMeFOSAA,NMeFOSA,N-EtFOSE,NEtFOSAA,N-EtFOSA,PFDS,PFTeDA,PFHxDA,PFHxSA,PFNS,PFTrDA,PFDoA,PFOSA,9-Cl-PF3ONS,11-Cl-PF3OUdS,PFECA-G,ADONA,PFEESA,NFDHA,PFODA,pH,TOC (g/l),DOC
Galloway_2020,Little Hocking A,Sediment or Soil,,,2004,,,EPA 1633,,,ng/g,,,,,2.01,,41.5,57.3,,,,,,,,,,,8.37,,,1.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galloway_2020,Little Hocking B,Sediment or Soil,,,2004,,,EPA 1633,,,ng/g,,,,,3.34,,104,66.2,,,,,,,,,,,18.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galloway_2020,Little Hocking C,Sediment or Soil,,,2004,,,EPA 1633,,,ng/g,,,,,2.65,,57.9,59.1,,,,,,,,,,,12.9,,,2.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galloway_2020,Drag Strip Road,Sediment or Soil,39.2904,-81.63393,2016,12/1/2016,4:42 PM,EPA 1633,,,ng/g,,26.9,,1.69,1.63,,1.65,1.32,,3.2,,,,,,,,,6.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galloway_2020,Veto Lake,Sediment or Soil,39.34103,-81.65669,2016,12/1/2016,10:08 AM,EPA 1633,,,ng/g,,18.4,,1.45,,,3.63,7.65,,8.14,,,,,,,,,48.8,,,1.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galloway_2020,Veto Road,Sediment or Soil,39.34776,-81.55866,2016,12/2/2016,9:07 AM,EPA 1633,,,ng/g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galloway_2020,Veto Road (dup.),Sediment or Soil,39.34776,-81.55866,2016,12/2/2016,,EPA 1633,,,ng/g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galloway_2020,Strouds Run,Sediment or Soil,39.37151,-81.7915,2016,12/1/2016,2:43 PM,EPA 1633,,,ng/g,,5.7,,,,,,,,,,,,,,,,,9.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galloway_2020,Lookout Park,Sediment or Soil,39.41929,-81.47079,2016,12/2/2016,11:31 AM,EPA 1633,,,ng/g,,2.52,,,,,,,,,,,,,,,,,,,,1.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galloway_2020,Archers Fork #1,Sediment or Soil,39.46487,-81.34868,2016,12/3/2016,9:10 AM,EPA 1633,,,ng/g,,6.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galloway_2020,Archers Fork #2,Sediment or Soil,39.54603,-81.2416,2016,12/3/2016,10:06 AM,EPA 1633,,,ng/g,,4.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galloway_2020,LHWA,Sediment or Soil,39.28067,-81.66475,2018,3/25/2018,6:55 PM,EPA 1633,,,ng/g,,6.68,,1.32,1.92,,3.06,3.1,,3.09,,,,,,,,,14.3,,,3.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galloway_2020,Veto Lake,Sediment or Soil,39.34098,-81.65685,2018,3/25/2018,6:30 PM,EPA 1633,,,ng/g,,9.3,,,,,,,,1,,,,,,,,,3.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galloway_2020,Veto Lake (dup.),Sediment or Soil,39.34098,-81.65685,2018,3/25/2018,,EPA 1633,,,ng/g,,10.3,,1.31,,,1.4,1.3,,1.2,,,,,,,,,15.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galloway_2020,Watertown ,Sediment or Soil,39.48623,-81.63364,2018,3/25/2018,5:51 PM,EPA 1633,,,ng/g,,2.86,,,,,,,,,,,,,,,,,1.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galloway_2020,Beverly,Sediment or Soil,39.55756,-81.6446,2018,3/25/2018,2:59 PM,EPA 1633,,,ng/g,,11,,,,,,,,,,,,,,,,,4.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galloway_2020,L. Oive Green,Sediment or Soil,39.6283,-81.64319,2018,3/25/2018,2:37 PM,EPA 1633,,,ng/g,,4.88,,,,,,,,,,,,,,,,,3.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galloway_2020,Creek,Sediment or Soil,,,2018,,,EPA 1633,,,ng/g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galloway_2020,Reinersville,Sediment or Soil,39.6777,-81.65041,2018,3/25/2018,2:10 PM,EPA 1633,,,ng/g,,7.35,,,,,,,,,,,,,,,,,4.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
