Article (Author et al YYYY),Sample Name,Sample Type,Latitude,Longitude,Sample Date (MM/DD/YYY),Sample Time,Analysis Method,PFOS,PFOA,FBSA,PFDA,PFNA,PFHxS,PFHxA,PFHpA,PFHpS,GenX,4:2 FTS,6:2 FTS,8:2 FTS,10:2 FTS,3:3 FTCA,5:3 FTCA,7:3 FTCA,PFPA,PFPeA,PFPeS,PFBS,PFBA,PFMOPrA,PFMOBA,PFMOAA,PFO2HxA,PFO3OA,PFO4DA,PFESA BP 1,PFESA BP 2,PFDoS,PFUnDA,FOSAA,N-MeFOSE,NMeFOSAA,NMeFOSA,N-EtFOSE,NEtFOSAA,N-EtFOSA,PFDS,PFTeDA,PFHxDA,PFNS,PFTrDA,PFDoA,PFOSA,9-Cl-PF3ONS,11-Cl-PF3OUdS,PFECA-G,ADONA,PFEESA,NFDHA,PFMBA
Camacho_et_al_2024,CLR_0447_014,Surface Water,26.1492182,-81.7858418,,,EPA 1633,2.8,4.5,4.6,1.9,1.5,0,3.4,2.1,,,0,,,,,,,,,0,3.3,,,,,,,,,,,0,,,,,,,,,,,0,,0,,0,0,,,,,
Camacho_et_al_2024,CLR_0448_015,Surface Water,26.115208,-81.759522,,,EPA 1633,2.9,7.6,0,0,1.2,0,5.1,3.2,,,0,,,,,,,,,0,4.6,,,,,,,,,,,0,,,,,,,,,,,0,,0,,0,0,,,,,
Camacho_et_al_2024,CLR_0449_016,Surface Water,26.0973491,-81.7364359,,,EPA 1633,8.4,11.3,4.8,1.7,2.1,8.1,12.3,3.4,,,0,,,,,,,,,0,13.6,,,,,,,,,,,0,,,,,,,,,,,0,,0,,0,0,,,,,
Camacho_et_al_2024,CLR_0450_017,Surface Water,26.1082629,-81.7262133,,,EPA 1633,0,4.7,0,0,1,0,3.8,1.9,,,0,,,,,,,,,0,4.2,,,,,,,,,,,0,,,,,,,,,,,0,,0,,0,0,,,,,
Camacho_et_al_2024,CLR_0451_018,Surface Water,26.1974212,-81.7192097,,,EPA 1633,1.6,4.5,4.8,1.6,1.3,0,4.5,1.5,,,0,,,,,,,,,0,7,,,,,,,,,,,0,,,,,,,,,,,0,,0,,0,0,,,,,
Camacho_et_al_2024,CLR_0452_019,Surface Water,26.1685051,-81.7178442,,,EPA 1633,0,3.4,0,0,1,0,2.5,0.8,,,0,,,,,,,,,0,3.9,,,,,,,,,,,0,,,,,,,,,,,0,,0,,0,0,,,,,
Camacho_et_al_2024,CLR_0453_020,Surface Water,26.10251,-81.7010431,,,EPA 1633,0,1.7,0,0,0,0,1.4,0,,,0,,,,,,,,,0,0,,,,,,,,,,,0,,,,,,,,,,,0,,0,,0,0,,,,,
Camacho_et_al_2024,CLR_0454_021,Surface Water,26.2197892,-81.7631162,,,EPA 1633,0.8,2.7,0,0,0,0,2.4,1,,,0,,,,,,,,,0,8.8,,,,,,,,,,,0,,,,,,,,,,,0,,0,,0,0,,,,,
Camacho_et_al_2024,CLR_0455_022,Surface Water,26.2198779,-81.8164888,,,EPA 1633,0,3.1,0,1.6,1.2,0,2.6,0.6,,,0,,,,,,,,,0,1.9,,,,,,,,,,,0,,,,,,,,,,,0,,0,,0,0,,,,,
Camacho_et_al_2024,CLR_0456_023,Surface Water,26.2186074,-81.8182838,,,EPA 1633,0,1.9,0,0,0,0,1.2,0,,,0,,,,,,,,,0,0,,,,,,,,,,,0,,,,,,,,,,,0,,0,,0,0,,,,,
Camacho_et_al_2024,CLR_0461_025,Surface Water,26.207081,-81.816549,,,EPA 1633,0,1.8,0,0,0,0,1.3,0,,,0,,,,,,,,,0,1.1,,,,,,,,,,,0,,,,,,,,,,,0,,0,,0,0,,,,,
Camacho_et_al_2024,CLR_0462_026,Surface Water,26.196703,-81.81056,,,EPA 1633,0,2.8,0,1.5,0.9,0,2.3,0.7,,,0,,,,,,,,,0,1.9,,,,,,,,,,,0,,,,,,,,,,,0,,0,,0,0,,,,,
Camacho_et_al_2024,CLR_0463_027,Surface Water,26.207412,-81.783226,,,EPA 1633,8.3,13.8,5.6,2.8,3.4,11.7,13.3,6.6,,,0,,,,,,,,,0,10.4,,,,,,,,,,,1.1,,,,,,,,,,,0,,0,,0,0,,,,,
Camacho_et_al_2024,CLR_0464_028,Surface Water,26.197874,-81.76765,,,EPA 1633,4.3,5.8,0,1.9,1.5,0,5.6,2,,,0,,,,,,,,,0,4.5,,,,,,,,,,,0,,,,,,,,,,,0,,0,,0,0,,,,,
Camacho_et_al_2024,CLR_0465_029,Surface Water,26.175251,-81.78709,,,EPA 1633,7.9,10.6,4.9,2.5,2.8,8.6,10.9,5.5,,,0,,,,,,,,,0,7.4,,,,,,,,,,,0,,,,,,,,,,,0,,0,,0,0,,,,,
Camacho_et_al_2024,CLR_0466_030,Surface Water,26.167834,-81.767752,,,EPA 1633,0,3,0,0,1,0,2.6,1,,,0,,,,,,,,,0,3.8,,,,,,,,,,,0,,,,,,,,,,,0,,0,,0,0,,,,,
Camacho_et_al_2024,CLR_0467_031,Surface Water,26.162364,-81.77875,,,EPA 1633,2.1,22.9,5.1,2.1,1.7,8.2,11.7,6.1,,,0,,,,,,,,,0,5,,,,,,,,,,,0,,,,,,,,,,,0,,0,,0,0,,,,,
Camacho_et_al_2024,CLR_0468_032,Surface Water,26.15587,-81.788376,,,EPA 1633,1.5,3.6,0,1.7,1.1,0,2.9,1.1,,,0,,,,,,,,,0,4.2,,,,,,,,,,,0,,,,,,,,,,,0,,0,,0,0,,,,,
Camacho_et_al_2024,CLR_0469_033,Surface Water,26.162642,-81.810464,,,EPA 1633,0,2,0,0,0,0,1.5,0,,,0,,,,,,,,,0,1.7,,,,,,,,,,,0,,,,,,,,,,,0,,0,,0,0,,,,,
Camacho_et_al_2024,CLR_0471_035,Surface Water,26.2676,-81.7689,,,EPA 1633,2.8,8.1,4.5,2.4,2.1,0,5.1,3,,,0,,,,,,,,,0,6.4,,,,,,,,,,,1.1,,,,,,,,,,,0,,0,,0,0,,,,,
Camacho_et_al_2024,CLR_0472_036,Surface Water,26.2149,-81.7306,,,EPA 1633,0,3.4,0,0,0,0,3.7,0.8,,,0,,,,,,,,,0,3,,,,,,,,,,,0,,,,,,,,,,,0,,0,,0,0,,,,,
Camacho_et_al_2024,CLR_0475_037,Surface Water,26.2817,-81.828,,,EPA 1633,0,2.2,0,0,0,0,2.5,0,,,0,,,,,,,,,0,2.1,,,,,,,,,,,0,,,,,,,,,,,0,,0,,0,0,,,,,
Camacho_et_al_2024,CLR_0476_038,Surface Water,26.2639,-81.8245,,,EPA 1633,0,2.1,0,0,1,0,1.4,0,,,0,,,,,,,,,0,1.2,,,,,,,,,,,0,,,,,,,,,,,0,,0,,0,0,,,,,
Camacho_et_al_2024,CLR_0802_039,Surface Water,25.9141,-81.5404,,,EPA 1633,0,0,0,0,0,0,1.1,0,,,0,,,,,,,,,0,1.1,,,,,,,,,,,0,,,,,,,,,,,0,,0,,0,0,,,,,
Camacho_et_al_2024,CLR_0803_040,Surface Water,25.9005,-81.5159,,,EPA 1633,0,1.7,0,0,0,0,1.2,0,,,0,,,,,,,,,0,1.5,,,,,,,,,,,0,,,,,,,,,,,0,,0,,0,0,,,,,
Camacho_et_al_2024,CLR_0804_041,Surface Water,26.0257,-81.7337,,,EPA 1633,0,2.2,0,0,0,0,1.8,0,,,0,,,,,,,,,0,2.2,,,,,,,,,,,0,,,,,,,,,,,0,,0,,0,0,,,,,
Camacho_et_al_2024,CLR_0805_042,Surface Water,25.9342,-81.5955,,,EPA 1633,0,1.5,0,0,0,0,0,0,,,0,,,,,,,,,0,0,,,,,,,,,,,0,,,,,,,,,,,0,,0,,0,0,,,,,
Camacho_et_al_2024,CLR_0806_043,Surface Water,25.8922,-81.4769,,,EPA 1633,0,1.5,0,0,0,0,0,0,,,0,,,,,,,,,0,1.1,,,,,,,,,,,0,,,,,,,,,,,0,,0,,0,0,,,,,
Camacho_et_al_2024,CLR_0842_044,Surface Water,26.093791,-81.799765,,,EPA 1633,0,2.2,0,0,0.9,0,1.5,0,,,0,,,,,,,,,0,1.4,,,,,,,,,,,0,,,,,,,,,,,0,,0,,0,0,,,,,
Camacho_et_al_2024,CLR_0843_045,Surface Water,26.023634,-81.709846,,,EPA 1633,0,2.2,0,0,0,0,2.9,1.1,,,0,,,,,,,,,0,0,,,,,,,,,,,0,,,,,,,,,,,0,,0,,0,0,,,,,
Camacho_et_al_2024,CLR_0844_046,Surface Water,26.001367,-81.686374,,,EPA 1633,0,4.5,0,1.6,1.1,0,4.3,1.3,,,0,,,,,,,,,0,2.5,,,,,,,,,,,0,,,,,,,,,,,0,,0,,0,0,,,,,
Camacho_et_al_2024,CLR_0846_048,Surface Water,25.977061,-81.73763,,,EPA 1633,0,1.7,0,0,0,0,1.1,0,,,0,,,,,,,,,0,1.3,,,,,,,,,,,0,,,,,,,,,,,0,,0,,0,0,,,,,
Camacho_et_al_2024,CLR_0847_049,Surface Water,25.980488,-81.703206,,,EPA 1633,0,1.7,0,0,0,0,1.3,0,,,0,,,,,,,,,0,1.3,,,,,,,,,,,0,,,,,,,,,,,0,,0,,0,0,,,,,
Camacho_et_al_2024,CLR_0848_050,Surface Water,25.96294,-81.727511,,,EPA 1633,0,0,0,0,0,0,1,0,,,0,,,,,,,,,0,1,,,,,,,,,,,0,,,,,,,,,,,0,,0,,0,0,,,,,
Camacho_et_al_2024,CLR_0849_051,Surface Water,25.952418,-81.730698,,,EPA 1633,0,2.1,0,0,0,0,1.8,0,,,0,,,,,,,,,0,0,,,,,,,,,,,0,,,,,,,,,,,0,,0,,0,0,,,,,
Camacho_et_al_2024,CLR_0850_052,Surface Water,25.947088,-81.74378,,,EPA 1633,0,2,0,0,0,0,1.3,0,,,0,,,,,,,,,0,1.4,,,,,,,,,,,0,,,,,,,,,,,0,,0,,0,0,,,,,
Camacho_et_al_2024,CLR_0851_053,Surface Water,25.924514,-81.698358,,,EPA 1633,0,0,0,0,0.9,0,1.1,0,,,0,,,,,,,,,0,1.3,,,,,,,,,,,0,,,,,,,,,,,0,,0,,0,0,,,,,
Camacho_et_al_2024,CLR_0852_054,Surface Water,25.922985,-81.708795,,,EPA 1633,0,1.7,0,0,0,0,1.5,0,,,0,,,,,,,,,0,0,,,,,,,,,,,0,,,,,,,,,,,0,,0,,0,0,,,,,
Camacho_et_al_2024,CLR_0853_055,Surface Water,25.92712,-81.72097,,,EPA 1633,0,2,0,0,0.9,0,2.2,0,,,0,,,,,,,,,0,1.7,,,,,,,,,,,0,,,,,,,,,,,0,,0,,0,0,,,,,
Camacho_et_al_2024,CLR_1867_057,Surface Water,26.00569444,-81.60922222,,,EPA 1633,0.5,3.3,0,0,0,0,1.9,0.9,,,0,,,,,,,,,0,0,,,,,,,,,,,0,,,,,,,,,,,0,,0,,0,0,,,,,
Camacho_et_al_2024,CLR_1868_058,Surface Water,25.99863889,-81.59830556,,,EPA 1633,0,3,0,0,0,0,0,0,,,0,,,,,,,,,0,1.8,,,,,,,,,,,0,,,,,,,,,,,0,,0,,0,0,,,,,
Camacho_et_al_2024,CLR_1869_059,Surface Water,26.12127778,-81.52280556,,,EPA 1633,0,0,0,0,0,0,0,0,,,0,,,,,,,,,0,1.5,,,,,,,,,,,0,,,,,,,,,,,0,,0,,0,0,,,,,
Camacho_et_al_2024,CLR_1870_060,Surface Water,26.31172222,-81.62613889,,,EPA 1633,0,1.9,0,0,0,0,1.8,0.9,,,0,,,,,,,,,0,2.3,,,,,,,,,,,0,,,,,,,,,,,0,,0,,0,0,,,,,
Camacho_et_al_2024,CLR_1875_061,Surface Water,25.99044444,-81.61205556,,,EPA 1633,0,2.3,0,0,0,0,0,0,,,0,,,,,,,,,0,1.5,,,,,,,,,,,0,,,,,,,,,,,0,,0,,0,0,,,,,
Camacho_et_al_2024,CLR_1876_062,Surface Water,25.96744444,-81.63461111,,,EPA 1633,0,1.7,0,0,0,0,0,0,,,0,,,,,,,,,0,2.9,,,,,,,,,,,0,,,,,,,,,,,0,,0,,0,0,,,,,
Camacho_et_al_2024,CLR_1877_063,Surface Water,25.93247222,-81.65508333,,,EPA 1633,0,0,0,0,0,0,1.1,0,,,0,,,,,,,,,0,1.6,,,,,,,,,,,0,,,,,,,,,,,0,,0,,0,0,,,,,
Camacho_et_al_2024,CLR_1878_064,Surface Water,25.91244444,-81.71691667,,,EPA 1633,0,0,0,0,0,0,1,0,,,0,,,,,,,,,0,1.2,,,,,,,,,,,0,,,,,,,,,,,0,,0,,0,0,,,,,
Camacho_et_al_2024,CLR_1879_065,Surface Water,25.98522222,-81.70425,,,EPA 1633,0,0,0,0,0,0,0.9,0,,,0,,,,,,,,,0,0,,,,,,,,,,,0,,,,,,,,,,,0,,0,,0,0,,,,,
Camacho_et_al_2024,CLR_1880_066,Surface Water,26.02383333,-81.73411111,,,EPA 1633,0,0,0,0,0,0,1.2,0,,,0,,,,,,,,,0,1.2,,,,,,,,,,,0,,,,,,,,,,,0,,0,,0,0,,,,,
Camacho_et_al_2024,CLR_1881_067,Surface Water,25.89230556,-81.32655556,,,EPA 1633,0,0,0,0,0,0,0,0,,,0,,,,,,,,,0,0,,,,,,,,,,,0,,,,,,,,,,,0,,0,,0,0,,,,,
Camacho_et_al_2024,CLR_1882_068,Surface Water,25.81416667,-81.36405556,,,EPA 1633,0,0,0,0,0,0,0,0,,,0,,,,,,,,,0,1.1,,,,,,,,,,,0,,,,,,,,,,,0,,0,,0,0,,,,,
Camacho_et_al_2024,CLR_1883_069,Surface Water,25.87241667,-81.38230556,,,EPA 1633,0,0,0,0,0,0,0,0,,,0,,,,,,,,,0,0,,,,,,,,,,,0,,,,,,,,,,,0,,0,,0,0,,,,,
Camacho_et_al_2024,CLR_1884_070,Surface Water,25.87241667,-81.38230556,,,EPA 1633,0,1.8,0,0,0,0,0,0,,,0,,,,,,,,,0,0,,,,,,,,,,,0,,,,,,,,,,,0,,0,,0,0,,,,,
Camacho_et_al_2024,CLR_1885_071,Surface Water,26.04594444,-81.70841667,,,EPA 1633,0,2.5,0,0,0,0,2.4,0.6,,,0,,,,,,,,,0,2.7,,,,,,,,,,,0,,,,,,,,,,,0,,0,,0,0,,,,,
Camacho_et_al_2024,CLR_1886_072,Surface Water,26.10275,-81.78511111,,,EPA 1633,0,0,0,0,0,0,1,0,,,0,,,,,,,,,0,1.1,,,,,,,,,,,0,,,,,,,,,,,0,,0,,0,0,,,,,
Camacho_et_al_2024,CLR_1887_073,Surface Water,26.15466667,-81.80947222,,,EPA 1633,0,0,0,0,0,0,1,0,,,0,,,,,,,,,0,1.2,,,,,,,,,,,0,,,,,,,,,,,0,,0,,0,0,,,,,
Camacho_et_al_2024,CLR_1888_074,Surface Water,26.211,-81.81261111,,,EPA 1633,0,1.7,0,0,0,0,1.3,0,,,0,,,,,,,,,0,1.4,,,,,,,,,,,0,,,,,,,,,,,0,,0,,0,0,,,,,
Camacho_et_al_2024,CLR_1889_075,Surface Water,26.28833333,-81.83008333,,,EPA 1633,0,0,0,0,0,0,0.9,0,,,0,,,,,,,,,0,1.2,,,,,,,,,,,0,,,,,,,,,,,0,,0,,0,0,,,,,
Camacho_et_al_2024,CLR_1892_076,Surface Water,26.49547222,-81.52908333,,,EPA 1633,1.7,7.1,0,0,1.1,0,3.3,2.9,,,0,,,,,,,,,0,4.9,,,,,,,,,,,0,,,,,,,,,,,0,,0,,0,0,,,,,
Camacho_et_al_2024,CLR_1895_077,Surface Water,26.4385,-81.47494444,,,EPA 1633,0,5.7,5.5,0,1,0,4,2,,,0,,,,,,,,,0,11.7,,,,,,,,,,,0,,,,,,,,,,,0,,0,,0,0,,,,,
Camacho_et_al_2024,CLR_1896_078,Surface Water,26.43311111,-81.48541667,,,EPA 1633,0,2.5,0,0,0,0,2.5,1,,,0,,,,,,,,,0,3.1,,,,,,,,,,,0,,,,,,,,,,,0,,0,,0,0,,,,,
Camacho_et_al_2024,CLR_1897_079,Surface Water,26.36669444,-81.48661111,,,EPA 1633,0,2.1,0,0,0,0,0,0,,,0,,,,,,,,,0,0,,,,,,,,,,,0,,,,,,,,,,,0,,0,,0,0,,,,,
Camacho_et_al_2024,CLR_1898_080,Surface Water,26.33822222,-81.43325,,,EPA 1633,0,3,0,0,0,0,2.8,0.9,,,0,,,,,,,,,0,2,,,,,,,,,,,0,,,,,,,,,,,0,,0,,0,0,,,,,
Camacho_et_al_2024,CLR_1899_081,Surface Water,26.31913889,-81.44233333,,,EPA 1633,0,3,0,0,0,0,2.7,0,,,0,,,,,,,,,0,6.1,,,,,,,,,,,0,,,,,,,,,,,0,,0,,0,0,,,,,
Camacho_et_al_2024,CLR_1900_082,Surface Water,26.35175,-81.34341667,,,EPA 1633,1,2.9,0,0,0.9,0,2.7,1.3,,,0,,,,,,,,,0,2.5,,,,,,,,,,,0,,,,,,,,,,,0,,0,,0,0,,,,,
Camacho_et_al_2024,CLR_1901_083,Surface Water,26.21813889,-81.34463889,,,EPA 1633,0,2.1,0,0,0,0,0,0,,,0,,,,,,,,,0,2,,,,,,,,,,,0,,,,,,,,,,,0,,0,,0,0,,,,,
Camacho_et_al_2024,CLR_1902_084,Surface Water,26.14405556,-81.35272222,,,EPA 1633,0,0,0,0,0,0,0,0,,,0,,,,,,,,,0,0,,,,,,,,,,,0,,,,,,,,,,,0,,0,,0,0,,,,,
Camacho_et_al_2024,CLR_1903_085,Surface Water,25.97055556,-81.35186111,,,EPA 1633,0,0,0,0,0,0,0,0,,,0,,,,,,,,,0,0,,,,,,,,,,,0,,,,,,,,,,,0,,0,,0,0,,,,,
Camacho_et_al_2024,CLR_1904_086,Surface Water,26.15597222,-81.26644444,,,EPA 1633,0,0,0,0,0,0,0,0,,,0,,,,,,,,,0,0,,,,,,,,,,,0,,,,,,,,,,,0,,0,,0,0,,,,,
Camacho_et_al_2024,CLR_1905_087,Surface Water,25.98730556,-81.57033333,,,EPA 1633,0,0,0,0,0,0,0,0,,,0,,,,,,,,,0,0,,,,,,,,,,,0,,,,,,,,,,,0,,0,,0,0,,,,,
Camacho_et_al_2024,CLR_1906_088,Surface Water,25.96494444,-81.52755556,,,EPA 1633,0,0,0,0,0,0,0,0,,,0,,,,,,,,,0,0,,,,,,,,,,,0,,,,,,,,,,,0,,0,,0,0,,,,,
Camacho_et_al_2024,CLR_1907_089,Surface Water,25.95922222,-81.51005556,,,EPA 1633,4.4,0,0,0,0,0,0,0,,,0,,,,,,,,,0,0,,,,,,,,,,,0,,,,,,,,,,,0,,0,,0,0,,,,,
Camacho_et_al_2024,CLR_1908_090,Surface Water,25.97191667,-81.50958333,,,EPA 1633,0,0,0,0,0,0,0,0,,,0,,,,,,,,,0,0,,,,,,,,,,,0,,,,,,,,,,,0,,0,,0,0,,,,,
Camacho_et_al_2024,CLR_1909_091,Surface Water,25.95583333,-81.48866667,,,EPA 1633,0,0,0,0,0,0,0,0,,,0,,,,,,,,,0,0,,,,,,,,,,,0,,,,,,,,,,,0,,0,,0,0,,,,,
Camacho_et_al_2024,CLR_1910_092,Surface Water,25.94394444,-81.47455556,,,EPA 1633,0,0,0,0,0,0,0,0,,,0,,,,,,,,,0,0,,,,,,,,,,,0,,,,,,,,,,,0,,0,,0,0,,,,,
Camacho_et_al_2024,CLR_1911_093,Surface Water,25.9405,-81.47016667,,,EPA 1633,0,0,0,0,0,0,0,0,,,0,,,,,,,,,0,0,,,,,,,,,,,0,,,,,,,,,,,0,,0,,0,0,,,,,
Camacho_et_al_2024,CLR_1912_094,Surface Water,25.93136111,-81.44444444,,,EPA 1633,0,0,0,0,0,0,0,0,,,0,,,,,,,,,0,0,,,,,,,,,,,0,,,,,,,,,,,0,,0,,0,0,,,,,
Camacho_et_al_2024,CLR_1913_095,Surface Water,25.92375,-81.41844444,,,EPA 1633,0,0,0,0,0,0,0,0,,,0,,,,,,,,,0,0,,,,,,,,,,,0,,,,,,,,,,,0,,0,,0,0,,,,,
Camacho_et_al_2024,CLR_1914_096,Surface Water,25.91469444,-81.37333333,,,EPA 1633,0,0,0,0,0,0,0,0,,,0,,,,,,,,,0,0,,,,,,,,,,,0,,,,,,,,,,,0,,0,,0,0,,,,,
Camacho_et_al_2024,CLR_1915_097,Surface Water,25.90530556,-81.34877778,,,EPA 1633,0,0,0,0,0,0,0,0,,,0,,,,,,,,,0,0,,,,,,,,,,,0,,,,,,,,,,,0,,0,,0,0,,,,,
Camacho_et_al_2024,CLR_1916_098,Surface Water,25.8915,-81.27075,,,EPA 1633,0,0,0,0,0,0,0,0,,,0,,,,,,,,,0,0,,,,,,,,,,,0,,,,,,,,,,,0,,0,,0,0,,,,,
Camacho_et_al_2024,CLR_1917_099,Surface Water,25.87655556,-81.22808333,,,EPA 1633,0,0,0,0,0,0,0,0,,,0,,,,,,,,,0,0,,,,,,,,,,,0,,,,,,,,,,,0,,0,,0,0,,,,,
Camacho_et_al_2024,CLR_1918_100,Surface Water,25.86711111,-81.13344444,,,EPA 1633,0,0,0,0,0,0,0,0,,,0,,,,,,,,,0,0,,,,,,,,,,,0,,,,,,,,,,,0,,0,,0,0,,,,,
Camacho_et_al_2024,CLR_1919_101,Surface Water,25.85944444,-81.10061111,,,EPA 1633,0,0,0,0,0,0,0,0,,,0,,,,,,,,,0,0,,,,,,,,,,,0,,,,,,,,,,,0,,0,,0,0,,,,,
Camacho_et_al_2024,CLR_1941_102,Surface Water,26.17466667,-80.89472222,,,EPA 1633,3.5,0,0,0,0,0,0,0,,,0,,,,,,,,,0,0,,,,,,,,,,,0,,,,,,,,,,,0,,0,,0,0,,,,,
Camacho_et_al_2024,CLR_1946_103,Surface Water,26.02258333,-81.61144444,,,EPA 1633,0,3.1,0,0,0,0,0,0,,,0,,,,,,,,,0,0,,,,,,,,,,,0,,,,,,,,,,,0,,0,,0,0,,,,,
Camacho_et_al_2024,CLM_1161_002,Surface Water,29.84398,-82.67477,,,EPA 1633,0,2.5,0,0,0.7,0,0,0,,,0,,,,,,,,,0,5.5,,,,,,,,,,,0,,,,,,,,,,,0,,0,,0,0,,,,,
Camacho_et_al_2024,CLM_1163_003,Surface Water,29.95149,-82.77828,,,EPA 1633,0,0,0,0,0,0,0,0,,,0,,,,,,,,,0,0,,,,,,,,,,,0,,,,,,,,,,,0,,0,,0,0,,,,,
Camacho_et_al_2024,CLM_1437_014,Surface Water,30.68178889,-82.56000833,,,EPA 1633,0,2.6,0,0,0.8,0,0,0,,,0,,,,,,,,,0,0,,,,,,,,,,,0,,,,,,,,,,,0,,0,,0,0,,,,,
Camacho_et_al_2024,CLM_1829_004,Surface Water,29.92708333,-82.56375,,,EPA 1633,0,2.2,0,0,0.6,0,0,0,,,0,,,,,,,,,0,0,,,,,,,,,,,0,,,,,,,,,,,0,,0,,0,0,,,,,
Camacho_et_al_2024,CLM_1830_005,Surface Water,29.84405556,-82.63197222,,,EPA 1633,0,2.3,0,0,0.7,0,0,0,,,0,,,,,,,,,0,4.3,,,,,,,,,,,0,,,,,,,,,,,0,,0,,0,0,,,,,
Camacho_et_al_2024,CLM_1831_006,Surface Water,29.83466667,-82.67733333,,,EPA 1633,0,2.5,0,0,0,0,0,0,,,0,,,,,,,,,0,0,,,,,,,,,,,0,,,,,,,,,,,0,,0,,0,0,,,,,
Camacho_et_al_2024,CLM_1832_007,Surface Water,29.86511111,-82.73936111,,,EPA 1633,0,2.6,0,0,0.7,0,0,0,,,0,,,,,,,,,0,0,,,,,,,,,,,0,,,,,,,,,,,0,,0,,0,0,,,,,
Camacho_et_al_2024,CLM_2146_015,Surface Water,29.91463889,-82.57955556,,,EPA 1633,0,2.7,0,0,0.6,0,0,0,,,0,,,,,,,,,0,4.9,,,,,,,,,,,0,,,,,,,,,,,0,,0,,0,0,,,,,
Camacho_et_al_2024,CLM_0077_008,Surface Water,30.328239,-82.759779,,,EPA 1633,0,2.7,0,0,0.7,0,0,0,,,0,,,,,,,,,0,0,,,,,,,,,,,0,,,,,,,,,,,0,,0,,0,0,,,,,
Camacho_et_al_2024,CLM_0078_009,Surface Water,30.185344,-82.643857,,,EPA 1633,9,9.4,0,2.3,1.5,13.6,9.1,0,,,0,,,,,,,,,0,11.5,,,,,,,,,,,0,,,,,,,,,,,0,,0,,0,0,,,,,
Camacho_et_al_2024,CLM_0079_010,Surface Water,30.190703,-82.635268,,,EPA 1633,7,9.1,0,2.7,1.2,13,8.6,0,,,0,,,,,,,,,0,7.5,,,,,,,,,,,0,,,,,,,,,,,0,,0,,0,0,,,,,
Camacho_et_al_2024,CLM_0080_011,Surface Water,30.169153,-82.6159,,,EPA 1633,18.5,8.2,10,0,3.1,35,13.8,9.5,,,0,,,,,,,,,0,11.9,,,,,,,,,,,0,,,,,,,,,,,0,,0,,0,0,,,,,
Camacho_et_al_2024,CLM_0081_012,Surface Water,30.193357,-82.602911,,,EPA 1633,5.4,5.3,0,0,0.9,11.9,8.7,0,,,0,,,,,,,,,0,5.9,,,,,,,,,,,0,,,,,,,,,,,0,,0,,0,0,,,,,
Camacho_et_al_2024,CLM_0082_013,Surface Water,30.170171,-82.565978,,,EPA 1633,38.2,21,0,1.8,6.2,32.3,20.5,17.6,,,0,,,,,,,,,0,0,,,,,,,,,,,0,,,,,,,,,,,0,,0,,0,0,,,,,
Camacho_et_al_2024,DES_0009_001,Surface Water,27.04388889,-81.98583333,,,EPA 1633,4.7,4.1,0,0,0,0,4.5,3.1,,,0,,,,,,,,,0,5,,,,,,,,,,,0,,,,,,,,,,,0,,0,,0,0,,,,,
Camacho_et_al_2024,DES_1991_002,Surface Water,27.074775,-81.988275,,,EPA 1633,4.7,4.4,0,0,0,0,6.2,3.5,,,0,,,,,,,,,0,6.1,,,,,,,,,,,0,,,,,,,,,,,0,,0,,0,0,,,,,
Camacho_et_al_2024,DES_1992_003,Surface Water,27.04380833,-81.98575278,,,EPA 1633,5.3,4.1,0,0,0,0,5.7,3.4,,,0,,,,,,,,,0,3.2,,,,,,,,,,,0,,,,,,,,,,,0,,0,,0,0,,,,,
Camacho_et_al_2024,DES_2000_004,Surface Water,27.15467222,-81.9675,,,EPA 1633,0,0,0,0,0,0,0,0,,,0,,,,,,,,,0,0,,,,,,,,,,,0,,,,,,,,,,,0,,0,,0,0,,,,,
Camacho_et_al_2024,DES_2001_005,Surface Water,27.16216667,-81.90196667,,,EPA 1633,6.8,4.7,0,0,4.5,0,5.6,3.7,,,0,,,,,,,,,0,3.6,,,,,,,,,,,0,,,,,,,,,,,0,,0,,0,0,,,,,
Camacho_et_al_2024,DES_2002_006,Surface Water,27.22125278,-81.87661944,,,EPA 1633,5.1,4.8,0,0,4,0,5.5,3,,,0,,,,,,,,,0,5,,,,,,,,,,,0,,,,,,,,,,,0,,0,,0,0,,,,,
Camacho_et_al_2024,DES_2240_007,Surface Water,27.224135,-81.882027,,,EPA 1633,4.2,5.6,0,0,0,0,0,4.4,,,0,,,,,,,,,0,5.3,,,,,,,,,,,0,,,,,,,,,,,0,,0,,0,0,,,,,
Camacho_et_al_2024,DES_2485_008,Surface Water,27.29791,-81.84628,,,EPA 1633,2.2,3.1,0,0,0,0,0,0,,,0,,,,,,,,,0,3.9,,,,,,,,,,,0,,,,,,,,,,,0,,0,,0,0,,,,,
Camacho_et_al_2024,DIX_0109_001,Surface Water,29.3547,-83.2324,,,EPA 1633,0,0,0,0,0,0,0,0,,,0,,,,,,,,,0,0,,,,,,,,,,,0,,,,,,,,,,,0,,0,,0,0,,,,,
Camacho_et_al_2024,DIX_0110_002,Surface Water,29.4025,-83.2345,,,EPA 1633,0,0,0,0,0,0,0,0,,,0,,,,,,,,,0,0,,,,,,,,,,,0,,,,,,,,,,,0,,0,,0,0,,,,,
