Article (Author et al YYYY),Sample Name,Sample Type,Latitude,Longitude,Sampling Year,Sample Date (MM/DD/YYY),Sample Time,Analysis Method,Streamflow (m3/s),Sampling Depth (m),PFOS,PFOA,FBSA,PFDA,PFNA,PFHxS,PFHxA,PFHpA,PFHpS,GenX,4:2 FTS,6:2 FTS,8:2 FTS,10:2 FTS,3:3 FTCA,5:3 FTCA,7:3 FTCA,PFPA,PFPeA,PFPeS,PFBS,PFBA,PFMOPrA,PFMOBA,PFMOAA,PFO2HxA,PFO3OA,PFO4DA,PFESA BP 1,PFESA BP 2,PFDoS,PFUnDA,FOSAA,N-MeFOSE,NMeFOSAA,NMeFOSA,N-EtFOSE,NEtFOSAA,N-EtFOSA,PFDS,PFTeDA,PFHxDA,PFNS,PFTrDA,PFDoA,PFOSA,9-Cl-PF3ONS,11-Cl-PF3OUdS,PFECA-G,ADONA,PFEESA,NFDHA
Dunn_et_al_2023,4,Surface Water,41.40049,-71.77231,2021,9/2/2021,,EPA 533,,,3.8,4.2,,1.1,1.5,1.1,5.5,9.4,,,,,,,,,,,2.9,,,3.4,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
Dunn_et_al_2023,4,Surface Water,41.40049,-71.77231,2021,12/20/2021,,EPA 533,,,4.2,5.2,,0.89,3.6,0.49,2.3,,,,,,,,,,0.27,,1.7,,,,,,,,,,,,,2.6,,,,,,,,,,,,,,,,,,,,
Dunn_et_al_2023,4,Surface Water,41.40049,-71.77231,2022,1/25/2022,,EPA 533,,,3.4,4.7,,,,,,,,,,,,,,,0.2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dunn_et_al_2023,5,Surface Water,41.39469,-71.84135,2021,5/26/2021,,EPA 533,,,3.4,5.7,,2.1,1.4,0.84,4.7,,,,,,,,,,,,3.6,,,,,,,,,,,,,1.1,,,,,,,,,,,,,,,,,,,,
Dunn_et_al_2023,5,Surface Water,41.39469,-71.84135,2021,9/2/2021,,EPA 533,,,4.4,2.7,,0.61,,0.67,3,,,,,,,,,,,,1.9,,,5.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dunn_et_al_2023,5,Surface Water,41.39469,-71.84135,2021,11/17/2021,,EPA 533,,,,3.4,,0.53,,,,,,,,,,,,,,,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dunn_et_al_2023,5,Surface Water,41.39469,-71.84135,2021,12/20/2021,,EPA 533,,,3.4,4.2,,0.66,1.5,0.46,3.2,,,,,,,,,,,,1.8,,,,,,,,,,,,,2.1,,,,,,,,,,,,,,,,,,,,
Dunn_et_al_2023,6,Surface Water,41.37515,-71.83241,2021,5/26/2021,,EPA 533,,,4.7,6.9,,3.2,2.2,1.3,4.4,,,,,,,,,,,,3.7,,,2.8,,,,,,,,,,3.2,,,,,,,,,,,,,,,,,,,,
Dunn_et_al_2023,6,Surface Water,41.37515,-71.83241,2021,6/21/2021,,EPA 533,,,,4.2,,1.1,,0.81,4.9,,,,,,,,,,0.39,,4.3,,,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dunn_et_al_2023,6,Surface Water,41.37515,-71.83241,2021,7/28/2021,,EPA 533,,,2.8,5.6,,1.4,,0.51,7.8,,,,,,,,,,,,4.6,,,3.7,,,,,,,,,,0.94,,,,,,,,,,,,,,,,,,,,
Dunn_et_al_2023,6,Surface Water,41.37515,-71.83241,2021,9/2/2021,,EPA 533,,,7,4.2,,0.78,2.2,0.51,5.8,27,,,,,,,,,0.19,,4.9,,,10,,,,,,,,,,0.81,,,,,,,,,,,,,,,,,,,,
Dunn_et_al_2023,6,Surface Water,41.37515,-71.83241,2021,11/22/2021,,EPA 533,,,6.8,4.8,,1.7,1.3,,3.6,,,,,,,,,,,,2.9,,,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dunn_et_al_2023,6,Surface Water,41.37515,-71.83241,2021,12/21/2021,,EPA 533,,,2.6,3.2,,,,0.48,,,,,,,,,,,,,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dunn_et_al_2023,7,Surface Water,41.35365,-71.83172,2021,5/26/2021,,EPA 533,,,7.8,10,,8.8,4.3,0.63,5.1,,,,,,,,,,,,3.8,,,,,,,,,,,,,3.5,,,,,,,,,,,,,,,,,,,,
Dunn_et_al_2023,7,Surface Water,41.35365,-71.83172,2021,10/22/2021,,EPA 533,,,3.6,5.5,,1.6,1.5,0.85,5.9,,,,,,,,,,,,3.8,,,3.1,,,,,,,,,,0.86,,,,,,,,,,,,,,,,,,,,
