Article (Author et al YYYY),Sample Name,Sample Type,Latitude,Longitude,Sampling Year,Sample Date (MM/DD/YYY),Sample Time,Analysis Method,Streamflow (m3/s),Sampling Depth (m),Units,PFOS,PFOA,FBSA,PFDA,PFNA,PFHxS,PFHxA,PFHpA,PFHpS,GenX,4:2 FTS,6:2 FTS,8:2 FTS,10:2 FTS,3:3 FTCA,5:3 FTCA,7:3 FTCA,PFPA,PFPeA,PFPeS,PFBS,PFBA,PFMOPrA,PFMOBA,PFMOAA,PFO2HxA,PFO3OA,PFO4DA,PFESA BP 1,PFESA BP 2,PFDoS,PFU0A,FOSAA,N-MeFOSE,NMeFOSAA,NMeFOSA,N-EtFOSE,NEtFOSAA,N-EtFOSA,PFDS,PFTeDA,PFHxDA,PFNS,PFTrDA,PFDoA,PFOSA,9-Cl-PF3ONS,11-Cl-PF3OUdS,PFECA-G,ADONA,PFEESA,NFDHA,PFODA
Forster_et_al_2024,Big Branch Creek,Surface Water,33.66546,-81.65438,2022,,,Unnamed_SPE_LCMS_MS,,,ng/L,3.3,1.8,,0,11.7,0,1.3,0,0,0,0,0,0,,,,,,0,1.1,7,0,,,,,,,,,0,0,,0,31.5,0,0,0,0,0,0,,0,0,0,0,,,,0,,,
Forster_et_al_2024,Bridge Creek Po0,Surface Water,33.576097,-81.7986615,2022,,,Unnamed_SPE_LCMS_MS,,,ng/L,72.2,1.5,,0,0,0,0,0,0,0,0,0,0,,,,,,24,1.4,0,0,,,,,,,,,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,,,,0,,,
Forster_et_al_2024,Vaucluse Po0,Surface Water,33.6140476,-81.8079714,2022,,,Unnamed_SPE_LCMS_MS,,,ng/L,122,0,,0,0,0,0,14.2,0,3.2,0,0,0,,,,,,0,0,0,0,,,,,,,,,0,0,,0,0,4.4,0,0,0,0,0,,0,0,0,0,,,,0,,,
Forster_et_al_2024,Good Spring Branch Creek,Surface Water,33.6111194,-81.8048558,2022,,,Unnamed_SPE_LCMS_MS,,,ng/L,20.3,0,,0,0,2.2,0,13.9,0,4.2,0,0,0,,,,,,0,0,11.7,0,,,,,,,,,0,0,,0,0,3.3,0,0,0,0,0,,0,0,0,0,,,,0,,,
Forster_et_al_2024,Blatt Creek,Surface Water,33.990942,-81.0271988,2022,,,Unnamed_SPE_LCMS_MS,,,ng/L,12,50.8,,0,0,2.3,5.4,23.3,0,0,0,5.2,0,,,,,,18,0,0,2.3,,,,,,,,,0,0,,0,34.8,0,0,0,0,0,0,,0,0,0,0,,,,0,,,
Forster_et_al_2024,Upper Saluda River,Surface Water,34.0465182,-81.1897949,2022,,,Unnamed_SPE_LCMS_MS,,,ng/L,8.7,3.2,,0,0,0,0,1.7,0,10.9,0,0,0,,,,,,26,0,9.3,2.8,,,,,,,,,0,0,,0,29.4,0,0,0,0,2.1,0,,0,0,2.2,0,,,,0,,,
Forster_et_al_2024,Lower Saluda River,Surface Water,34.0296819,-81.1388884,2022,,,Unnamed_SPE_LCMS_MS,,,ng/L,1.6,1.7,,0,0,1.7,0,16.5,0,5.1,0,0,0,,,,,,3.1,0,0,1.5,,,,,,,,,0,0,,0,37.1,0,0,0,0,6.4,0,,0,0,0,0,,,,0,,,
Forster_et_al_2024,Broad River,Surface Water,34.007252,-81.058468,2022,,,Unnamed_SPE_LCMS_MS,,,ng/L,1.3,11.1,,0,0,1.9,35.2,4.5,0,114.5,0,0,0,,,,,,40,0,0,0,,,,,,,,,0,0,,0,3.1,0,0,0,0,0,0,,0,0,133.8,0,,,,0,,,
Forster_et_al_2024,Gills Creek,Surface Water,33.9855894,-80.9756443,2022,,,Unnamed_SPE_LCMS_MS,,,ng/L,0,5.4,,0,1.7,1.9,0,13.4,0,4.6,0,0,0,,,,,,4.7,0,15.1,3.9,,,,,,,,,0,0,,0,8.3,0,0,0,0,0,0,,0,0,0,0,,,,0,,,
Forster_et_al_2024,25 Mile Creek,Surface Water,34.2443535,-80.6729811,2022,,,Unnamed_SPE_LCMS_MS,,,ng/L,7.6,1.3,,0,2.5,0,0,1.6,0,0,0,0,0,,,,,,0,0,0,0,,,,,,,,,0,0,,0,1.1,0,0,0,0,0,0,,0,0,0,0,,,,0,,,
