Article (Author et al YYYY),Sample Name,Approx Mile Marker,Sample Type,Latitude,Longitude,Sampling Year,Sample Date (MM/DD/YYY),Sample Time,Analysis Method,Streamflow (m3/s),Sampling Depth (m),Units,PFOS,PFOA,FBSA,PFDA,PFNA,PFHxS,PFHxA,PFHpA,PFHpS,GenX,4:2 FTS,6:2 FTS,8:2 FTS,10:2 FTS,3:3 FTCA,5:3 FTCA,7:3 FTCA,PFPA,PFPeA,PFPeS,PFBS,PFBA,PFMOPrA,PFMOBA,PFMOAA,PFO2HxA,PFO3OA,PFO4DA,PFESA BP 1,PFESA BP 2,PFDoS,PFUnDA,FOSAA,N-MeFOSE,NMeFOSAA,NMeFOSA,N-EtFOSE,NEtFOSAA,N-EtFOSA,PFDS,PFTeDA,PFHxDA,PFHxSA,PFNS,PFTrDA,PFDoA,PFOSA,9-Cl-PF3ONS,11-Cl-PF3OUdS,PFECA-G,ADONA,PFEESA,NFDHA,PFODA,pH,TOC (g/l),DOC
Hansen_et_al_2002,21,299,Surface Water,34.6618,-87.0544,2000,11/15/2000,,Unnamed_SPE_LCMS_MS,,7.0104,ng/L,37.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hansen_et_al_2002,22,297,Surface Water,34.6703,-87.0863,2000,11/15/2000,,Unnamed_SPE_LCMS_MS,,7.62,ng/L,30.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hansen_et_al_2002,23,295,Surface Water,34.6899,-87.1118,2000,11/15/2000,,Unnamed_SPE_LCMS_MS,,7.0104,ng/L,74.8,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hansen_et_al_2002,24,293,Surface Water,34.7094,-87.1375,2000,11/15/2000,,Unnamed_SPE_LCMS_MS,,7.9248,ng/L,96.4,203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hansen_et_al_2002,25,291,Surface Water,34.7263,-87.1651,2000,11/15/2000,,Unnamed_SPE_LCMS_MS,,6.096,ng/L,98,266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hansen_et_al_2002,26,289,Surface Water,34.7429,-87.1924,2000,11/15/2000,,Unnamed_SPE_LCMS_MS,,6.4008,ng/L,107,323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hansen_et_al_2002,27,287,Surface Water,34.7586,-87.2194,2000,11/15/2000,,Unnamed_SPE_LCMS_MS,,5.4864,ng/L,136,513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hansen_et_al_2002,28,285,Surface Water,34.7439,-87.2527,2000,11/15/2000,,Unnamed_SPE_LCMS_MS,,8.5344,ng/L,140,375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hansen_et_al_2002,29,283,Surface Water,34.7428,-87.2881,2000,11/15/2000,,Unnamed_SPE_LCMS_MS,,8.8392,ng/L,106,355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hansen_et_al_2002,30,281,Surface Water,34.7605,-87.3143,2000,11/15/2000,,Unnamed_SPE_LCMS_MS,,9.7536,ng/L,134,507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
