Article (Author et al YYYY),Sample Name,Sample Type,Latitude (Decimal),Longitude (Decimal),Sample Date (MM/DD/YYY),Sample Time,Analysis Method,PFOS,PFOA,FBSA,PFDA,PFNA,PFHxS,PFHxA,PFHpA,PFHpS,GenX,4:2 FTS,6:2 FTS,8:2 FTS,10:2 FTS,3:3 FTCA,5:3 FTCA,7:3 FTCA,PFPA,PFPeA,PFPeS,PFBS,PFBA,PFMOPrA,PFMOBA,PFMOAA,PFO2HxA,PFO3OA,PFO4DA,PFESA BP 1,PFESA BP 2,PFDoS,PFUnDA,FOSAA,N-MeFOSE,NMeFOSAA,NMeFOSA,N-EtFOSE,NEtFOSAA,N-EtFOSA,PFDS,PFTeDA,PFHxDA,PFNS,PFTrDA,PFDoA,PFOSA,9-Cl-PF3ONS,11-Cl-PF3OUdS,PFECA-G,ADONA,PFEESA,NFDHA,PFMBA,PFODA
NH_DES,199712055101WNS,Surface Water,42.893759,-71.460989,6/4/2018,,Undisclosed,1.7,9.4,,0,0,1,4.6,2.5,0,,,0,0,0,,,,,3.4,0,1.4,0,,,,,,,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0
NH_DES,199712055101WNS,Surface Water,42.893759,-71.460989,6/4/2018,,Undisclosed,16.2,83.7,,0,0,9,39.6,21.6,0,,,0,0,0,,,,,29.7,0,13.5,0,,,,,,,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0
NH_DES,199712055101WNS,Surface Water,42.893759,-71.460989,5/24/2018,,Undisclosed,1.3,7.2,,0,0.62,0.68,2.5,1.5,0,0,,8.7,0,0,,,,,2,0,0.88,0,,,,,,,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0
NH_DES,199712055101WNS,Surface Water,42.893759,-71.460989,5/24/2018,,Undisclosed,25,220,,0,4,7.6,90,59,0,0,,14,0,0,,,,,81,0,9.3,24,,,,,,,,,0,3.9,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0
NH_DES,199712055201W1C,Surface Water,42.891376,-71.462744,12/6/2018,,Undisclosed,7.2,37,,0,0.77,0.74,8.9,6.7,0,0,,1.3,,,,,,,6.6,0,0.64,2.6,,,,,,,,,,0,,,0,,0,1.2,,0,0,0,0,0,0,0.49,,,,,,,,
NH_DES,199712055201W1C,Surface Water,42.891376,-71.462744,12/6/2018,,Undisclosed,2.9,14,,0,0.44,0.59,4.2,3.3,0,0,,0,,,,,,,3.3,0,0.61,0,,,,,,,,,,0,,,0,,0,0,,0,0,0,0,0,0,1,,,,,,,,
NH_DES,199712055201W1C,Surface Water,42.891376,-71.462744,11/13/2018,,Undisclosed,0.84,3.8,,0,0,0.38,1.3,1,0,0,,0,,,,,,,0,0,0.45,0,,,,,,,,,,0,,,0,,0,0,,0,0,0,0,0,0,0,,,,0,,,,
NH_DES,199712055201W1C,Surface Water,42.891376,-71.462744,9/10/2018,,Undisclosed,2,,,0,0.47,1.1,3.2,,0,0,,0,,,,,,,2.8,0,1.5,1.9,,,,,,,,,,0,,,0,,0,0,,0,0,0,0,0,0,0,,,,,,,,
NH_DES,199712055201W1C,Surface Water,42.891376,-71.462744,8/21/2018,,Undisclosed,1.9,4.9,,0,0.57,0.6,2,1.7,0,0,,0,,,,,,,2.7,0,0.64,2,,,,,,,,,,0,,,0,,0,0,,0,0,0,0,0,0,0,,,,,,,,
NH_DES,199712055201W1C,Surface Water,42.891376,-71.462744,6/4/2018,,Undisclosed,35,220,,6.4,6,2.4,84,39,0.55,,,120,0,0,,,,,49,0.59,1.8,21,,,,,,,,,0,2.7,,0,0,0,0,4.6,0,0,1.3,0.38,0,1.3,2.9,3,,,,,,,,0
