Article (Author et al YYYY),Sample Name,Sample Type,Latitude,Longitude,Sampling Year,Sample Date (MM/DD/YYY),Sample Time,Analysis Method,Streamflow (m3/s),Sampling Depth (m),PFOS,PFOA,FBSA,PFDA,PFNA,PFHxS,PFHxA,PFHpA,PFHpS,GenX,4:2 FTS,6:2 FTS,8:2 FTS,10:2 FTS,3:3 FTCA,5:3 FTCA,7:3 FTCA,PFPA,PFPeA,PFPeS,PFBS,PFBA,PFMOPrA,PFMOBA,PFMOAA,PFO2HxA,PFO3OA,PFO4DA,PFESA BP 1,PFESA BP 2,PFDoS,PFUnDA,FOSAA,N-MeFOSE,NMeFOSAA,NMeFOSA,N-EtFOSE,NEtFOSAA,N-EtFOSA,PFDS,PFTeDA,PFHxDA,PFNS,PFTrDA,PFDoA,PFOSA,9-Cl-PF3ONS,11-Cl-PF3OUdS,PFECA-G,ADONA,PFEESA,NFDHA,PFMBA,PFODA
Teymoorian_et_al_2021,REP4,Surface Water,45.736033,-73.411833,2018,,,Unnamed_SPE_LCMS_MS,,,3.38,1.96,0.10,0.07,0.31,0.71,1.40,0.96,0.05,0.00,0.00,0.00,0.05,0.00,0.00,0.00,0.00,,1.27,0.13,0.60,2.42,0.00,0.00,,,,,,,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,0.00,0.00
Teymoorian_et_al_2021,SORAM1,Surface Water,46.073983,-73.088683,2018,,,Unnamed_SPE_LCMS_MS,,,2.23,1.46,0.10,0.06,0.25,0.56,1.25,0.89,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,1.04,0.12,0.45,1.82,0.00,0.00,,,,,,,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,0.00,0.00
Teymoorian_et_al_2021,SORAM2,Surface Water,46.067283,-73.07645,2018,,,Unnamed_SPE_LCMS_MS,,,2.47,1.60,0.09,0.05,0.23,0.63,1.36,0.81,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,1.27,0.10,0.45,2.03,0.00,0.00,,,,,,,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,0.00,0.00
Teymoorian_et_al_2021,SORAM3,Surface Water,46.06175,-73.0656,2018,,,Unnamed_SPE_LCMS_MS,,,3.11,2.15,0.10,0.09,0.34,0.70,1.45,0.79,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,1.11,0.11,0.48,3.16,0.00,0.00,,,,,,,0.00,0.00,0.11,,0.00,0.00,,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,0.00,0.00
Teymoorian_et_al_2021,SORAV2,Surface Water,46.13472,-72.952109,2018,,,Unnamed_SPE_LCMS_MS,,,2.72,1.90,0.09,0.07,0.31,0.72,1.43,0.97,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,1.27,0.11,0.55,2.25,0.00,0.00,,,,,,,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,0.00,0.00
Teymoorian_et_al_2021,SORAV3,Surface Water,46.160331,-72.949478,2018,,,Unnamed_SPE_LCMS_MS,,,2.40,1.70,0.08,0.04,0.23,0.70,1.39,0.94,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,1.25,0.10,0.56,2.57,0.00,0.00,,,,,,,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,0.00,0.00
Teymoorian_et_al_2021,STA1,Surface Water,46.57575,-72.098125,2018,,,Unnamed_SPE_LCMS_MS,,,2.05,1.43,0.06,0.05,0.22,0.55,1.13,0.82,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,1.07,0.09,0.49,2.16,0.00,0.00,,,,,,,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,0.00,0.00
Teymoorian_et_al_2021,STA2,Surface Water,46.569129,-72.098872,2018,,,Unnamed_SPE_LCMS_MS,,,2.70,1.80,0.07,0.04,0.24,0.72,1.30,0.91,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,1.25,0.10,0.57,2.27,0.00,0.00,,,,,,,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,0.00,0.00
Teymoorian_et_al_2021,STA3,Surface Water,46.562646,-72.10002,2018,,,Unnamed_SPE_LCMS_MS,,,2.89,2.22,0.10,0.12,0.34,0.63,1.70,0.92,0.04,0.00,0.00,0.00,0.07,0.00,0.00,0.00,0.00,,1.23,0.09,0.47,7.49,0.00,0.00,,,,,,,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.17,,0.00,0.00
Teymoorian_et_al_2021,STL1,Surface Water,44.899817,-75.145133,2018,,,Unnamed_SPE_LCMS_MS,,,2.82,2.08,0.19,0.07,0.30,0.76,1.57,1.03,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,1.36,0.14,0.51,2.75,0.00,0.00,,,,,,,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,0.00,0.00
Teymoorian_et_al_2021,STL2,Surface Water,45.005017,-74.76185,2018,,,Unnamed_SPE_LCMS_MS,,,2.55,1.70,0.15,0.06,0.26,0.58,1.20,0.77,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,1.06,0.11,0.42,2.03,0.00,0.00,,,,,,,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,0.00,0.00
Teymoorian_et_al_2021,STM2,Surface Water,46.345992,-72.529377,2018,,,Unnamed_SPE_LCMS_MS,,,2.38,1.83,0.07,0.07,0.31,0.59,1.43,0.75,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,1.05,0.10,0.41,3.00,0.00,0.00,,,,,,,0.00,0.00,0.09,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.13,,0.00,0.00
Teymoorian_et_al_2021,STM3,Surface Water,46.340461,-72.520947,2018,,,Unnamed_SPE_LCMS_MS,,,2.61,1.65,0.08,0.06,0.22,0.68,1.38,0.89,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,1.22,0.11,0.55,2.18,0.00,0.00,,,,,,,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,0.00,0.00
Teymoorian_et_al_2021,STM4,Surface Water,46.336517,-72.518583,2018,,,Unnamed_SPE_LCMS_MS,,,2.27,1.75,0.09,0.07,0.27,0.63,1.35,0.90,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,1.32,0.08,0.49,2.19,0.00,0.00,,,,,,,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,0.00,0.00
Teymoorian_et_al_2021,TCM1,Surface Water,45.7048,-73.478117,2018,,,Unnamed_SPE_LCMS_MS,,,0.41,0.50,0.05,0.04,0.19,0.07,0.39,0.47,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.44,0.01,0.18,0.97,0.00,0.00,,,,,,,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,0.00,0.00
Teymoorian_et_al_2021,TCM1v5,Surface Water,45.6665,-73.46425,2018,,,Unnamed_SPE_LCMS_MS,,,2.77,2.67,0.03,0.11,0.41,0.95,2.93,1.09,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,4.01,0.18,1.19,3.39,0.00,0.00,,,,,,,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,0.00,0.00
Teymoorian_et_al_2021,TCM2,Surface Water,45.712764,-73.444502,2018,,,Unnamed_SPE_LCMS_MS,,,2.40,1.81,0.11,0.05,0.32,0.67,1.36,0.94,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,1.36,0.11,0.47,2.12,0.00,0.00,,,,,,,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,0.00,0.00
Teymoorian_et_al_2021,TCM2v5,Surface Water,45.678933,-73.456733,2018,,,Unnamed_SPE_LCMS_MS,,,2.82,2.11,0.33,0.07,0.32,0.76,1.73,0.89,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,1.64,0.12,2.08,2.28,0.00,0.00,,,,,,,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,0.00,0.00
Teymoorian_et_al_2021,TCM3,Surface Water,45.703167,-73.444867,2018,,,Unnamed_SPE_LCMS_MS,,,2.62,1.72,0.14,0.04,0.23,0.70,1.44,0.90,0.04,0.00,0.07,0.00,0.00,0.00,0.00,0.00,0.00,,1.35,0.12,0.48,2.36,0.00,0.00,,,,,,,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,0.00,0.00
Teymoorian_et_al_2021,TRA1,Surface Water,45.996917,-73.187017,2018,,,Unnamed_SPE_LCMS_MS,,,1.72,1.39,0.10,0.07,0.27,0.51,1.09,0.86,0.03,0.00,0.00,0.00,0.05,0.00,0.00,0.00,0.00,,1.07,0.07,0.37,2.28,0.00,0.00,,,,,,,0.00,0.00,0.00,,0.00,0.00,,0.00,0.08,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,0.00,0.00
Teymoorian_et_al_2021,TRA2,Surface Water,45.996392,-73.183399,2018,,,Unnamed_SPE_LCMS_MS,,,2.59,1.76,0.11,0.05,0.26,0.63,1.24,0.82,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,1.21,0.11,0.47,2.21,0.00,0.00,,,,,,,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,0.00,0.00
Teymoorian_et_al_2021,TRA3,Surface Water,45.995608,-73.17874,2018,,,Unnamed_SPE_LCMS_MS,,,2.41,1.88,0.12,0.05,0.24,0.75,1.48,0.96,0.04,0.00,0.07,0.00,0.00,0.00,0.00,0.00,0.00,,1.33,0.11,0.51,2.47,0.00,0.00,,,,,,,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,0.00,0.00
Teymoorian_et_al_2021,Rivire la Tortue Delson,Surface Water,45.3922,-73.5381,2019,,,Unnamed_SPE_LCMS_MS,,,0.70,1.29,0.00,0.05,0.24,0.29,1.87,1.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,1.87,0.06,0.53,5.02,0.00,0.00,,,,,,,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,0.00,0.00
Teymoorian_et_al_2021,Rivire Batiscan Sainte-Genevive-de-Batiscan,Surface Water,46.5288,-72.3335,2019,,,Unnamed_SPE_LCMS_MS,,,0.15,0.22,0.00,0.00,0.13,0.00,0.17,0.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.19,0.00,0.05,5.00,0.00,0.00,,,,,,,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,0.00,0.00
Teymoorian_et_al_2021,Rivire Bayonne Sainte-Genevive-de-Berthier,Surface Water,46.0945,-73.226,2019,,,Unnamed_SPE_LCMS_MS,,,1.14,1.01,0.08,0.12,0.61,0.29,1.49,1.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,1.11,0.05,0.43,2.50,0.00,0.00,,,,,,,0.00,0.08,0.00,,0.00,0.00,,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,0.00,0.00
Teymoorian_et_al_2021,Rivire Bcancour Bcancour,Surface Water,46.352672,-72.438619,2019,,,Unnamed_SPE_LCMS_MS,,,0.31,0.68,0.00,0.04,0.16,0.08,0.73,0.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.70,0.01,0.17,1.80,0.00,0.00,,,,,,,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,0.00,0.00
Teymoorian_et_al_2021,Rivire Boyer Saint-Vallier,Surface Water,46.884275,-70.859119,2019,,,Unnamed_SPE_LCMS_MS,,,0.32,0.51,0.00,0.00,0.11,0.04,0.46,0.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.48,0.01,0.20,2.18,0.00,0.00,,,,,,,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,0.00,0.00
Teymoorian_et_al_2021,Rivire Chteauguay Chteauguay,Surface Water,45.3814,-73.7562,2019,,,Unnamed_SPE_LCMS_MS,,,0.50,0.86,0.00,0.04,0.18,0.15,0.74,0.62,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.71,0.04,0.41,2.74,0.00,0.00,,,,,,,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,0.00,0.00
Teymoorian_et_al_2021,Rivire Chaudire Lvis,Surface Water,46.714483,-71.280997,2019,,,Unnamed_SPE_LCMS_MS,,,0.31,0.82,0.00,0.06,0.26,0.06,1.00,0.98,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.84,0.02,0.17,1.94,0.00,0.00,,,,,,,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,0.00,0.00
Teymoorian_et_al_2021,Rivire Des Mille-Iles Laval,Surface Water,45.5406,-73.8808,2019,,,Unnamed_SPE_LCMS_MS,,,1.08,0.63,0.03,0.06,0.27,0.43,1.11,0.98,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,1.34,0.05,0.21,1.78,0.00,0.00,,,,,,,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,0.00,0.00
Teymoorian_et_al_2021,Rivire Des Prairies Montral,Surface Water,45.5343,-73.7266,2019,,,Unnamed_SPE_LCMS_MS,,,0.32,0.53,0.00,0.05,0.23,0.10,0.53,0.53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.46,0.01,0.16,1.84,0.00,0.00,,,,,,,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,0.00,0.00
Teymoorian_et_al_2021,Rivire Du Chne Saint-Eustache,Surface Water,45.5609,-73.9783,2019,,,Unnamed_SPE_LCMS_MS,,,27.87,4.13,0.45,0.08,0.46,17.36,38.24,9.34,0.52,0.00,0.00,1.14,0.00,0.00,0.00,0.00,0.00,,24.39,2.24,1.87,9.11,0.00,0.00,,,,,,,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,0.00,0.00
Teymoorian_et_al_2021,Rivire Du Loup Louiseville,Surface Water,46.2238,-72.9273,2019,,,Unnamed_SPE_LCMS_MS,,,0.21,0.32,0.00,0.04,0.23,0.04,0.58,0.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.40,0.00,0.10,1.85,0.00,0.00,,,,,,,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,0.00,0.00
Teymoorian_et_al_2021,Rivire Du Sud Montmagny,Surface Water,46.98517,-70.5491,2019,,,Unnamed_SPE_LCMS_MS,,,0.28,0.32,0.00,0.00,0.11,0.03,0.29,0.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.26,0.00,0.09,1.03,0.00,0.00,,,,,,,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,0.00,0.00
Teymoorian_et_al_2021,Rivire Etchemin Lvis,Surface Water,46.76038,-71.22938,2019,,,Unnamed_SPE_LCMS_MS,,,0.35,0.50,0.00,0.03,0.17,0.07,2.23,1.65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.09,0.00,,1.59,0.02,0.13,1.44,0.00,0.00,,,,,,,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,0.00,0.00
Teymoorian_et_al_2021,Rivire Gananoque Gananoque Ontario,Surface Water,44.327144,-76.164503,2019,,,Unnamed_SPE_LCMS_MS,,,0.44,0.93,0.00,0.04,0.23,0.12,0.78,0.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.82,0.02,0.43,2.27,0.00,0.00,,,,,,,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,0.00,0.00
Teymoorian_et_al_2021,Rivire Gentilly Gentilly,Surface Water,46.382567,-72.336186,2019,,,Unnamed_SPE_LCMS_MS,,,0.10,0.26,0.00,0.00,0.06,0.04,0.28,0.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.25,0.00,0.18,1.57,0.00,0.00,,,,,,,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,0.00,0.00
Teymoorian_et_al_2021,Rivire Grasse Massena USA,Surface Water,44.959242,-74.830364,2019,,,Unnamed_SPE_LCMS_MS,,,0.26,0.41,0.00,0.04,0.21,0.04,0.44,0.49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.38,0.00,0.17,1.45,0.00,0.00,,,,,,,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,0.00,0.00
Teymoorian_et_al_2021,Rivire Jacques-Cartier Donnacona,Surface Water,46.68146,-71.742,2019,,,Unnamed_SPE_LCMS_MS,,,0.35,0.32,0.00,0.04,0.17,0.19,0.24,0.49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.26,0.03,0.06,1.11,0.00,0.00,,,,,,,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,0.00,0.00
Teymoorian_et_al_2021,Rivire LAssomption Repentigny,Surface Water,45.7553,-73.46352,2019,,,Unnamed_SPE_LCMS_MS,,,0.40,1.32,0.06,0.05,0.20,0.37,1.67,0.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.93,0.04,1.77,2.86,0.00,0.00,,,,,,,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,0.00,0.00
Teymoorian_et_al_2021,Rivire Lancaster South Lancaster Ontario,Surface Water,45.128161,-74.493919,2019,,,Unnamed_SPE_LCMS_MS,,,0.39,0.62,0.00,0.00,0.11,0.15,0.61,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.73,0.03,0.47,2.06,0.00,0.00,,,,,,,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,0.00,0.00
Teymoorian_et_al_2021,Rivire Little Salmon Fort Covington USA,Surface Water,45.650844,-74.901919,2019,,,Unnamed_SPE_LCMS_MS,,,0.24,0.65,0.00,0.00,0.15,0.08,0.68,0.53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.59,0.02,0.27,1.27,0.00,0.00,,,,,,,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,0.00,0.00
Teymoorian_et_al_2021,Rivire Mascouche Terrebonne,Surface Water,45.6951,-73.5934,2019,,,Unnamed_SPE_LCMS_MS,,,3.96,2.05,0.09,0.12,0.38,2.38,3.89,2.07,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,4.11,0.35,0.91,4.21,0.00,0.00,,,,,,,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,0.00,0.00
Teymoorian_et_al_2021,Rivire Maskinong Maskinong,Surface Water,46.22814,-73.01597,2019,,,Unnamed_SPE_LCMS_MS,,,0.21,0.41,0.00,0.05,0.19,0.04,0.40,0.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.31,0.00,0.07,1.07,0.00,0.00,,,,,,,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,0.00,0.00
Teymoorian_et_al_2021,Rivire Montmorency Quebec,Surface Water,46.8861,-71.1453,2019,,,Unnamed_SPE_LCMS_MS,,,0.09,0.14,0.00,0.00,0.07,0.00,0.11,0.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.10,0.00,0.04,0.60,0.00,0.00,,,,,,,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,0.00,0.00
Teymoorian_et_al_2021,Rivire Nicolet Nicolet,Surface Water,46.2275,-72.62389,2019,,,Unnamed_SPE_LCMS_MS,,,0.22,0.63,0.00,0.04,0.11,0.06,0.98,0.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,1.11,0.02,0.13,1.33,0.00,0.00,,,,,,,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,0.00,0.00
Teymoorian_et_al_2021,Rivire Ogdensburg Ogdensburg USA,Surface Water,44.690139,-75.49375,2019,,,Unnamed_SPE_LCMS_MS,,,0.47,0.57,0.00,0.05,0.25,0.06,0.45,0.73,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.59,0.01,0.15,1.63,0.00,0.00,,,,,,,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,0.00,0.00
Teymoorian_et_al_2021,Rivire des Outaouais Saint-Placide,Surface Water,45.524,-74.2076,2019,,,Unnamed_SPE_LCMS_MS,,,0.27,0.41,0.00,0.00,0.14,0.10,0.47,0.49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.45,0.02,0.18,1.37,0.00,0.00,,,,,,,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,0.00,0.00
Teymoorian_et_al_2021,Rivire Raquette Akwesasne USA,Surface Water,44.978531,-74.717089,2019,,,Unnamed_SPE_LCMS_MS,,,0.39,0.51,0.00,0.06,0.25,0.05,0.36,0.51,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.49,0.01,0.17,1.26,0.00,0.00,,,,,,,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,0.00,0.00
Teymoorian_et_al_2021,Rivire Richelieu Sorel-Tracy,Surface Water,46.019605,-73.132377,2019,,,Unnamed_SPE_LCMS_MS,,,0.82,1.16,0.20,0.05,0.25,0.44,1.02,0.79,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,1.05,0.06,0.38,2.21,0.00,0.00,,,,,,,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,0.00,0.00
Teymoorian_et_al_2021,Rivire Saint-Charles Quebec,Surface Water,46.8199,-71.22,2019,,,Unnamed_SPE_LCMS_MS,,,0.42,0.86,0.00,0.06,0.14,0.19,1.61,1.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,2.05,0.05,0.20,1.84,0.00,0.00,,,,,,,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,0.00,0.00
Teymoorian_et_al_2021,Rivire Sainte-Anne Beaupr,Surface Water,47.048547,-70.883153,2019,,,Unnamed_SPE_LCMS_MS,,,0.13,0.26,0.00,0.00,0.08,0.06,0.21,0.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.19,0.00,0.06,0.75,0.00,0.00,,,,,,,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,0.00,0.00
Teymoorian_et_al_2021,Rivire Sainte-Anne Sainte-Anne-de-la-Prade,Surface Water,46.571331,-72.206231,2019,,,Unnamed_SPE_LCMS_MS,,,0.12,0.18,0.00,0.00,0.10,0.00,0.12,0.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.13,0.00,0.04,0.86,0.00,0.00,,,,,,,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,0.00,0.00
Teymoorian_et_al_2021,Rivire Saint-Franois Pierreville,Surface Water,46.06687,-72.81258,2019,,,Unnamed_SPE_LCMS_MS,,,0.59,1.57,0.00,0.08,0.27,0.11,1.52,1.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,1.61,0.02,0.31,2.26,0.00,0.00,,,,,,,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,0.00,0.00
Teymoorian_et_al_2021,Rivire Saint-Jacques Brossard,Surface Water,45.4321,-73.4842,2019,,,Unnamed_SPE_LCMS_MS,,,0.83,2.23,0.07,0.13,0.54,0.40,3.08,1.71,0.00,0.00,0.00,0.00,0.12,0.00,0.00,0.00,0.00,,3.31,0.04,0.55,3.44,0.00,0.00,,,,,,,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,,0.00,0.00
