Article (Author et al YYYY),Sample Name,Sample Type,Latitude,Longitude,Sampling Year,Sample Date (MM/DD/YYY),Sample Time,Analysis Method,Streamflow (m3/s),PFOS,PFOA,FBSA,PFDA,PFNA,PFHxS,PFHxA,PFHpA,PFHpS,GenX,4:2 FTS,6:2 FTS,8:2 FTS,10:2 FTS,3:3 FTCA,5:3 FTCA,7:3 FTCA,PFPA,PFPeA,PFPeS,PFBS,PFBA,PFMOPrA,PFMOBA,PFMOAA,PFO2HxA,PFO3OA,PFO4DA,PFESA BP 1,PFESA BP 2,PFDoS,PFUnDA,FOSAA,N-MeFOSE,NMeFOSAA,NMeFOSA,N-EtFOSE,NEtFOSAA,N-EtFOSA,PFDS,PFTeDA,PFHxDA,PFNS,PFTrDA,PFDoA,PFOSA,9-Cl-PF3ONS,11-Cl-PF3OUdS,PFECA-G,ADONA,PFEESA,NFDHA,PFMBA
Scott_et_al_2009,Talbot Ck.,Surface Water,42.673611,-81.216111,2005,,,Unnamed_SPE_LCMS_MS,,1.595,2.86,,0.049,0.672,0.463,1.45,1.12,<0.002,,,,,,,,,,,,0.073,,,,,,,,,,,<0.007,,,,,,,,,<0.004,,,,<0.008,0.025,,,,,,,
Scott_et_al_2009,Sixteen Mile Ck.,Surface Water,42.5075,-81.621111,2005,,,Unnamed_SPE_LCMS_MS,,3.07,3.35,,0.105,0.624,1.78,2.67,1.33,<0.002,,,,,,,,,,,,0.196,,,,,,,,,,,<0.007,,,,,,,,,<0.004,,,,<0.008,0.087,,,,,,,
Scott_et_al_2009,Flat Ck.,Surface Water,42.2957031,-81.913611,2005,,,Unnamed_SPE_LCMS_MS,,1.42,0.628,,0.012,0.143,0.114,0.049,1.35,<0.002,,,,,,,,,,,,<0.006,,,,,,,,,,,<0.007,,,,,,,,,<0.004,,,,<0.008,0.029,,,,,,,
Scott_et_al_2009,East Two Ck.,Surface Water,42.091944,-82.458056,2005,,,Unnamed_SPE_LCMS_MS,,5.28,2.49,,0.248,0.602,1.31,1.78,1.16,0.134,,,,,,,,,,,,0.147,,,,,,,,,,,0.086,,,,,,,,,0.015,,,,<0.008,0.066,,,,,,,
Scott_et_al_2009,Dolson Ck.,Surface Water,42.005,-82.84,2005,,,Unnamed_SPE_LCMS_MS,,1.035,0.16,,0.015,0.053,0.313,0.193,0.451,<0.002,,,,,,,,,,,,0.036,,,,,,,,,,,<0.007,,,,,,,,,0.023,,,,0.014,<0.008,,,,,,,
Scott_et_al_2009,Detroit R.,Surface Water,42.103056,-83.109167,2004,,,Unnamed_SPE_LCMS_MS,,1.92,2.11,,<0.006,<0.008,0.213,<0.012,<0.011,<0.002,,,,,,,,,,,,<0.006,,,,,,,,,,,0.09,,,,,,,,,<0.004,,,,<0.008,<0.008,,,,,,,
Scott_et_al_2009,Montreal R.,Surface Water,47.213889,-84.620556,2005,,,Unnamed_SPE_LCMS_MS,,<0.004,0.476,,0.038,0.346,<0.008,0.089,0.243,<0.002,,,,,,,,,,,,0.016,,,,,,,,,,,0.013,,,,,,,,,<0.004,,,,<0.008,<0.008,,,,,,,
Scott_et_al_2009,Magpie R.,Surface Water,47.9425,-84.832222,2005,,,Unnamed_SPE_LCMS_MS,,<0.004,0.47,,0.015,0.24,0.046,0.076,0.218,<0.002,,,,,,,,,,,,0.018,,,,,,,,,,,0.005,,,,,,,,,<0.004,,,,<0.008,<0.008,,,,,,,
Scott_et_al_2009,Aguasabon R.,Surface Water,48.777778,-87.116944,2005,,,Unnamed_SPE_LCMS_MS,,0.342,0.399,,<0.006,0.158,0.088,0.145,0.322,<0.002,,,,,,,,,,,,<0.006,,,,,,,,,,,<0.007,,,,,,,,,<0.004,,,,<0.008,<0.008,,,,,,,
Scott_et_al_2009,Nipigon R. u,Surface Water,49.023333,-88.253611,2005,,,Unnamed_SPE_LCMS_MS,,<0.004,0.333,,<0.006,0.116,0.056,0.12,0.307,<0.002,,,,,,,,,,,,<0.006,,,,,,,,,,,<0.007,,,,,,,,,<0.004,,,,<0.008,<0.008,,,,,,,
Scott_et_al_2009,Nipigon R. d,Surface Water,49.002778,-88.255278,2005,,,Unnamed_SPE_LCMS_MS,,0.827,0.438,,0.033,0.17,0.0245,0.171,0.415,<0.002,,,,,,,,,,,,<0.006,,,,,,,,,,,<0.007,,,,,,,,,<0.004,,,,<0.008,<0.008,,,,,,,
Scott_et_al_2009,Kaministiqua R.,Surface Water,48.357778,-89.285278,2005,,,Unnamed_SPE_LCMS_MS,,<0.004,0.468,,0.033,0.22,0.066,0.184,0.31,<0.002,,,,,,,,,,,,0.053,,,,,,,,,,,0.007,,,,,,,,,<0.004,,,,<0.008,<0.008,,,,,,,
Scott_et_al_2009,Winnipeg R.,Surface Water,49.985278,-94.658611,2005,,,Unnamed_SPE_LCMS_MS,,0.584,2.3,,0.54,2.26,<0.008,<0.012,0.771,0.086,,,,,,,,,,,,<0.006,,,,,,,,,,,0.51,,,,,,,,,<0.004,,,,<0.008,<0.008,,,,,,,
Scott_et_al_2009,Red R. u,Surface Water,49.459167,-97.262778,2005,,,Unnamed_SPE_LCMS_MS,,1.21,0.592,,<0.006,0.157,0.278,0.236,0.581,<0.002,,,,,,,,,,,,<0.006,,,,,,,,,,,<0.007,,,,,,,,,<0.004,,,,<0.008,<0.008,,,,,,,
Scott_et_al_2009,Red R. d,Surface Water,50.081667,-96.938056,2005,,,Unnamed_SPE_LCMS_MS,,1.6,1.39,,0.044,0.372,0.842,1.17,1.67,<0.002,,,,,,,,,,,,<0.006,,,,,,,,,,,<0.007,,,,,,,,,<0.004,,,,<0.008,0.01,,,,,,,
Scott_et_al_2009,Pembina R.,Surface Water,49.229444,-98.6775,2005,,,Unnamed_SPE_LCMS_MS,,0.335,0.98,,0.044,0.39,0.061,0.685,1.2,<0.002,,,,,,,,,,,,<0.006,,,,,,,,,,,<0.007,,,,,,,,,<0.004,,,,<0.008,<0.008,,,,,,,
Scott_et_al_2009,Assiniboine R.,Surface Water,50.110556,-101.037222,2005,,,Unnamed_SPE_LCMS_MS,,0.99,6.88,,1.12,1.61,0.5,5.76,10.5,<0.002,,,,,,,,,,,,<0.006,,,,,,,,,,,<0.007,,,,,,,,,<0.004,,,,<0.008,<0.008,,,,,,,
Scott_et_al_2009,Souris R.,Surface Water,49.578056,-99.866389,2005,,,Unnamed_SPE_LCMS_MS,,0.47,2.61,,0.61,0.53,0.7,2.16,2.49,<0.002,,,,,,,,,,,,<0.006,,,,,,,,,,,<0.007,,,,,,,,,<0.004,,,,<0.008,<0.008,,,,,,,
Scott_et_al_2009,Nelson R. 1,Surface Water,56.041667,-96.535833,2008,,,Unnamed_SPE_LCMS_MS,,0.733,1.04,,0.009,0.365,0.716,0.992,0.721,0.052,,,,,,,,,,,,0.106,,,,,,,,,,,<0.007,,,,,,,,,0.004,,,,<0.008,<0.008,,,,,,,
Scott_et_al_2009,Nelson R. 2,Surface Water,56.404722,-94.355,2008,,,Unnamed_SPE_LCMS_MS,,0.641,0.87,,0.006,0.256,0.604,0.835,0.659,0.041,,,,,,,,,,,,0.111,,,,,,,,,,,<0.007,,,,,,,,,0.004,,,,<0.008,0.012,,,,,,,
Scott_et_al_2009,Nelson R. 3,Surface Water,56.511111,-94.107222,2008,,,Unnamed_SPE_LCMS_MS,,0.63,0.86,,0.014,0.28,0.806,0.751,0.64,0.022,,,,,,,,,,,,0.203,,,,,,,,,,,0.008,,,,,,,,,0.019,,,,0.017,0.015,,,,,,,
Scott_et_al_2009,Nelson R. 4,Surface Water,56.401944,-94.347778,2008,,,Unnamed_SPE_LCMS_MS,,0.629,0.916,,0.009,0.294,0.691,0.923,0.71,0.038,,,,,,,,,,,,0.116,,,,,,,,,,,<0.007,,,,,,,,,0.004,,,,0.009,0.009,,,,,,,
Scott_et_al_2009,N. Sask. R. u,Surface Water,52.483889,-107.696944,2005,,,Unnamed_SPE_LCMS_MS,,1.22,0.758,,0.021,0.06,0.277,0.869,1.85,<0.002,,,,,,,,,,,,<0.006,,,,,,,,,,,<0.007,,,,,,,,,<0.004,,,,<0.008,<0.008,,,,,,,
