#,Country,City,Name of facility,Lat,Lon,Currently operating?,Mesaurement data - peer-reviewed? *(surface water_ groundwater_ air_ dust_ soil_ sediment_ plants_ animals_ humans),REMOVE FOR PUBLIC Other measurement data? Grey-literature and/or drinking water?,Nearby PFAS production?,Data included Table S3,Comment regarding nearby PFAS production (10 km radius),Company website information,Evidence of production Ref 2,Evidence of production Ref 3,Evidence of production Ref 4,Refs with measurement data (see Table S4)
47,China,Fengzhen_ Inner Mongolia,Inner Mongolia Wanhao Fluoro Chemical Co._ Ltd.,40.396,113.165,Yes,No,nothing found,,No,,https://www.sh3f.com/about?tab=cl2,https://chinacoat.net/2021/exhlist/Exh_detail_en.asp?exhid=210497,https://ids.usitc.gov/case/8262/investigation/8693,OECD report - https://www.oecd.org/en/publications/synthesis-report-on-understanding-fluoropolymers-and-their-life-cycle_35b035df-en.html,
48,China,Shaowu_ Fujian,Shaowu Zonghe Jintange New Materials Co._ Ltd.,27.251,117.619,Yes,No,nothing found,,No,,https://www.yonghe-chemical.com/factory/shao-wu-yonghe/,https://doi.org/10.5194/acp-23-9401-2023-supplement,,,
49,China,Sanming_ Fujian,Fujian Sannong New Materials Co._ Ltd. (Tahoe Group),26.201,117.503,Yes,No,nothing found,,No,,http://en.sannong.com/about.aspx,https://www.chinafluoropolymer.com/news/new-fluorine-containing-materials-14830145.html,https://link.springer.com/article/10.1186/s12302-020-00425-3/tables/1,,
50,China,Ruichang_ Jiangxi,Jiangxi Lee & Man Chemical Limited,29.702,115.94,Yes,No,nothing found,,No,,https://www.leemanchemical.com/en/page/html/index.php,,,,
51,China,Ganzhou_ Jiangxi,Ganzhou Lichang New Materials Co._ Ltd.,25.88,114.88,Yes,No,nothing found,,No,,http://www.gdlichang.com/eng/aboutus.asp,https://www.businesswire.com/news/home/20221028005227/en/World-Fluoropolymers-Markets-Report-2022-PTFE-FEP-PVDF-PFAMFA-ETFE-PCTFE-ECTFE---Forecast-to-2026---ResearchAndMarkets.com,,,
52,China,Minhang_ Shanghai,Shanghai Ofluorine Co._ Ltd.,31.076,121.442,Yes,No,nothing found,,No,,https://www.ofluorine.com/About-us.html,,,,
53,China,Qianjiang_ Hubei,Hubei Fluorine New Material Co._ Ltd.,30.484,112.866,Yes,No,nothing found,,No,,https://www.flurine.com/comm03/Factory.htm,,,,
54,India,Rudraram_ Telangana,Hindustan Fluorocarbons,17.585,78.151,closed in 2021,No,nothing found,,No,,https://www.hfl.co.in/,https://economictimes.indiatimes.com/news/economy/policy/cabinet-approves-closure-of-hindustan-fluorocarbons-ltd/articleshow/73520679.cms?from=mdr,https://chemicals.gov.in/hindustan-flourocarbons-ltd-hfl,https://www.google.com/maps/place/Hindustan+Fluorocarbons+Limited/@17.5849799_78.1515376_436m/data=!3m1!1e3!4m10!1m2!2m1!1shindustan+fluoro!3m6!1s0x3bcbf0d73ab19485:0xb8e8f726480070ad!8m2!3d17.5850122!4d78.1515056!15sChBoaW5kdXN0YW4gZmx1b3JvkgEaZmFjdG9yeV9lcXVpcG1lbnRfc3VwcGxpZXLgAQA!16s%2Fg%2F11dyx7f266?entry=ttu&g_ep=EgoyMDI1MTEyMy4xIKXMDSoASAFQAw%3D%3D,
55,India,Dahej_ Gujarat,Gujarat Fluorochemicals,21.694,72.589,Yes,No,nothing found,,No,,https://gfl.co.in/Manufacturing_Locations.php,https://www.google.com/url?sa=t&source=web&rct=j&opi=89978449&url=https://gfl.co.in/assets/pdf/GFL%2520Announcement%252030.11.22_new.pdf&ved=2ahUKEwjTrfSMzI-RAxXG9QIHHVHiH0gQFnoECBoQAQ&usg=AOvVaw26sMXajuYj5N5GoSmC9BG4,https://www.google.com/url?sa=t&source=web&rct=j&opi=89978449&url=https://environmentclearance.nic.in/DownloadPfdFile.aspx%3FFileName%3D7WqMy2xnUpRcXAyR11gew6R7vmaU%2BH6/nwXVFFIt6oJJ8Np/CBIfkM6etyQRhLwtwwd%2BzJun7ama1SNV%2BZV2e5jMTUeAHMLoSiCwWeDbOUE%3D%26FilePath%3D93ZZBm8LWEXfg%2BHAlQix2fE2t8z/pgnoBhDlYdZCxzWYSktLmWVaXKfetCrs6kw3DoGTia%2B2sdXMwhPpplwBWruBjKVYi4lT84sunafOeWE%3D&ved=2ahUKEwjTrfSMzI-RAxXG9QIHHVHiH0gQFnoECBwQAQ&usg=AOvVaw2M8i3Pn8hy9nPDZU0HEhwN,,
56,India,Dahej_ Gujarat,SRF Limited,21.705,72.649,Yes,No,nothing found,,No,,https://www.srf.com/our-businesses/fluorochemicals/fluoropolymers/,https://www.srf.com/timeline/2023/,,,
