#,Country,City,Name of facility,Lat,Lon,Currently operating?,Mesaurement data - peer-reviewed? *(surface water_ groundwater_ air_ dust_ soil_ sediment_ plants_ animals_ humans),REMOVE FOR PUBLIC Other measurement data? Grey-literature and/or drinking water?,Nearby PFAS production?,Data included Table S3,Comment regarding nearby PFAS production (10 km radius),Company website information,Evidence of production Ref 2,Evidence of production Ref 3,Evidence of production Ref 4,Refs with measurement data (see Table S4)
12,USA,Bayonne_ New Jersey,AGC Chemicals,40.66,-74.106,closed in 2007,No,Yes,,No,,https://www.agc.com/en/news/pdf/20070928e.pdf,https://cen.acs.org/articles/85/i41/Asahi-Glass-Shuts-New-Jersey.html,OECD report - https://www.oecd.org/en/publications/synthesis-report-on-understanding-fluoropolymers-and-their-life-cycle_35b035df-en.html,,
13,USA,Thorofare_ New Jersey,Syensqo Specialty Polymers (Solvay),39.843,-75.208,Yes,Yes,,Maybe,Yes,Located in the Delaware River industrial corridor with nearby chemical producers (e.g._ Paulsboro Refining_ Johnson Matthey_ Redox Chemicals_ Sunoco). No public evidence of independent PFAS production nearby.,https://www.solvay.com/en/press-release/solvay-launches-non-fluorosurfactant-technologies-in-us,https://www.syensqo.com/en/innovation/pfas,https://www.syensqo.com/sites/g/files/alwlxe161/files/2025-05/West-Deptford-Project-Fact-Sheet-April-2025.pdf,OECD report - https://www.oecd.org/en/publications/synthesis-report-on-understanding-fluoropolymers-and-their-life-cycle_35b035df-en.html,MacGilivray2021_ Washington2020
14,USA,Deepwater_ New Jersey,Chemours Chambers Works,39.69,-75.501,Yes,Yes,,Maybe,Yes,Located in the Delaware River industrial corridor with other chemical producers (e.g._ Croda Atlas Point_ DuPont_ Siegfried USA). No public evidence of independent PFAS production nearby.,https://www.chemours.com/en/about-chemours/global-reach/chambers-works,https://njbmagazine.com/monthly-articles/chemours-company-a-manufacturing-champion-at-chambers-works/,https://www.chemours.com/en/about-chemours/global-reach/chambers-works/technical-documents,https://www.epa.gov/hwcorrectiveactioncleanups/hazardous-waste-cleanup-chemours-chambers-works-deepwater-new-jersey,Schumacher2024
15,USA,Parkersburg_ West Virginia,Chemours Washington Works,39.269,-81.67,Yes,Yes,Yes,No,Yes,Surrounding companies (Kraton Corporation_ MOV Pure Pressure Washing LLC_ others) are most likely not PFAS-related.,https://www.chemours.com/en/about-chemours/global-reach/washington-works,https://www.manufacturingdive.com/news/chemours-plans-teflon-pfa-forever-chemicals-plant-expansion-west-virginia/724609/,OECD report - https://www.oecd.org/en/publications/synthesis-report-on-understanding-fluoropolymers-and-their-life-cycle_35b035df-en.html,,Barton2006_ Davis2007_ Frisbee2009_ Galloway2020_ Hansen2002_ Steenland2009_ Zhu2019_  
16,USA,Fayetteville_ North Carolina,Chemours Fayetteville Works,34.843,-78.839,Yes,Yes,Yes,No,Yes,Surrounding area is rural.,https://www.chemours.com/en/about-chemours/global-reach/fayetteville-works,https://ncnewsline.com/2022/09/22/chemours-plans-to-expand-its-fayetteville-works-site-but-hasnt-cleaned-up-existing-contamination/,https://www.deq.nc.gov/news/key-issues/genx-investigation/chemours-consent-order#Groundwater-1897,OECD report - https://www.oecd.org/en/publications/synthesis-report-on-understanding-fluoropolymers-and-their-life-cycle_35b035df-en.html,Zhang2019_ Guillette2022_ Jensen2024_ Kirkwood2022_ Korlarz2020_ Kotlarz2024_ Men2024_ Petre2021_ Petre2022_ Pritchett2019_ Proctor2025_ Robuck2020_ Robuck2021_ Rock2023_ Shimizu2021_ Sun2016_ VanDerwerker2024_ Zhou2022
17,USA,Decatur_ Alabama,Dyneon/3M – Decatur Plant,34.641,-87.038,Yes,Yes,,Maybe,Yes,Located in an industrial corridor on the Tennessee River with other chemical producers (e.g._ 3M_ Hexcel_ OCI Alabama). 3M/Dyneon and Daikin both product fluoropolymers and other fluorochemicals. ,https://www.3m.com/3M/en_US/plant-locations-us/decatur/,https://www.ewg.org/news-insights/news/2024/12/epa-must-limit-discharges-forever-chemicals-protect-public-health,https://www.google.com/url?sa=t&source=web&rct=j&opi=89978449&url=https://www.epa.gov/sites/default/files/2014-03/documents/3M.pdf&ved=2ahUKEwiegebFwI-RAxVX7AIHHeijAk0QFnoECB0QAQ&usg=AOvVaw3J_OJAVG7PW_uYDWIrPfNy,OECD report - https://www.oecd.org/en/publications/synthesis-report-on-understanding-fluoropolymers-and-their-life-cycle_35b035df-en.html,Newton2017
18,USA,Decatur_ Alabama,Daikin America – Decatur Plant,34.63,-87.041,Yes,Yes,,Maybe,Yes,Located in an industrial corridor on the Tennessee River with other chemical producers (e.g._ 3M_ Hexcel_ OCI Alabama). 3M/Dyneon and Daikin both product fluoropolymers and other fluorochemicals. ,https://www.daikinchemicals.com/company.html,https://www.ewg.org/news-insights/news/2024/12/epa-must-limit-discharges-forever-chemicals-protect-public-health,https://cen.acs.org/business/investment/Fluoropolymer-additions-deletions-Alabama/97/i38,OECD report - https://www.oecd.org/en/publications/synthesis-report-on-understanding-fluoropolymers-and-their-life-cycle_35b035df-en.html,Newton2017
19,USA,Orange_ Texas,Syensqo Specialty Polymers (Solvay),30.051,-93.766,Yes,No,nothing found,,No,,https://www.syensqo.com/en/innovation/pfas,https://www.google.com/url?sa=t&source=web&rct=j&opi=89978449&url=https://www.solvay.com/sites/g/files/srpend616/files/2018-07/halar-ectfe-design-and-processing-guide-en.pdf&ved=2ahUKEwjgz6K2wo-RAxWP9QIHHXP5KpIQFnoECBsQAQ&usg=AOvVaw3MxJWA74k0CoVhaNijmprt,OECD report - https://www.oecd.org/en/publications/synthesis-report-on-understanding-fluoropolymers-and-their-life-cycle_35b035df-en.html,,
20,USA,Buffalo_ New York,DuPont Yerkes Plant,42.966,-78.919,Yes,No,nothing found,,No,,https://www.dupont.com/tedlar/product-information.html,https://enviro.epa.gov/triexplorer/release_fac_profile?TRI=14207DPNTYSHERI&TRILIB=TRIQ1&V_NA_INDICATOR=.&FLD=&FLD=RELLBY&FLD=TSFDSP&OFFDISPD=&OTHDISPD=&ONDISPD=&OTHOFFD=&YEAR=2024,https://cen.acs.org/articles/90/i18/DuPont-Hit-Plant-Safety.html,,
21,Japan,Kamisu_ Ibaraki Prefecture,AGC – Kashima Plant,35.89,140.691,Yes,No,nothing found,,No,,https://www.agc-chemicals.com/jp/en/company/division/index.html,Chemical Handbook_ 2021_ Japan. https://www.jkn.co.jp/h2_book09.html,https://www.agc.com/en/news/detail/20040715e.html,,
