#,Country,City,Name of facility,Lat,Lon,Currently operating?,Refs with measurement data (see Table S4)
42,China,Fuxin_ Liaoning,Fuxin Hengton Fluorine Chemicals Co._ Ltd.,41.949,121.589,Yes,Bao2011_ Bao2022_ Chen2018_ Joerss2020_ Wang2015
43,China,Quzhou_ Zhejiang,Zhejiang Juhua Co._ Ltd.,28.9,118.886,Yes,
44,China,Jinhua_ Zhejiang,Jinhua Yonghe Fluorochemical Co._ Ltd.,29.068,119.374,Yes,
45,China,Hangzhou_ Zhejiang,Sinochem Lantain Co.,30.155,120.905,Yes,
46,China,Shaoxing_ Zhejiang,Zhejiang Fluorine Chemical New Material Co._ Ltd.,30.145,120.846,Yes,
47,China,Fengzhen_ Inner Mongolia,Inner Mongolia Wanhao Fluoro Chemical Co._ Ltd.,40.396,113.165,Yes,
48,China,Shaowu_ Fujian,Shaowu Zonghe Jintange New Materials Co._ Ltd.,27.251,117.619,Yes,
49,China,Sanming_ Fujian,Fujian Sannong New Materials Co._ Ltd. (Tahoe Group),26.201,117.503,Yes,
50,China,Ruichang_ Jiangxi,Jiangxi Lee & Man Chemical Limited,29.702,115.94,Yes,
51,China,Ganzhou_ Jiangxi,Ganzhou Lichang New Materials Co._ Ltd.,25.88,114.88,Yes,
52,China,Minhang_ Shanghai,Shanghai Ofluorine Co._ Ltd.,31.076,121.442,Yes,
53,China,Qianjiang_ Hubei,Hubei Fluorine New Material Co._ Ltd.,30.484,112.866,Yes,
54,India,Rudraram_ Telangana,Hindustan Fluorocarbons,17.585,78.151,closed in 2021,
55,India,Dahej_ Gujarat,Gujarat Fluorochemicals,21.694,72.589,Yes,
56,India,Dahej_ Gujarat,SRF Limited,21.705,72.649,Yes,
